APD#	0017	Started	07/10/07 16:24	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	1.001547E+1	2.546900E+1	2.559300E+1	6.291840E-1	8.411162E-1	0.000000E+0	-2.967500E-10	-1.405479E-10	-1.261369E-12	-5.612028E-12	-5.878625E-12	-5.379030E-12	-4.941849E-12	-5.217642E-12	-5.243209E-12	-4.248559E-12	-5.831951E-12	-5.181688E-12	-4.109348E-12	5.054321E-13	-2.913913E-12	-7.068282E-12	-2.089977E-12	-6.202430E-12	-5.448542E-12	-5.160770E-12	-5.102305E-12	-5.454006E-12	-4.984640E-12	-4.913484E-12	-3.601927E-12	-5.224760E-12	-3.216141E-12	-4.207817E-12	-3.662230E-12	-4.115045E-12	-3.662503E-12	-3.802168E-12	-2.885308E-12	-4.431758E-12
0:00:13	0	1.001577E+1	2.544900E+1	2.557300E+1	6.283857E-1	8.408882E-1	0.000000E+0	-2.571100E-10	-3.663848E-10	-9.457780E-13	-1.198055E-11	-1.251565E-11	-1.037941E-11	-1.311425E-11	-1.156554E-11	-1.231725E-11	-1.280974E-11	-1.267759E-11	-1.099587E-11	-1.182299E-11	-1.294584E-11	-6.587802E-12	-1.546056E-11	-9.817892E-12	-1.291041E-11	-1.229022E-11	-1.082530E-11	-1.385806E-11	-1.335247E-11	-9.780014E-12	-1.190533E-11	-1.137335E-11	-1.132992E-11	-1.153869E-11	-1.249853E-11	-9.471558E-12	-1.152353E-11	-1.206114E-11	-1.191266E-11	-1.229375E-11	-1.152317E-11
0:00:26	0	1.001555E+1	2.545200E+1	2.556900E+1	6.280817E-1	8.401788E-1	1.000000E+1	3.153400E-10	-2.474969E-10	5.045477E-12	-7.818815E-12	-6.574161E-12	-7.024509E-12	-8.236415E-12	-7.480141E-12	-7.769083E-12	-1.122404E-11	-7.480067E-12	-8.973679E-12	-6.069698E-12	-4.483093E-12	-3.736888E-12	-1.142183E-11	-1.121188E-11	-7.531237E-12	-7.855781E-12	-8.433695E-12	-1.108665E-11	-8.651591E-12	-8.392404E-12	-8.251790E-12	-8.277150E-12	-8.119345E-12	-9.647429E-12	-8.918311E-12	-6.504096E-12	-8.483970E-12	-9.219061E-12	-7.350259E-12	-8.844055E-12	-7.471220E-12
0:00:40	0	1.002011E+1	2.545700E+1	2.557200E+1	6.284110E-1	8.416229E-1	2.000000E+1	2.832000E-10	-1.853317E-10	5.991255E-12	-5.422903E-12	-5.246955E-12	-6.265211E-12	-7.096219E-12	-5.468700E-12	-5.053743E-12	-4.819171E-12	-6.719552E-12	-6.129436E-12	-5.437875E-12	-4.041463E-12	3.799886E-13	-8.582558E-12	-8.677905E-12	-7.531237E-12	-6.334630E-12	-3.399113E-12	-7.622133E-12	-5.704389E-12	-7.824609E-12	-6.236078E-12	-6.823811E-12	-6.042557E-12	-6.809540E-12	-6.782676E-12	-5.051764E-12	-6.964692E-12	-7.703818E-12	-6.653044E-12	-6.899392E-12	-8.357771E-12
0:00:53	0	1.001638E+1	2.545800E+1	2.557400E+1	6.214437E-1	8.329198E-1	3.000000E+1	3.267800E-10	-1.328596E-10	9.081460E-12	-3.278826E-12	-3.097480E-12	-4.429907E-12	-4.181718E-12	-3.519775E-12	-3.537022E-12	-9.510204E-13	-4.817263E-12	-4.866437E-12	-4.615406E-12	-6.883647E-12	-8.869734E-13	-7.761661E-12	-1.139987E-12	-5.189340E-12	-3.357334E-12	-6.230879E-12	-9.133632E-12	-5.140284E-12	-3.029234E-12	-4.661893E-12	-5.370472E-12	-5.098563E-12	-6.115745E-12	-6.029155E-12	-9.469565E-13	-5.571354E-12	-6.630188E-12	-5.575713E-12	-4.954730E-12	-4.938501E-12
0:01:07	0	1.012689E+1	2.545500E+1	2.557100E+1	6.247880E-1	8.367455E-1	4.000000E+1	1.071600E-9	-9.067404E-11	9.900803E-12	-2.395912E-12	-1.011870E-12	-2.531661E-12	-3.547609E-12	-1.760383E-12	-3.411377E-12	-3.044266E-12	-1.648116E-12	-3.349043E-12	-3.224995E-12	-5.620565E-12	6.329810E-13	-6.247385E-12	9.499896E-13	-2.911386E-12	-3.547353E-12	-4.783201E-12	-3.842390E-12	-5.203622E-12	-3.218499E-12	-3.905131E-12	-4.739062E-12	-4.405969E-12	-4.729151E-12	-3.705140E-12	-5.681739E-13	-3.609286E-12	-3.535901E-12	-2.851876E-12	-5.832997E-12	-2.975494E-12
0:01:20	0	9.954740E+0	2.546200E+1	2.557900E+1	6.233312E-1	8.355547E-1	5.000000E+1	1.111700E-9	-4.364860E-11	1.141405E-11	-5.046644E-13	1.267332E-13	-8.222403E-13	-1.774305E-12	-1.508333E-12	-1.579544E-12	-3.170402E-12	-6.334291E-13	-4.419499E-13	1.267640E-13	1.894124E-13	3.863884E-12	-4.290781E-12	-2.216976E-12	-2.152067E-12	6.330629E-13	-2.706572E-12	-1.953016E-12	-3.698352E-12	-3.470520E-12	-3.086714E-12	-3.412404E-12	-1.825387E-12	-2.647767E-12	-3.203454E-12	-3.787826E-13	-2.089008E-12	-4.609531E-12	-8.872727E-13	-2.697179E-12	-4.241854E-12
0:01:34	0	1.001471E+1	2.546400E+1	2.558000E+1	6.220898E-1	8.340346E-1	6.000000E+1	1.311700E-9	-3.060311E-12	1.311744E-11	1.702123E-12	1.770274E-12	6.963566E-13	2.407414E-12	0.000000E+0	-5.683966E-13	5.707124E-12	3.172149E-13	-8.848975E-13	1.267640E-13	2.020732E-12	4.813856E-12	-2.903027E-12	2.533972E-12	-2.974329E-12	-1.267126E-12	-2.014032E-12	-2.771414E-12	-3.134247E-12	-8.198158E-13	-2.456245E-12	-3.285723E-12	-1.636588E-12	-2.144094E-12	-2.135636E-12	1.262941E-12	-1.456308E-12	-3.031484E-12	-1.330409E-12	-2.633809E-12	-2.088943E-12
