APD#	0666	Started	05/09/07 17:26	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	9.900000E+37	2.566100E+1	2.534900E+1	1.976200E-3	-2.964300E-3	0.000000E+0	2.100000E-13	4.100854E-6	1.232355E-6	-1.843712E-6	2.342555E-6	1.000466E-6	-6.468731E-8	3.215897E-8	2.045545E-7	3.890426E-8	-2.659742E-7	1.773642E-6	2.229756E-7	-3.397761E-8	-1.968844E-8	-1.616705E-6	-1.616004E-7	1.304809E-6	2.374080E-7	1.365943E-6	2.765709E-7	-1.856003E-6	3.613181E-8	2.732766E-6	3.791458E-7	-1.510807E-6	-1.822854E-7	1.180747E-7	-1.476754E-6	-3.624860E-7	6.750361E-9	1.838457E-7	1.052429E-8	-4.046402E-9
   0:00:15	0	9.900000E+37	2.563300E+1	2.533700E+1	1.824200E-3	-2.964300E-3	0.000000E+0	-7.000000E-14	2.422381E-6	-1.188495E-6	1.889947E-6	-2.329422E-6	-1.152972E-6	-2.406945E-6	-3.702054E-8	-1.124481E-8	3.488488E-7	2.386724E-7	-2.289545E-7	1.887593E-7	-4.244605E-7	8.342497E-8	1.052587E-6	-2.197704E-7	2.277457E-7	-2.529447E-7	2.086396E-6	-2.307301E-7	1.960407E-6	-5.172816E-7	1.293389E-6	-3.822984E-7	1.591368E-6	-3.160706E-7	4.179736E-8	1.687909E-6	-5.826469E-7	-3.062995E-7	4.963550E-9	3.024235E-7	1.129897E-8
   0:00:35	0	9.900000E+37	2.561300E+1	2.533300E+1	1.722800E-3	-2.964300E-3	1.000000E+1	-3.200000E-13	-1.272735E-5	-2.601685E-6	-1.663187E-6	2.188753E-6	-2.439607E-6	-1.066320E-6	4.644261E-7	1.614003E-7	-4.006483E-7	5.457561E-8	1.166678E-6	-2.894833E-7	-3.115246E-7	1.153689E-7	-2.254231E-6	1.990547E-7	-2.626845E-6	4.797580E-7	-2.194852E-6	3.994641E-7	-2.470167E-6	1.898095E-8	2.733186E-6	-2.146356E-7	-1.501366E-6	5.830456E-7	3.250550E-7	-1.075278E-6	-1.055359E-9	1.243414E-8	1.161506E-7	-4.193198E-7	-2.154825E-7
   0:00:54	0	9.900000E+37	2.556200E+1	2.533200E+1	2.216900E-3	-2.976900E-3	2.000000E+1	-3.100000E-13	1.276417E-5	2.345251E-6	2.489736E-6	1.236379E-6	-1.723552E-6	1.560309E-6	-4.892438E-7	-1.897229E-7	4.704590E-7	-3.845605E-8	-1.412974E-6	3.036195E-7	3.484775E-7	-1.007789E-7	2.540848E-6	-1.740594E-7	2.721205E-6	-4.615602E-7	2.315335E-6	-4.212401E-7	2.495659E-6	6.257332E-8	-2.790224E-6	1.729499E-7	1.771303E-6	-5.378806E-7	-3.736639E-7	1.089238E-6	-1.559110E-7	2.234847E-7	8.167810E-10	-2.763497E-7	-2.378554E-7
   0:01:10	0	9.900000E+37	2.563800E+1	2.544700E+1	1.976200E-3	-2.964300E-3	3.000000E+1	-3.100000E-13	-1.450869E-6	2.637557E-6	2.024097E-6	-2.462154E-6	-1.007145E-6	1.438818E-6	-5.128601E-7	-1.636885E-7	4.580851E-7	-5.279511E-8	-1.037070E-6	2.827244E-7	2.965006E-7	1.994099E-8	-2.430352E-6	1.902771E-7	-2.808887E-6	4.229051E-7	-2.641961E-6	2.956660E-7	1.045708E-6	2.018137E-7	1.710638E-6	-6.858945E-7	1.633677E-6	-5.769148E-7	-3.422234E-7	1.126839E-6	-4.624069E-7	3.195757E-7	8.096588E-11	-3.940336E-7	2.261258E-8
   0:01:27	0	9.900000E+37	2.566300E+1	2.541700E+1	1.824200E-3	-2.964300E-3	4.000000E+1	-3.300000E-13	3.012192E-6	-2.599513E-6	-1.683292E-6	2.302243E-6	-2.558855E-6	-1.376875E-6	5.055678E-7	1.780078E-7	-4.408915E-7	6.287238E-8	8.778343E-7	-2.405757E-7	-1.001154E-7	-1.137607E-7	1.733231E-6	-1.300518E-7	1.657080E-6	-3.629758E-7	1.641104E-6	-3.314273E-7	1.512704E-6	-5.070935E-7	1.303467E-6	-4.240473E-7	1.307515E-6	-3.188523E-7	4.611599E-7	3.659089E-7	1.302940E-7	-2.063913E-7	8.801505E-10	3.319612E-7	3.507890E-8
   0:01:43	0	9.900000E+37	2.563100E+1	2.539800E+1	2.077500E-3	-2.989600E-3	5.000000E+1	-3.100000E-13	1.159023E-5	2.635736E-6	2.172609E-6	-2.581263E-6	-1.235588E-6	1.687994E-6	-5.125807E-7	-1.820017E-7	5.162689E-7	-3.181441E-8	-1.321140E-6	2.984695E-7	3.460215E-7	-1.073680E-7	2.407706E-6	-1.914104E-7	2.783925E-6	-5.153438E-7	1.626350E-6	-5.686321E-7	1.677842E-6	1.349351E-7	2.105703E-6	-5.635966E-7	2.190824E-6	-4.500381E-7	-4.990978E-7	1.706779E-7	-3.682763E-7	3.000964E-7	-5.182510E-9	-3.197921E-7	-1.179849E-8
   0:01:57	0	9.900000E+37	2.561100E+1	2.538900E+1	1.938200E-3	-2.976900E-3	6.000000E+1	-3.500000E-13	-2.024825E-6	-2.612054E-6	-2.340174E-6	-6.173119E-7	-2.116173E-6	-2.489159E-6	2.662126E-7	2.386540E-7	3.427958E-7	-1.089244E-7	2.418380E-6	-1.820143E-7	-6.370627E-7	3.522932E-8	1.451172E-6	-2.693880E-7	1.820278E-6	-6.669868E-7	1.741658E-6	-5.244782E-7	1.768803E-6	1.343111E-7	2.115710E-6	-5.443933E-7	1.848997E-7	-2.697776E-7	3.773837E-7	-1.005338E-6	-3.208276E-9	1.438487E-8	1.093586E-7	-4.803537E-7	-1.772588E-7
