APD#	0002	Started	06/11/07 12:24	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	3.001440E+1	0.000000E+0	3.491000E-11	-1.515305E-10	0.000000E+0	0.000000E+0	0.000000E+0	1.268828E-11	-1.270218E-11	-2.510581E-11	-1.266427E-11	-1.271364E-11	1.270861E-11	-1.266990E-11	-1.267640E-11	-1.266073E-11	1.269962E-11	-1.265217E-11	0.000000E+0	0.000000E+0	1.270126E-11	0.000000E+0	-1.262897E-11	-1.256866E-11	-1.265086E-11	-1.262928E-11	0.000000E+0	0.000000E+0	-1.264160E-11	0.000000E+0	0.000000E+0	1.269397E-11	-1.266026E-11	-1.270390E-11	0.000000E+0	-1.269358E-11
0:00:09	0	3.029942E+1	5.000000E+1	2.096000E-9	1.136728E-9	2.518756E-11	3.782495E-11	2.524686E-11	3.796492E-11	3.800653E-11	2.510581E-11	1.266427E-11	6.336799E-11	3.802576E-11	5.057982E-11	6.318235E-11	3.788249E-11	7.599772E-11	1.265217E-11	3.799958E-11	3.796591E-11	6.330629E-11	-1.261875E-11	7.557497E-11	2.503835E-11	2.520211E-11	3.778839E-11	3.790452E-11	2.514006E-11	2.518365E-11	2.508430E-11	2.521895E-11	3.798196E-11	1.266026E-11	2.530778E-11	3.762585E-11	5.067436E-11
0:00:18	0	3.041838E+1	1.000000E+2	3.051300E-9	1.591441E-9	3.783112E-11	5.046644E-11	2.524686E-11	2.527664E-11	5.070871E-11	3.770833E-11	5.055738E-11	6.336799E-11	3.802576E-11	5.057982E-11	7.585875E-11	3.788249E-11	8.869734E-11	5.050908E-11	5.069944E-11	5.065451E-11	1.013101E-10	-1.261875E-11	1.007335E-10	5.017566E-11	5.050384E-11	5.041766E-11	6.314095E-11	5.037949E-11	2.518365E-11	3.767602E-11	3.787826E-11	3.798196E-11	5.054135E-11	5.071558E-11	6.267674E-11	5.067436E-11
0:00:27	0	3.051931E+1	1.500000E+2	3.940500E-9	2.159118E-9	6.301868E-11	5.046644E-11	5.059350E-11	6.324156E-11	5.070871E-11	6.281413E-11	7.578621E-11	8.879528E-11	5.073437E-11	7.581985E-11	7.585875E-11	7.576498E-11	1.012970E-10	5.050908E-11	6.329930E-11	6.324321E-11	1.013101E-10	1.261875E-11	1.133624E-10	6.264536E-11	7.570596E-11	6.294749E-11	6.314095E-11	1.132793E-10	5.046684E-11	5.026775E-11	6.309721E-11	5.067593E-11	5.054135E-11	6.331946E-11	8.782665E-11	7.596156E-11
0:00:36	0	3.061979E+1	2.000000E+2	5.186900E-9	2.929673E-9	6.301868E-11	6.300840E-11	6.316703E-11	1.012065E-10	6.331088E-11	7.541665E-11	8.845048E-11	8.879528E-11	8.876013E-11	8.848975E-11	1.137881E-10	1.009867E-10	1.392958E-10	8.836598E-11	8.869902E-11	1.138977E-10	1.393138E-10	-2.513814E-11	1.385210E-10	1.002524E-10	8.835682E-11	1.259944E-10	1.010455E-10	1.258990E-10	8.829209E-11	6.276032E-11	8.841583E-11	8.865789E-11	7.576218E-11	1.013311E-10	1.003026E-10	1.012488E-10
0:00:45	0	3.072043E+1	2.500000E+2	6.406000E-9	3.649100E-9	8.830580E-11	8.829139E-11	1.010872E-10	6.324156E-11	1.013174E-10	8.801917E-11	8.845048E-11	1.394496E-10	1.140773E-10	1.137298E-10	1.264645E-10	1.009867E-10	1.519954E-10	1.135707E-10	1.139987E-10	1.518636E-10	1.647164E-10	-2.513814E-11	1.763084E-10	1.253897E-10	1.387611E-10	1.511535E-10	1.389500E-10	1.761791E-10	7.565049E-11	1.004363E-10	8.841583E-11	1.012519E-10	1.009830E-10	1.140350E-10	1.379284E-10	1.392295E-10
0:00:54	0	3.081999E+1	3.000000E+2	8.260200E-9	4.535690E-8	1.513245E-10	1.134748E-10	1.137605E-10	1.138948E-10	1.267218E-10	1.131250E-10	1.136793E-10	1.521633E-10	3.946153E-8	2.148894E-10	1.643939E-10	1.388692E-10	2.026939E-10	1.514276E-10	1.646982E-10	2.025181E-10	1.647164E-10	0.000000E+0	1.083307E-9	1.629967E-10	1.640628E-10	3.527247E-10	1.895226E-10	2.140383E-10	1.261173E-10	8.794377E-11	1.136348E-10	3.038557E-10	1.388641E-10	1.647506E-10	1.379284E-10	2.532718E-10
0:01:03	0	3.101815E+1	3.500000E+2	3.530800E-5	9.906711E+31	2.774614E-10	1.386583E-10	1.390074E-10	1.265830E-10	2.483327E-9	5.405191E-10	2.400229E-10	2.942057E-9	9.906711E+31	8.889530E-7	1.390411E-10	1.641907E-10	-4.813856E-10	1.514276E-10	2.153976E-10	2.277954E-10	1.493678E-8	-5.037563E-11	2.494173E-9	1.880350E-10	2.019158E-10	7.814061E-8	2.527633E-10	3.524577E-10	1.764846E-10	7.912956E-10	1.388537E-10	2.026038E-10	2.272865E-10	1.773545E-10	4.014084E-10	2.912526E-10
