APD#	0002	Started	06/20/07 14:49	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	-1.489456E+1	0.000000E+0	-1.360000E-12	-4.171916E-10	-1.264356E-11	-1.264150E-11	-2.524686E-11	-1.268828E-11	-1.270218E-11	0.000000E+0	-2.522883E-11	-1.271364E-11	-1.270861E-11	0.000000E+0	-2.525298E-11	-3.788249E-11	-1.269962E-11	-1.265217E-11	1.269986E-11	-1.268861E-11	-1.270126E-11	0.000000E+0	0.000000E+0	-1.256866E-11	-1.265086E-11	1.262928E-11	-2.523643E-11	-1.261971E-11	-2.518365E-11	0.000000E+0	-1.265931E-11	-2.528799E-11	0.000000E+0	-2.530778E-11	-1.257495E-11	-3.798078E-11
0:00:08	0	-1.502187E+1	5.000000E+1	2.495700E-10	-3.535404E-10	0.000000E+0	-2.518345E-11	-1.267332E-11	-1.268828E-11	-1.270218E-11	-1.260252E-11	0.000000E+0	1.271364E-11	-2.531715E-11	-1.266990E-11	0.000000E+0	-3.788249E-11	-2.529924E-11	0.000000E+0	1.269986E-11	-2.527730E-11	-1.270126E-11	-1.261875E-11	-1.262897E-11	-1.256866E-11	0.000000E+0	0.000000E+0	-1.266809E-11	-1.261971E-11	0.000000E+0	-1.259172E-11	-2.521895E-11	0.000000E+0	0.000000E+0	-1.270390E-11	-2.505089E-11	-2.528720E-11
0:00:17	0	-1.499550E+1	1.000000E+2	3.145700E-10	-3.158206E-10	0.000000E+0	-1.264150E-11	0.000000E+0	0.000000E+0	-1.270218E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.270861E-11	0.000000E+0	-1.267640E-11	-2.522176E-11	0.000000E+0	-1.265217E-11	-1.269986E-11	-1.268861E-11	-1.270126E-11	0.000000E+0	-1.262897E-11	-3.760701E-11	-1.265086E-11	-1.262928E-11	-1.266809E-11	-1.261971E-11	-1.264160E-11	-2.508430E-11	-1.265931E-11	0.000000E+0	-1.266026E-11	-1.270390E-11	-1.257495E-11	0.000000E+0
0:00:26	0	-1.499520E+1	1.500000E+2	3.345300E-10	-3.159217E-10	0.000000E+0	0.000000E+0	-2.524686E-11	-1.268828E-11	0.000000E+0	0.000000E+0	-1.266427E-11	0.000000E+0	0.000000E+0	-1.266990E-11	-1.267640E-11	0.000000E+0	0.000000E+0	-1.265217E-11	-2.529972E-11	0.000000E+0	-2.530252E-11	-2.513814E-11	-1.262897E-11	0.000000E+0	-2.520211E-11	-1.262928E-11	-1.266809E-11	-1.261971E-11	-1.264160E-11	0.000000E+0	0.000000E+0	-1.269397E-11	-2.522083E-11	-1.270390E-11	-1.257495E-11	0.000000E+0
0:00:35	0	-1.499580E+1	2.000000E+2	3.762100E-10	-4.295558E-10	-1.264356E-11	-1.264150E-11	-1.267332E-11	-1.268828E-11	-2.530435E-11	-2.510581E-11	-1.266427E-11	-1.271364E-11	-2.531715E-11	-1.266990E-11	-1.267640E-11	-1.266073E-11	-1.269962E-11	-1.265217E-11	-2.529972E-11	-1.268861E-11	-1.270126E-11	0.000000E+0	0.000000E+0	-2.503835E-11	-1.265086E-11	0.000000E+0	-1.266809E-11	-1.261971E-11	-1.264160E-11	-2.508430E-11	0.000000E+0	-1.269397E-11	0.000000E+0	-2.530778E-11	-2.505089E-11	0.000000E+0
0:00:43	0	-1.499497E+1	2.500000E+2	3.844400E-10	-3.790444E-10	0.000000E+0	-1.264150E-11	-1.267332E-11	-2.527664E-11	-2.530435E-11	0.000000E+0	0.000000E+0	-1.271364E-11	-2.531715E-11	-1.266990E-11	-1.267640E-11	-3.788249E-11	0.000000E+0	-2.520473E-11	0.000000E+0	-1.268861E-11	0.000000E+0	-1.261875E-11	-2.515851E-11	0.000000E+0	0.000000E+0	-1.262928E-11	-2.523643E-11	-1.261971E-11	-1.264160E-11	-1.259172E-11	0.000000E+0	0.000000E+0	-2.522083E-11	-1.270390E-11	-1.257495E-11	0.000000E+0
0:00:52	0	-1.499550E+1	3.000000E+2	4.388000E-10	-3.032854E-10	1.264356E-11	-1.264150E-11	-2.524686E-11	0.000000E+0	-1.270218E-11	-2.510581E-11	-1.266427E-11	1.271364E-11	-2.531715E-11	0.000000E+0	-2.525298E-11	-1.266073E-11	-1.269962E-11	0.000000E+0	0.000000E+0	-1.268861E-11	-3.800378E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.265086E-11	0.000000E+0	-1.266809E-11	-2.514006E-11	1.264160E-11	0.000000E+0	-2.521895E-11	-1.269397E-11	-1.266026E-11	0.000000E+0	-1.257495E-11	-1.269358E-11
0:01:01	0	-1.504285E+1	3.500000E+2	4.727600E-10	-2.402239E-10	1.264356E-11	-1.264150E-11	0.000000E+0	-1.268828E-11	-2.530435E-11	-1.260252E-11	0.000000E+0	-1.271364E-11	-1.270861E-11	0.000000E+0	0.000000E+0	-1.266073E-11	-2.529924E-11	-1.265217E-11	0.000000E+0	-1.268861E-11	0.000000E+0	0.000000E+0	-1.262897E-11	-1.256866E-11	0.000000E+0	-2.515911E-11	0.000000E+0	1.261971E-11	0.000000E+0	1.259172E-11	-1.265931E-11	1.269397E-11	-2.522083E-11	-2.530778E-11	-1.257495E-11	-1.269358E-11
0:01:10	0	-1.508169E+1	4.000000E+2	9.869000E-10	-5.073983E-11	6.301868E-11	1.264150E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-1.266427E-11	-1.271364E-11	0.000000E+0	0.000000E+0	-1.267640E-11	1.266073E-11	1.269962E-11	-1.265217E-11	0.000000E+0	1.268861E-11	-1.270126E-11	0.000000E+0	1.262897E-11	-1.256866E-11	-2.520211E-11	0.000000E+0	-1.266809E-11	0.000000E+0	-1.264160E-11	1.259172E-11	-2.521895E-11	-1.269397E-11	0.000000E+0	0.000000E+0	-1.257495E-11	-1.269358E-11
0:01:18	0	-1.509499E+1	4.100000E+2	9.444000E-10	1.135071E-10	8.830580E-11	1.264150E-11	0.000000E+0	1.268828E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.271364E-11	-1.270861E-11	0.000000E+0	1.267640E-11	-1.266073E-11	0.000000E+0	1.265217E-11	0.000000E+0	0.000000E+0	0.000000E+0	2.513814E-11	-2.515851E-11	0.000000E+0	1.265086E-11	0.000000E+0	2.523643E-11	1.261971E-11	-2.518365E-11	-1.259172E-11	0.000000E+0	0.000000E+0	-1.266026E-11	0.000000E+0	1.257495E-11	0.000000E+0
0:01:26	0	-1.498433E+1	4.200000E+2	4.785100E-5	4.662376E-5	-7.617296E-9	1.990524E-7	8.026265E-7	6.065686E-7	6.437232E-7	7.361193E-7	7.854168E-7	8.513912E-7	3.306759E-7	5.280184E-7	7.874204E-7	1.021213E-6	1.224685E-6	1.372157E-6	1.398142E-6	1.526859E-6	9.765938E-7	1.220059E-6	1.478844E-6	1.842281E-6	2.083891E-6	2.248194E-6	2.385102E-6	2.535909E-6	1.364920E-6	1.599967E-6	2.058981E-6	2.306812E-6	2.611566E-6	2.832352E-6	2.997832E-6	3.274008E-6
0:01:34	0	-1.489486E+1	4.300000E+2	9.998800E-5	1.000119E-4	1.689956E-9	1.798951E-6	2.808164E-6	2.337861E-6	2.388328E-6	2.543792E-6	2.452408E-6	2.468042E-6	1.957259E-6	2.221594E-6	2.440859E-6	2.724487E-6	2.929265E-6	3.089828E-6	3.112254E-6	3.248477E-6	2.659843E-6	2.927503E-6	3.190317E-6	3.580056E-6	3.818080E-6	3.979159E-6	4.137143E-6	4.323365E-6	3.092907E-6	3.297675E-6	3.743540E-6	4.064484E-6	4.340262E-6	4.525912E-6	4.743440E-6	5.064989E-6
