APD#	0016	Started	06/26/07 15:15	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.742310E+1	0.000000E+0	3.470000E-11	-3.288255E-10	0.000000E+0	0.000000E+0	-1.267332E-11	-3.796492E-11	-1.270218E-11	1.260252E-11	-2.522883E-11	-2.532718E-11	-1.270861E-11	-1.266990E-11	-1.267640E-11	0.000000E+0	0.000000E+0	-3.785690E-11	-1.269986E-11	0.000000E+0	-1.270126E-11	-1.261875E-11	-1.262897E-11	0.000000E+0	-1.265086E-11	0.000000E+0	0.000000E+0	-2.514006E-11	-2.518365E-11	1.259172E-11	-1.265931E-11	0.000000E+0	-1.266026E-11	0.000000E+0	-1.257495E-11	-1.269358E-11
0:00:08	0	2.742469E+1	5.000000E+1	3.841800E-9	9.468804E-10	3.783112E-11	3.782495E-11	2.524686E-11	2.527664E-11	3.800653E-11	3.770833E-11	2.522883E-11	5.075446E-11	1.270861E-11	3.790993E-11	3.792938E-11	3.788249E-11	6.329810E-11	0.000000E+0	2.529972E-11	3.796591E-11	2.530252E-11	2.513814E-11	3.778748E-11	1.256866E-11	3.785298E-11	2.515911E-11	1.266809E-11	2.514006E-11	2.518365E-11	2.508430E-11	2.521895E-11	2.528799E-11	3.788109E-11	1.270390E-11	2.505089E-11	3.798078E-11
0:00:17	0	2.742454E+1	1.000000E+2	5.331500E-9	1.553107E-9	7.566224E-11	5.046644E-11	3.792018E-11	2.527664E-11	3.800653E-11	3.770833E-11	3.789310E-11	6.336799E-11	5.073437E-11	6.314996E-11	3.792938E-11	5.054321E-11	6.329810E-11	3.785690E-11	5.069944E-11	5.065451E-11	6.330629E-11	3.775688E-11	5.041646E-11	5.017566E-11	2.520211E-11	6.294749E-11	2.523643E-11	6.289983E-11	3.782525E-11	5.026775E-11	6.309721E-11	5.067593E-11	5.054135E-11	5.071558E-11	5.020080E-11	5.067436E-11
0:00:26	0	2.742538E+1	1.500000E+2	6.655300E-9	2.550976E-9	1.008498E-10	8.829139E-11	7.584036E-11	6.324156E-11	6.331088E-11	8.801917E-11	8.845048E-11	1.014088E-10	7.605152E-11	8.848975E-11	5.060577E-11	1.009867E-10	1.012970E-10	7.571380E-11	8.869902E-11	7.593181E-11	8.870882E-11	7.551377E-11	8.820394E-11	7.521401E-11	7.570596E-11	5.041766E-11	7.580904E-11	8.813926E-11	6.300890E-11	7.535205E-11	8.841583E-11	8.865789E-11	7.576218E-11	7.602336E-11	5.020080E-11	8.865514E-11
0:00:35	0	2.742492E+1	2.000000E+2	7.676500E-9	4.419164E-9	1.386809E-10	1.512998E-10	1.264339E-10	1.265830E-10	1.393239E-10	1.508333E-10	1.389081E-10	1.774904E-10	1.521030E-10	1.516397E-10	1.264645E-10	1.263082E-10	1.519954E-10	1.262229E-10	1.392985E-10	1.518636E-10	1.520151E-10	1.258894E-10	1.385210E-10	1.253897E-10	1.262098E-10	1.385243E-10	1.389500E-10	1.510391E-10	1.386594E-10	1.381124E-10	1.388537E-10	1.392339E-10	1.263035E-10	1.013311E-10	1.254525E-10	1.392295E-10
0:00:43	0	2.742599E+1	2.500000E+2	1.153100E-8	7.564200E-9	2.648179E-10	2.522327E-10	2.022742E-10	1.898246E-10	2.280392E-10	2.639583E-10	2.652517E-10	2.917130E-10	2.281546E-10	2.527993E-10	2.275763E-10	2.272949E-10	2.406928E-10	2.271414E-10	2.533972E-10	2.657613E-10	2.660264E-10	2.265413E-10	2.519828E-10	2.006037E-10	2.145666E-10	2.267303E-10	2.527633E-10	2.391783E-10	2.269515E-10	2.260561E-10	2.399289E-10	2.405857E-10	2.147260E-10	2.154662E-10	2.132792E-10	2.278847E-10
0:00:52	0	2.742667E+1	3.000000E+2	1.799900E-8	1.392788E-8	4.792606E-10	4.665408E-10	4.045484E-10	3.670608E-10	4.307740E-10	4.651024E-10	5.052746E-10	5.325714E-10	4.182833E-10	4.928290E-10	3.919702E-10	4.167074E-10	4.306871E-10	4.038734E-10	4.306953E-10	4.430022E-10	4.687466E-10	4.153257E-10	4.534498E-10	4.012074E-10	4.290336E-10	4.409308E-10	4.548542E-10	4.405969E-10	4.160777E-10	4.270280E-10	4.419795E-10	4.431895E-10	4.041314E-10	4.055246E-10	3.888334E-10	4.177886E-10
0:01:01	0	2.742530E+1	3.500000E+2	3.346200E-8	2.884086E-8	9.585212E-10	9.583647E-10	8.722639E-10	8.099516E-10	8.995545E-10	9.554099E-10	9.979847E-10	1.052529E-9	8.873011E-10	9.857578E-10	8.597991E-10	8.587362E-10	8.866734E-10	8.581562E-10	8.993901E-10	8.733158E-10	9.881982E-10	9.062646E-10	9.321575E-10	8.524915E-10	9.085711E-10	8.692323E-10	9.477127E-10	8.685741E-10	8.447970E-10	8.791403E-10	9.091779E-10	9.116670E-10	8.713648E-10	8.616648E-10	8.278677E-10	8.482708E-10
0:01:10	0	2.742424E+1	4.000000E+2	8.266000E-8	7.846471E-8	2.459222E-9	2.597578E-9	2.376497E-9	2.252818E-9	2.407314E-9	2.551861E-9	2.640152E-9	2.675771E-9	2.383114E-9	2.653894E-9	2.339145E-9	2.336253E-9	2.381429E-9	2.322122E-9	2.419473E-9	2.252877E-9	2.685867E-9	2.529910E-9	2.607535E-9	2.331832E-9	2.536349E-9	2.456444E-9	2.603043E-9	2.278405E-9	2.320181E-9	2.486816E-9	2.525483E-9	2.582973E-9	2.411929E-9	2.432948E-9	2.245174E-9	2.380296E-9
0:01:18	0	2.742469E+1	4.100000E+2	1.060500E-7	1.028351E-7	3.203300E-9	3.404544E-9	3.122328E-9	2.974152E-9	3.142140E-9	3.356339E-9	3.461236E-9	3.462015E-9	3.131021E-9	3.450103E-9	3.059902E-9	3.056120E-9	3.116207E-9	3.041403E-9	3.166865E-9	2.961640E-9	3.509349E-9	3.322904E-9	3.413801E-9	3.058934E-9	3.331361E-9	3.212311E-9	3.436942E-9	2.983320E-9	3.038860E-9	3.240435E-9	3.320927E-9	3.405982E-9	3.169650E-9	3.218589E-9	2.935113E-9	3.127318E-9
