APD#	0009	Started	06/25/07 16:24	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.172251E+1	0.000000E+0	3.120000E-11	-2.404885E-10	0.000000E+0	-1.264150E-11	0.000000E+0	0.000000E+0	-1.270218E-11	0.000000E+0	1.266427E-11	-1.271364E-11	-1.270861E-11	0.000000E+0	-1.267640E-11	0.000000E+0	0.000000E+0	-2.520473E-11	-1.269986E-11	-3.796591E-11	0.000000E+0	0.000000E+0	-1.262897E-11	-1.256866E-11	0.000000E+0	-1.262928E-11	0.000000E+0	-1.261971E-11	-1.264160E-11	0.000000E+0	0.000000E+0	-1.269397E-11	-1.266026E-11	-1.270390E-11	0.000000E+0	-1.269358E-11
0:00:08	0	2.172159E+1	5.000000E+1	2.584900E-9	1.615472E-9	5.047468E-11	5.046644E-11	5.059350E-11	2.527664E-11	3.800653E-11	6.281413E-11	3.789310E-11	3.804082E-11	1.013687E-10	-1.266990E-11	1.264645E-10	1.388692E-10	1.269962E-11	1.892845E-10	-2.529972E-11	0.000000E+0	5.070504E-11	6.289502E-11	5.041646E-11	3.760701E-11	2.520211E-11	5.041766E-11	0.000000E+0	1.132793E-10	3.782525E-11	1.259172E-11	2.521895E-11	6.326995E-11	6.310192E-11	2.530778E-11	6.267674E-11	5.067436E-11
0:00:17	0	2.172030E+1	1.000000E+2	3.703200E-9	2.499528E-9	6.301868E-11	7.564989E-11	6.316703E-11	7.592984E-11	3.800653E-11	8.801917E-11	3.789310E-11	7.608164E-11	2.028374E-10	-2.524003E-11	2.023233E-10	2.399557E-10	0.000000E+0	3.785690E-10	-1.269986E-11	-3.796591E-11	7.600756E-11	8.813251E-11	3.778748E-11	3.760701E-11	6.305509E-11	7.557677E-11	0.000000E+0	2.014186E-10	5.046684E-11	3.767602E-11	3.787826E-11	7.596392E-11	7.576218E-11	3.801168E-11	6.267674E-11	7.596156E-11
0:00:26	0	2.172083E+1	1.500000E+2	4.543500E-9	3.155842E-9	6.301868E-11	1.134748E-10	7.584036E-11	7.592984E-11	7.601306E-11	8.801917E-11	6.312193E-11	8.879528E-11	2.661803E-10	0.000000E+0	2.529290E-10	3.157206E-10	0.000000E+0	5.047919E-10	0.000000E+0	-1.268861E-11	8.870882E-11	1.006519E-10	5.041646E-11	6.264536E-11	6.305509E-11	8.820605E-11	-1.266809E-11	2.769381E-10	5.046684E-11	5.026775E-11	3.787826E-11	7.596392E-11	7.576218E-11	2.530778E-11	8.782665E-11	6.326799E-11
0:00:35	0	2.171924E+1	2.000000E+2	5.543200E-9	3.913366E-9	8.830580E-11	1.134748E-10	8.851368E-11	1.012065E-10	7.601306E-11	1.131250E-10	7.578621E-11	1.014088E-10	3.422318E-10	-1.266990E-11	3.034350E-10	4.167074E-10	0.000000E+0	6.562195E-10	0.000000E+0	0.000000E+0	1.013101E-10	1.132707E-10	6.294599E-11	6.264536E-11	8.835682E-11	1.007359E-10	-1.266809E-11	3.524577E-10	5.046684E-11	5.026775E-11	3.787826E-11	1.012519E-10	8.842244E-11	5.071558E-11	1.003026E-10	1.012488E-10
0:00:43	0	2.171871E+1	2.500000E+2	6.536300E-9	4.595147E-9	1.008498E-10	1.261163E-10	1.010872E-10	1.138948E-10	8.871524E-11	1.382308E-10	7.578621E-11	1.141225E-10	4.056748E-10	-2.524003E-11	3.667172E-10	5.051331E-10	0.000000E+0	8.329514E-10	-2.529972E-11	0.000000E+0	1.267126E-10	1.384088E-10	7.557497E-11	5.017566E-11	6.305509E-11	1.133652E-10	-1.266809E-11	4.531173E-10	6.300890E-11	6.276032E-11	6.309721E-11	1.139459E-10	1.009830E-10	6.331946E-11	1.003026E-10	1.012488E-10
0:00:52	0	2.172007E+1	3.000000E+2	7.571700E-9	5.592781E-9	1.008498E-10	1.512998E-10	1.264339E-10	1.265830E-10	1.140196E-10	1.634358E-10	8.845048E-11	1.521633E-10	4.817263E-10	-2.524003E-11	4.425759E-10	5.935588E-10	0.000000E+0	9.970312E-10	-2.529972E-11	-1.268861E-11	1.267126E-10	1.636463E-10	1.007335E-10	8.778267E-11	1.009081E-10	1.259944E-10	0.000000E+0	5.412565E-10	8.829209E-11	6.276032E-11	8.841583E-11	1.266398E-10	1.388641E-10	7.602336E-11	1.379284E-10	1.519231E-10
0:01:01	0	2.172038E+1	3.500000E+2	9.223000E-9	7.019293E-9	1.386809E-10	2.017662E-10	1.643540E-10	1.518597E-10	1.520261E-10	2.262500E-10	1.136793E-10	1.774904E-10	5.704864E-10	-1.266990E-11	5.563641E-10	7.450887E-10	0.000000E+0	1.186316E-9	-3.799958E-11	-1.268861E-11	2.154214E-10	2.140219E-10	1.133624E-10	1.002524E-10	1.135589E-10	2.142005E-10	1.266809E-11	6.293958E-10	8.829209E-11	8.794377E-11	7.575652E-11	1.899098E-10	1.767452E-10	8.872727E-11	1.881292E-10	1.899039E-10
0:01:10	0	2.172228E+1	4.000000E+2	1.244500E-8	1.033880E-8	2.269867E-10	3.278826E-10	2.654412E-10	2.404778E-10	3.294566E-10	3.770833E-10	1.894655E-10	2.789994E-10	7.098809E-10	-1.266990E-11	6.701522E-10	9.092794E-10	0.000000E+0	1.489171E-9	-1.269986E-11	-1.268861E-11	3.294327E-10	3.398120E-10	2.015664E-10	2.006037E-10	1.892649E-10	3.275656E-10	-1.266809E-11	8.055749E-10	1.764846E-10	1.883801E-10	1.893913E-10	3.165496E-10	3.157090E-10	1.900584E-10	3.010068E-10	3.038463E-10
0:01:18	0	2.171886E+1	4.100000E+2	1.354800E-8	1.194225E-8	2.901050E-10	3.782495E-10	3.287081E-10	2.784427E-10	4.434762E-10	4.273941E-10	2.400229E-10	3.170402E-10	7.606152E-10	-1.266990E-11	7.080816E-10	9.850444E-10	-1.269962E-11	1.577537E-9	-1.269986E-11	-2.527730E-11	3.800378E-10	4.028063E-10	2.393539E-10	2.382107E-10	2.397687E-10	3.778839E-10	0.000000E+0	8.559544E-10	2.647767E-10	2.260561E-10	2.399289E-10	3.925136E-10	3.914712E-10	2.534779E-10	3.888334E-10	3.798078E-10
0:01:26	0	2.182405E+1	4.200000E+2	1.705400E-8	1.547655E-8	3.909548E-10	5.043658E-10	4.297953E-10	3.670608E-10	7.095219E-10	5.908299E-10	3.284734E-10	4.058355E-10	8.873011E-10	-2.524003E-11	7.966167E-10	1.073470E-9	0.000000E+0	1.792026E-9	0.000000E+0	0.000000E+0	5.194516E-10	5.664526E-10	3.778748E-10	3.384631E-10	3.533277E-10	5.038783E-10	0.000000E+0	9.692337E-10	3.782525E-10	3.767602E-10	3.787826E-10	5.191534E-10	5.177747E-10	3.801168E-10	5.142859E-10	5.317309E-10
0:01:34	0	2.182124E+1	4.300000E+2	3.728000E-8	3.566792E-8	9.332340E-10	9.330817E-10	8.216704E-10	6.960568E-10	1.925831E-9	1.169057E-9	6.695113E-10	7.354892E-10	1.432470E-9	0.000000E+0	1.314952E-9	1.578603E-9	0.000000E+0	2.915280E-9	-1.269986E-11	-2.527730E-11	1.418941E-9	1.422342E-9	1.184140E-9	1.165916E-9	1.097836E-9	1.209328E-9	-1.266809E-11	1.661529E-9	1.588760E-9	1.494648E-9	1.515230E-9	1.582748E-9	1.490123E-9	1.229178E-9	1.304429E-9	1.228179E-9
0:01:43	0	2.182261E+1	4.400000E+2	9.999100E-5	1.000804E-4	2.655389E-6	2.611958E-6	2.522613E-6	2.399622E-6	2.279873E-6	2.052886E-6	1.858140E-6	1.527221E-6	3.492877E-6	2.524003E-11	3.513270E-6	3.443422E-6	-3.039909E-10	3.024002E-6	-3.799958E-11	1.138977E-10	4.721544E-6	4.639730E-6	4.501371E-6	4.423244E-6	4.237138E-6	3.970958E-6	4.043814E-10	3.318638E-6	5.530636E-6	5.302384E-6	5.208829E-6	5.067666E-6	4.829123E-6	4.636308E-6	4.232071E-6	4.079261E-6
