APD#	0001	Started	06/08/07 20:38	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.652006E+1	0.000000E+0	1.272500E-10	-3.778754E-11	1.264356E-11	0.000000E+0	0.000000E+0	-1.268828E-11	-1.270218E-11	0.000000E+0	0.000000E+0	1.271364E-11	0.000000E+0	-1.266990E-11	0.000000E+0	0.000000E+0	3.799886E-11	1.265217E-11	0.000000E+0	-1.268861E-11	-1.270126E-11	0.000000E+0	1.262897E-11	-1.256866E-11	1.265086E-11	0.000000E+0	-1.266809E-11	-1.261971E-11	-2.518365E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-1.270390E-11	-1.257495E-11	1.269358E-11
0:00:08	0	2.651945E+1	5.000000E+1	3.355700E-9	2.764708E-9	1.134934E-10	8.829139E-11	8.851368E-11	8.861812E-11	7.601306E-11	7.541665E-11	1.010150E-10	8.879528E-11	1.013687E-10	1.137298E-10	1.011117E-10	1.009867E-10	1.012970E-10	7.571380E-11	1.139987E-10	8.862042E-11	-1.270126E-11	1.006519E-10	1.007335E-10	8.778267E-11	1.009081E-10	1.007359E-10	8.847713E-11	1.006596E-10	7.565049E-11	7.535205E-11	5.053757E-11	6.326995E-11	8.842244E-11	6.331946E-11	6.267674E-11	1.012488E-10
0:00:17	0	2.651839E+1	1.000000E+2	4.348300E-9	3.750165E-9	1.513245E-10	1.386583E-10	1.264339E-10	1.265830E-10	1.140196E-10	1.005225E-10	1.389081E-10	1.268361E-10	1.267859E-10	1.389698E-10	1.264645E-10	1.388692E-10	1.266962E-10	1.262229E-10	1.266986E-10	1.265863E-10	-1.270126E-11	1.384088E-10	1.133624E-10	1.128210E-10	1.262098E-10	1.259944E-10	1.263816E-10	1.510391E-10	1.008341E-10	8.794377E-11	8.841583E-11	8.865789E-11	8.842244E-11	1.267389E-10	8.782665E-11	1.392295E-10
0:00:26	0	2.651785E+1	1.500000E+2	4.978600E-9	4.317931E-9	1.386809E-10	1.512998E-10	1.516807E-10	1.391714E-10	1.267218E-10	1.382308E-10	1.263436E-10	1.521633E-10	1.521030E-10	1.516397E-10	1.517175E-10	1.515300E-10	1.646951E-10	1.514276E-10	1.646982E-10	1.391750E-10	-2.530252E-11	1.510275E-10	1.385210E-10	1.504280E-10	1.514119E-10	1.511535E-10	1.642862E-10	1.510391E-10	1.261173E-10	1.004363E-10	8.841583E-11	1.139459E-10	1.136433E-10	1.140350E-10	1.128775E-10	1.646167E-10
0:00:35	0	2.661636E+1	2.000000E+2	5.868600E-9	5.100469E-9	1.765121E-10	1.512998E-10	1.643540E-10	1.645480E-10	1.647283E-10	1.634358E-10	1.389081E-10	1.648769E-10	1.648116E-10	1.895496E-10	1.643939E-10	1.894124E-10	1.899943E-10	1.766323E-10	1.772980E-10	1.518636E-10	0.000000E+0	1.887844E-10	1.763084E-10	1.880350E-10	1.892649E-10	1.889419E-10	1.642862E-10	1.887989E-10	1.386594E-10	1.256198E-10	1.136348E-10	1.266398E-10	1.263035E-10	1.520467E-10	1.379284E-10	2.025975E-10
0:00:43	0	2.661841E+1	2.500000E+2	1.732400E-6	1.304789E-6	2.144427E-10	1.891247E-10	1.896009E-10	2.025129E-10	2.027348E-10	2.011441E-10	1.768012E-10	1.902041E-10	2.155460E-10	1.895496E-10	2.023233E-10	2.147339E-10	2.026939E-10	2.524458E-10	2.026978E-10	1.898295E-10	0.000000E+0	2.244343E-7	2.645124E-10	8.525138E-7	3.331361E-9	2.167482E-7	2.274271E-10	2.014186E-10	6.934960E-10	1.757884E-10	1.515130E-10	1.772158E-10	1.767452E-10	2.103546E-9	1.505034E-10	2.025975E-10
0:00:52	0	2.661948E+1	3.000000E+2	9.127100E-5	1.963428E+32	2.017992E-10	2.269497E-10	2.022742E-10	1.771363E-10	1.773305E-10	1.131250E-10	1.010150E-10	1.521633E-10	2.535718E-10	-1.137298E-10	1.137881E-10	1.388692E-10	2.153935E-10	-7.571380E-11	1.392985E-10	-2.527730E-11	-1.773176E-10	9.836662E+31	1.154850E-6	9.797615E+31	1.042538E-6	6.453337E-6	1.137136E-10	-5.037949E-11	6.047028E-7	6.405916E-10	2.651478E-10	5.395177E-8	1.515244E-10	2.016890E-6	-1.254525E-10	2.152911E-10
