APD#	0002	Started	06/11/07 12:31	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.816059E+1	0.000000E+0	4.787000E-11	-1.642137E-10	2.518756E-11	-1.264150E-11	-1.267332E-11	-2.527664E-11	-1.270218E-11	-1.260252E-11	0.000000E+0	0.000000E+0	0.000000E+0	1.266990E-11	-1.267640E-11	0.000000E+0	2.529924E-11	-1.265217E-11	-1.269986E-11	0.000000E+0	-1.270126E-11	-1.261875E-11	-1.262897E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.266809E-11	0.000000E+0	0.000000E+0	-2.508430E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.505089E-11	-1.269358E-11
0:00:08	0	2.831656E+1	5.000000E+1	2.757500E-9	9.596699E-10	3.783112E-11	1.264150E-11	1.267332E-11	0.000000E+0	2.530435E-11	2.510581E-11	2.400229E-10	3.804082E-11	-1.270861E-11	2.524003E-11	5.060577E-11	1.266073E-11	6.329810E-11	1.265217E-11	1.269986E-11	2.527730E-11	6.330629E-11	-2.513814E-11	5.041646E-11	2.503835E-11	2.520211E-11	2.515911E-11	1.266809E-11	3.775977E-11	0.000000E+0	2.508430E-11	1.265931E-11	2.528799E-11	1.266026E-11	2.530778E-11	3.762585E-11	2.528720E-11
0:00:17	0	2.851790E+1	1.000000E+2	3.375500E-9	1.224620E-9	3.783112E-11	0.000000E+0	0.000000E+0	2.527664E-11	2.530435E-11	2.510581E-11	2.147941E-10	5.075446E-11	-1.270861E-11	3.790993E-11	3.792938E-11	3.788249E-11	6.329810E-11	3.785690E-11	3.799958E-11	3.796591E-11	7.600756E-11	-1.261875E-11	8.820394E-11	2.503835E-11	1.265086E-11	5.041766E-11	2.523643E-11	5.037949E-11	2.518365E-11	2.508430E-11	2.521895E-11	2.528799E-11	1.266026E-11	3.801168E-11	6.267674E-11	3.798078E-11
0:00:26	0	2.862378E+1	1.500000E+2	4.249500E-9	1.641834E-9	3.783112E-11	5.046644E-11	3.792018E-11	2.527664E-11	3.800653E-11	2.510581E-11	1.642367E-10	5.075446E-11	0.000000E+0	5.057982E-11	6.318235E-11	3.788249E-11	8.869734E-11	5.050908E-11	5.069944E-11	8.862042E-11	8.870882E-11	-1.261875E-11	1.133624E-10	3.760701E-11	5.050384E-11	5.041766E-11	5.057261E-11	7.551954E-11	2.518365E-11	2.508430E-11	2.521895E-11	5.067593E-11	3.788109E-11	5.071558E-11	7.525170E-11	3.798078E-11
0:00:35	0	2.881570E+1	2.000000E+2	5.364000E-9	2.348476E-9	8.830580E-11	5.046644E-11	5.059350E-11	6.324156E-11	6.331088E-11	6.281413E-11	1.136793E-10	1.014088E-10	-1.270861E-11	7.581985E-11	8.853515E-11	6.310425E-11	1.139966E-10	7.571380E-11	7.599916E-11	8.862042E-11	1.140113E-10	-1.261875E-11	1.133624E-10	8.778267E-11	6.305509E-11	7.557677E-11	1.010455E-10	1.132793E-10	7.565049E-11	3.767602E-11	6.309721E-11	7.596392E-11	3.788109E-11	7.602336E-11	8.782665E-11	7.596156E-11
0:00:43	0	2.892074E+1	2.500000E+2	6.526700E-9	3.017857E-9	1.008498E-10	7.564989E-11	7.584036E-11	7.592984E-11	6.331088E-11	8.801917E-11	1.768012E-10	1.394496E-10	-2.531715E-11	8.848975E-11	1.264645E-10	8.842570E-11	1.519954E-10	7.571380E-11	8.869902E-11	1.265863E-10	1.267126E-10	-1.261875E-11	1.385210E-10	8.778267E-11	1.135589E-10	1.133652E-10	1.137136E-10	1.258990E-10	8.829209E-11	7.535205E-11	6.309721E-11	8.865789E-11	7.576218E-11	8.872727E-11	1.128775E-10	1.012488E-10
0:00:52	0	2.901719E+1	3.000000E+2	8.230600E-9	4.758416E-9	1.513245E-10	1.008333E-10	6.316703E-11	8.861812E-11	8.871524E-11	8.801917E-11	4.547172E-10	1.902041E-10	-2.531715E-11	1.895496E-10	1.264645E-10	1.263082E-10	1.519954E-10	1.262229E-10	1.266986E-10	1.518636E-10	1.393138E-10	-1.261875E-11	4.156623E-10	1.253897E-10	1.387611E-10	6.047136E-10	1.389500E-10	1.761791E-10	1.008341E-10	1.004363E-10	7.575652E-11	8.865789E-11	1.009830E-10	1.013311E-10	1.254525E-10	1.392295E-10
0:01:01	0	2.911797E+1	3.500000E+2	3.162700E-7	6.429954E-7	2.901050E-10	1.008333E-10	1.137605E-10	1.265830E-10	1.140196E-10	1.131250E-10	2.526473E-9	3.398647E-9	0.000000E+0	1.233698E-7	1.769705E-10	1.641907E-10	1.772947E-10	1.009185E-10	2.533972E-10	2.025181E-10	3.848983E-7	-1.261875E-11	6.550162E-10	1.253897E-10	1.766140E-10	1.245237E-7	1.768545E-10	1.887989E-10	1.261173E-10	1.130281E-10	8.841583E-11	1.266398E-10	1.263035E-10	1.140350E-10	1.630783E-10	1.772103E-10
