APD#	0019	Started	07/20/07 16:08	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	1.861831E+1	1.518500E+1	1.530500E+1	5.574000E-4	-1.399790E-2	0.000000E+0	-7.401400E-10	-7.934458E-11	3.720392E-12	-4.224449E-12	3.163341E-13	-2.594603E-12	-1.900326E-12	-3.142691E-12	-2.400229E-12	-3.044266E-12	-2.598760E-12	-3.917692E-12	-2.592173E-12	-2.020732E-12	-8.869734E-13	-4.165255E-12	-3.673960E-12	-2.974329E-12	-3.231321E-12	-3.335523E-12	-5.353890E-12	-3.824039E-12	-1.956401E-12	-2.393596E-12	-2.779997E-12	-2.076787E-12	-2.395931E-12	-3.077536E-12	1.893913E-13	-3.039556E-12	-2.462271E-12	-1.267389E-12	-2.947688E-12	-3.292334E-12
0:00:13	0	1.861785E+1	1.518800E+1	1.527000E+1	5.701000E-4	-1.389660E-2	0.000000E+0	-4.455000E-10	-3.265510E-10	1.891556E-12	-1.059298E-11	-8.723637E-12	-1.018958E-11	-1.000972E-11	-9.806149E-12	-9.475270E-12	-1.147732E-11	-1.102947E-11	-1.105872E-11	-1.024293E-11	-1.041968E-11	-4.623861E-12	-1.388352E-11	-1.222587E-11	-1.120194E-11	-1.178317E-11	-1.120286E-11	-1.297602E-11	-1.172250E-11	-9.338728E-12	-1.020485E-11	-1.150003E-11	-1.063733E-11	-1.198065E-11	-9.922675E-12	-8.460807E-12	-1.164947E-11	-9.787278E-12	-1.013812E-11	-1.147786E-11	-1.069959E-11
0:00:26	0	1.862082E+1	1.517900E+1	1.527700E+1	5.827000E-4	-1.387120E-2	1.000000E+1	3.361600E-10	2.821524E-12	1.519816E-11	2.333202E-12	1.896009E-12	2.152012E-12	-9.501632E-13	-3.770833E-13	-1.263436E-12	-6.306767E-14	-1.901288E-13	-1.011596E-12	1.454292E-12	0.000000E+0	4.306871E-12	-3.344358E-12	-2.596971E-12	-1.265863E-12	-5.700567E-13	3.149719E-13	-2.141954E-12	-1.818002E-12	-3.157735E-13	8.820605E-13	-2.400952E-12	-1.007590E-12	1.513010E-12	6.276032E-13	2.336491E-12	-1.963068E-12	-1.579043E-12	-1.964604E-12	-1.254525E-12	-4.114918E-12
0:00:40	0	1.861831E+1	1.518600E+1	1.527600E+1	5.701000E-4	-1.385860E-2	2.000000E+1	2.908700E-10	1.289240E-10	1.904498E-11	6.809486E-12	6.131094E-12	7.593983E-12	3.294566E-12	3.206200E-12	1.263436E-12	5.644056E-12	3.549404E-12	2.717543E-12	4.615406E-12	4.104269E-12	7.727768E-12	9.464225E-13	8.229909E-13	3.101215E-12	4.371435E-12	3.901876E-12	1.700437E-12	4.012074E-12	4.543354E-12	2.393596E-12	1.769543E-12	2.706779E-12	3.594394E-12	4.898875E-12	6.188111E-12	2.089008E-12	2.336665E-12	3.104954E-12	2.069422E-12	-1.329327E-12
0:00:53	0	1.862120E+1	1.519900E+1	1.527900E+1	5.574000E-4	-1.378250E-2	3.000000E+1	9.925000E-10	2.344823E-10	2.213519E-11	9.331812E-12	1.049291E-11	1.069512E-11	6.272078E-12	7.103058E-12	5.368854E-12	9.322003E-12	3.739533E-12	6.888633E-12	8.851518E-12	8.461752E-12	1.165465E-11	4.228018E-12	5.700937E-12	6.582089E-12	8.805875E-12	7.993530E-12	3.464516E-12	6.958286E-12	6.625267E-12	7.811257E-12	2.843836E-12	5.602358E-12	7.692461E-12	9.734295E-12	7.451052E-12	4.811714E-12	4.609531E-12	6.399967E-12	5.330989E-12	1.519231E-12
0:01:07	0	1.861983E+1	1.518200E+1	1.527600E+1	5.701000E-4	-1.382050E-2	4.000000E+1	1.253600E-9	3.359797E-10	2.345928E-11	1.071939E-11	1.327406E-11	1.322678E-11	8.299426E-12	8.737416E-12	7.832903E-12	1.388790E-11	1.001478E-11	9.415628E-12	1.391010E-11	1.281923E-11	1.475856E-11	8.582558E-12	7.157921E-12	1.120194E-11	1.393739E-11	1.126646E-11	6.235929E-12	9.779801E-12	1.009579E-11	9.889618E-12	6.444766E-12	9.253132E-12	1.134957E-11	1.425641E-11	1.041851E-11	8.358030E-12	7.577215E-12	9.757999E-12	7.275651E-12	2.785590E-12
0:01:20	0	1.862013E+1	1.518300E+1	1.527200E+1	5.701000E-4	-1.379520E-2	5.000000E+1	1.512800E-9	4.427937E-10	2.856747E-11	1.570034E-11	1.858388E-11	1.803633E-11	1.058082E-11	1.370301E-11	1.017031E-11	1.686810E-11	1.090239E-11	1.377627E-11	1.580657E-11	1.932406E-11	1.779947E-11	1.205344E-11	1.159187E-11	1.449299E-11	1.406440E-11	1.409822E-11	7.055321E-12	1.391756E-11	1.274649E-11	1.121221E-11	1.029906E-11	1.409930E-11	1.506938E-11	1.614120E-11	1.237622E-11	1.171344E-11	9.976683E-12	1.337011E-11	1.141548E-11	7.281316E-12
0:01:34	0	1.862173E+1	1.517800E+1	1.526400E+1	5.827000E-4	-1.380790E-2	6.000000E+1	1.686800E-9	5.534960E-10	3.254074E-11	1.948383E-11	2.218730E-11	2.234036E-11	1.469853E-11	1.653212E-11	1.326458E-11	2.143400E-11	1.572065E-11	1.712531E-11	2.010656E-11	2.102877E-11	2.141036E-11	1.552432E-11	1.418884E-11	1.829058E-11	1.932192E-11	1.844126E-11	1.240921E-11	1.661240E-11	1.659554E-11	1.442522E-11	1.314289E-11	1.579948E-11	1.721347E-11	2.053740E-11	1.673222E-11	1.449911E-11	1.351358E-11	1.584087E-11	1.398691E-11	8.547675E-12
