APD#	0001	Started	06/12/07 15:09	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.751894E+1	2.548100E+1	2.551100E+1	5.447000E-4	-2.976900E-3	0.000000E+0	2.402000E-10	1.376563E-10	8.198402E-12	3.152411E-12	3.160347E-12	3.987316E-12	3.674631E-12	2.451041E-12	2.842980E-12	3.614879E-12	5.134478E-12	4.296791E-12	4.742170E-12	4.609701E-12	8.551743E-12	2.649983E-12	4.243953E-12	2.848442E-12	2.914290E-12	6.483254E-12	5.164952E-12	2.006037E-12	4.984640E-12	4.283015E-12	4.549540E-12	4.783567E-12	4.476319E-12	4.836412E-12	5.241155E-12	4.494865E-12	3.157090E-12	3.295013E-12	3.888334E-12	4.938501E-12
0:00:13	0	2.751856E+1	2.545900E+1	2.548900E+1	5.447000E-4	-2.951600E-3	0.000000E+0	2.397600E-10	-9.514890E-11	9.522492E-12	-2.900576E-12	-2.339076E-12	-4.873497E-12	-3.611620E-12	-4.211425E-12	-2.842980E-12	-4.248559E-12	-2.091417E-12	-3.538592E-12	-2.845701E-12	-4.104269E-12	4.496865E-12	-7.320329E-12	-4.940946E-12	-4.683794E-12	-1.140113E-12	-2.140219E-12	-3.842390E-12	-3.824039E-12	-2.524196E-12	-4.724543E-12	-3.475246E-12	-3.335778E-12	-2.837889E-12	-3.077536E-12	-2.588680E-12	-2.785677E-12	-3.410295E-12	-4.562402E-12	-3.951704E-12	-6.394764E-12
0:00:26	0	2.751795E+1	2.545800E+1	2.548400E+1	5.447000E-4	-2.913600E-3	1.000000E+1	2.439100E-9	2.018345E-9	8.929738E-11	7.282596E-11	7.446325E-11	7.081756E-11	6.867780E-11	7.417327E-11	6.992574E-11	5.643756E-11	8.341851E-11	7.893046E-11	7.783307E-11	8.430349E-11	8.335950E-11	7.332981E-11	7.278220E-11	5.556710E-11	5.669964E-11	5.456863E-11	5.574648E-11	5.422633E-11	5.653741E-11	5.480310E-11	6.280679E-11	5.476161E-11	5.529753E-11	4.691557E-11	4.129528E-11	4.368725E-11	4.350843E-11	4.948721E-11	4.791850E-11	5.394270E-11
0:00:40	0	2.751963E+1	2.545600E+1	2.548200E+1	5.320000E-4	-2.850300E-3	2.000000E+1	2.973800E-9	2.591584E-9	9.951377E-11	8.758068E-11	8.799078E-11	9.037250E-11	7.944765E-11	8.360234E-11	8.142231E-11	8.357868E-11	9.571584E-11	9.384403E-11	9.446111E-11	1.019228E-10	9.900503E-11	9.194545E-11	9.140599E-11	8.892015E-11	7.127008E-11	7.817066E-11	7.810872E-11	7.240635E-11	7.527762E-11	7.477128E-11	8.245729E-11	8.717837E-11	7.005236E-11	5.947656E-11	5.720614E-11	5.717284E-11	6.219975E-11	6.241418E-11	6.905630E-11	8.363668E-11
0:00:53	0	2.751742E+1	2.545500E+1	2.548000E+1	5.194000E-4	-2.837600E-3	3.000000E+1	3.329600E-9	2.887366E-9	1.066400E-10	9.451658E-11	9.816836E-11	1.016381E-10	9.091562E-11	9.340749E-11	9.304452E-11	9.315395E-11	1.034491E-10	1.029444E-10	1.036929E-10	1.113945E-10	1.064158E-10	1.014754E-10	1.015409E-10	9.657727E-11	8.242019E-11	8.654176E-11	8.314738E-11	8.268791E-11	8.291297E-11	8.422037E-11	9.149253E-11	9.762690E-11	7.869045E-11	6.732705E-11	7.065591E-11	6.774682E-11	7.047179E-11	7.274235E-11	7.752311E-11	9.218336E-11
0:01:07	0	2.751841E+1	2.545000E+1	2.547700E+1	5.194000E-4	-2.837600E-3	4.000000E+1	3.625200E-9	3.173624E-9	1.158469E-10	1.027136E-10	1.087241E-10	1.096117E-10	9.807485E-11	1.030251E-10	9.980345E-11	1.012707E-10	1.116897E-10	1.121705E-10	1.125444E-10	1.201722E-10	1.168045E-10	1.083534E-10	1.106618E-10	1.078432E-10	9.065501E-11	9.648672E-11	9.259624E-11	9.146420E-11	9.181041E-11	9.486575E-11	1.007811E-10	1.083904E-10	8.770779E-11	7.524001E-11	7.842195E-11	7.762413E-11	7.924924E-11	8.066279E-11	8.699393E-11	1.013637E-10
0:01:21	0	2.751947E+1	2.545000E+1	2.547500E+1	5.574000E-4	-2.799600E-3	5.000000E+1	3.908900E-9	3.446153E-9	1.244236E-10	1.121709E-10	1.161196E-10	1.169529E-10	1.068174E-10	1.102542E-10	1.105412E-10	1.116068E-10	1.218315E-10	1.205755E-10	1.216485E-10	1.290766E-10	1.258622E-10	1.197762E-10	1.199737E-10	1.167661E-10	1.027552E-10	1.051718E-10	1.017925E-10	1.006166E-10	1.017169E-10	1.039996E-10	1.093116E-10	1.169510E-10	9.445462E-11	8.158346E-11	8.416848E-11	8.319548E-11	8.726906E-11	8.782299E-11	9.477159E-11	1.061753E-10
0:01:34	0	2.751727E+1	2.544300E+1	2.546900E+1	5.447000E-4	-2.786900E-3	6.000000E+1	4.485300E-9	4.012498E-9	1.425865E-10	1.267992E-10	1.328713E-10	1.346736E-10	1.241773E-10	1.264717E-10	1.270277E-10	1.283477E-10	1.410375E-10	1.383962E-10	1.429568E-10	1.476420E-10	1.444857E-10	1.390235E-10	1.384075E-10	1.370819E-10	1.177697E-10	1.236766E-10	1.194930E-10	1.176060E-10	1.212780E-10	1.222047E-10	1.282669E-10	1.359600E-10	1.114790E-10	9.778713E-11	1.002059E-10	1.002274E-10	1.028661E-10	1.043611E-10	1.105150E-10	1.268158E-10
0:01:48	0	2.751697E+1	2.543400E+1	2.546100E+1	5.574000E-4	-2.837600E-3	7.000000E+1	4.708400E-9	4.189486E-9	1.476947E-10	1.340506E-10	1.362851E-10	1.394202E-10	1.273449E-10	1.325686E-10	1.318291E-10	1.347526E-10	1.486447E-10	1.440208E-10	1.480783E-10	1.542724E-10	1.508825E-10	1.447030E-10	1.441084E-10	1.434742E-10	1.251814E-10	1.284598E-10	1.248469E-10	1.236241E-10	1.282818E-10	1.286933E-10	1.350907E-10	1.431354E-10	1.163972E-10	1.026225E-10	1.032372E-10	1.051021E-10	1.066542E-10	1.082263E-10	1.145291E-10	1.332736E-10
0:02:01	0	2.752069E+1	2.542500E+1	2.545200E+1	5.447000E-4	-2.837600E-3	8.000000E+1	4.842700E-9	4.314107E-9	1.507849E-10	1.346817E-10	1.397608E-10	1.432806E-10	1.317796E-10	1.357748E-10	1.361240E-10	1.382403E-10	1.509262E-10	1.499607E-10	1.506705E-10	1.580617E-10	1.531004E-10	1.491831E-10	1.513293E-10	1.467652E-10	1.282227E-10	1.331805E-10	1.296349E-10	1.277619E-10	1.332036E-10	1.319680E-10	1.385660E-10	1.467861E-10	1.204326E-10	1.058885E-10	1.079730E-10	1.088383E-10	1.125278E-10	1.107610E-10	1.206126E-10	1.373255E-10
0:02:15	0	2.751681E+1	2.542200E+1	2.544700E+1	5.320000E-4	-2.812200E-3	9.000000E+1	5.005800E-9	4.435916E-9	1.535595E-10	1.394098E-10	1.433642E-10	1.470771E-10	1.354543E-10	1.401122E-10	1.392821E-10	1.426160E-10	1.556805E-10	1.514142E-10	1.550333E-10	1.630502E-10	1.581673E-10	1.511397E-10	1.525963E-10	1.525240E-10	1.311370E-10	1.379637E-10	1.327216E-10	1.298303E-10	1.353493E-10	1.354326E-10	1.443793E-10	1.512557E-10	1.246571E-10	1.095311E-10	1.100563E-10	1.135870E-10	1.140430E-10	1.156395E-10	1.261951E-10	1.436563E-10
0:02:29	0	2.749994E+1	2.542100E+1	2.544600E+1	5.574000E-4	-2.774200E-3	1.000000E+2	5.128000E-9	4.554614E-9	1.582894E-10	1.435716E-10	1.470305E-10	1.503051E-10	1.367855E-10	1.441351E-10	1.426935E-10	1.482591E-10	1.584063E-10	1.550795E-10	1.566773E-10	1.668395E-10	1.622211E-10	1.552412E-10	1.567773E-10	1.555623E-10	1.367756E-10	1.412992E-10	1.373824E-10	1.346578E-10	1.392611E-10	1.404724E-10	1.487393E-10	1.561655E-10	1.271794E-10	1.118552E-10	1.195278E-10	1.154232E-10	1.166947E-10	1.194417E-10	1.275744E-10	1.442900E-10
