APD#	0004	Started	06/22/07 18:36	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	-1.499535E+1	1.522100E+1	1.570700E+1	1.562914E+0	1.799802E+0	0.000000E+0	-8.585000E-11	-1.571101E-10	-1.009494E-12	-5.422903E-12	-4.361818E-12	-6.202269E-12	-5.004860E-12	-4.148908E-12	-3.284734E-12	3.487742E-12	-2.788889E-12	-4.107241E-12	-4.236112E-12	-3.662638E-12	-3.800886E-12	-5.995338E-12	-1.260586E-11	-5.063453E-12	-4.307428E-12	-9.818777E-12	-4.471850E-12	-5.892424E-12	-1.577872E-12	-7.622315E-12	-5.370472E-12	-6.608954E-12	-7.629751E-12	-5.213172E-12	-3.662230E-12	-5.698293E-12	-4.609531E-12	-4.498382E-12	-4.766601E-12	-7.154380E-12
0:00:13	0	-1.499618E+1	1.523800E+1	1.569900E+1	1.557594E+0	1.795090E+0	0.000000E+0	-5.166000E-11	-4.163566E-10	-8.830580E-13	-1.361897E-11	-1.308446E-11	-1.303695E-11	-1.292422E-11	-1.357698E-11	-1.143275E-11	-8.751390E-12	-1.039604E-11	-1.308092E-11	-1.549016E-11	-1.092511E-11	-1.102167E-11	-1.482994E-11	-1.399885E-11	-1.303729E-11	-1.457045E-11	-1.554590E-11	-1.518062E-11	-1.492009E-11	-1.280925E-11	-1.417363E-11	-1.301621E-11	-1.479189E-11	-1.437658E-11	-1.293775E-11	-1.332318E-11	-1.285289E-11	-1.521823E-11	-1.343313E-11	-1.411266E-11	-1.500541E-11
0:00:26	0	-1.499527E+1	1.523100E+1	1.569600E+1	1.564105E+0	1.801031E+0	1.000000E+1	1.031400E-10	-3.440504E-10	2.518756E-13	-1.317801E-11	-1.049291E-11	-1.132853E-11	-1.286121E-11	-1.175408E-11	-1.174886E-11	-1.382383E-11	-1.115656E-11	-1.466117E-11	-1.289798E-11	-2.412317E-11	-9.754707E-12	-1.318915E-11	9.437896E-12	-1.063245E-11	-1.336733E-11	-3.776682E-12	-1.474010E-11	-1.404226E-11	-5.805452E-12	-3.275656E-12	-1.099431E-11	-1.365910E-11	-1.286257E-11	-1.325205E-11	-1.313379E-11	-1.285289E-11	-1.250275E-11	-1.089835E-11	-1.273239E-11	-4.241854E-12
0:00:40	0	-1.499588E+1	1.521600E+1	1.569300E+1	1.560622E+0	1.797966E+0	2.000000E+1	1.839000E-10	-2.821253E-10	1.324089E-12	-1.254793E-11	-9.671641E-12	-1.044235E-11	-1.203807E-11	-1.106342E-11	-1.155939E-11	-2.346318E-11	-9.824655E-12	-1.118542E-11	-1.036969E-11	-5.177938E-12	-1.013470E-11	-1.192692E-11	2.324774E-11	-8.354498E-12	-1.336733E-11	2.202816E-12	-1.322761E-11	-1.341580E-11	-5.930964E-12	5.291368E-12	-1.263717E-11	-1.529569E-11	-1.204336E-11	-1.186993E-11	-1.212304E-11	-1.342262E-11	-1.161853E-11	-1.241982E-11	-1.279477E-11	3.735110E-12
0:00:53	0	-1.499504E+1	1.522600E+1	1.569400E+1	1.560356E+0	1.798776E+0	3.000000E+1	2.445800E-10	-2.436902E-10	8.193425E-13	-1.210597E-11	-9.924110E-12	-1.088494E-11	-1.191105E-11	-1.037177E-11	-1.130710E-11	-9.765478E-12	-1.052213E-11	-1.384012E-11	-1.074899E-11	-6.188802E-12	-7.790766E-12	-1.161111E-11	3.338263E-11	-1.037968E-11	-1.488748E-11	1.082530E-11	-1.341655E-11	-1.360384E-11	-9.465237E-12	1.064539E-11	-1.288953E-11	-1.347030E-11	-1.279986E-11	-1.092803E-11	-1.218683E-11	-1.253605E-11	-1.193454E-11	-1.096237E-11	-1.147786E-11	8.547675E-12
0:01:07	0	-1.499580E+1	1.521100E+1	1.570100E+1	1.564663E+0	1.801589E+0	4.000000E+1	3.064100E-10	-1.701394E-10	2.080712E-12	-1.002560E-11	-9.165706E-12	-1.145442E-11	-1.153098E-11	-1.301136E-11	-1.042260E-11	-3.677946E-12	-1.001478E-11	-1.143782E-11	-1.416263E-11	-4.230876E-12	-7.410778E-12	-9.528980E-12	6.986823E-11	-1.196126E-11	-1.488748E-11	1.409822E-11	-1.373177E-11	-1.285170E-11	4.412860E-13	1.669252E-11	-1.326858E-11	-1.126732E-11	-1.273715E-11	-1.030043E-11	-1.092389E-11	-1.291586E-11	-1.225055E-11	-1.191266E-11	-1.235613E-11	1.411886E-11
0:01:20	0	-1.499550E+1	1.523800E+1	1.569200E+1	1.561255E+0	1.798168E+0	5.000000E+1	3.524400E-10	-1.584424E-10	4.410312E-13	-1.242151E-11	-7.964235E-12	-1.132853E-11	-1.172101E-11	-1.125197E-11	-1.136993E-11	-1.173159E-11	-1.045908E-11	-1.011098E-11	-1.226616E-11	-1.187217E-11	-8.424747E-12	-1.085397E-11	8.589506E-11	-1.088523E-11	-1.444444E-11	1.655341E-11	-1.297602E-11	-1.285170E-11	-1.640628E-12	2.431484E-11	-1.257433E-11	-1.372170E-11	-1.380920E-11	-1.036289E-11	-1.086010E-11	-1.234614E-11	-1.193454E-11	-1.020214E-11	-1.235613E-11	1.709435E-11
0:01:34	0	-1.509803E+1	1.524600E+1	1.570000E+1	1.561711E+0	1.799182E+0	6.000000E+1	3.939200E-10	-1.361396E-10	6.272002E-14	-1.046656E-11	-9.292439E-12	-9.808937E-12	-1.013674E-11	-9.806149E-12	-1.143275E-11	-1.439445E-11	-9.634526E-12	-9.921427E-12	-1.125404E-11	-1.218819E-11	-8.741738E-12	-1.148558E-11	8.158710E-11	-8.227612E-12	-1.273327E-11	1.907021E-11	-1.272444E-11	-1.166015E-11	-3.157735E-13	2.910203E-11	-1.333242E-11	-9.882130E-12	-1.317812E-11	-8.729931E-12	-8.208618E-12	-1.177641E-11	-1.256655E-11	-8.490609E-12	-1.304627E-11	1.747416E-11
