APD#	0666	Started	05/09/07 17:31	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	9.900000E+37	2.555800E+1	2.533300E+1	2.474653E-1	-3.192538E-1	0.000000E+0	1.000000E-9	-3.990183E-6	-2.676933E-6	-1.763642E-6	2.163752E-6	-2.376607E-6	-8.921781E-7	-5.852038E-8	-1.715641E-7	5.584428E-8	3.060651E-8	1.537948E-6	1.948648E-7	-7.255855E-8	-3.130134E-8	-1.623156E-6	-1.425952E-7	1.713964E-6	3.082630E-7	1.179310E-6	2.434485E-7	-2.064254E-6	7.705269E-8	2.644446E-6	-3.071840E-8	-2.596848E-6	5.795212E-8	4.549276E-7	4.152952E-8	6.797887E-8	2.886587E-7	1.630742E-8	-5.354285E-7	-3.073096E-8
   0:00:15	0	9.900000E+37	2.552200E+1	2.529900E+1	2.474779E-1	-3.231808E-1	0.000000E+0	1.000000E-9	2.604159E-6	2.665443E-6	2.161890E-6	-2.546078E-6	-1.075278E-6	1.402567E-6	-5.082500E-7	-1.659979E-7	4.252762E-7	-7.150230E-8	2.414588E-6	-1.912113E-7	-6.504937E-7	2.132058E-8	1.616986E-6	-1.959012E-7	-1.511039E-7	-1.382252E-7	2.626088E-6	-1.045681E-7	-1.974128E-6	-1.296202E-7	-2.245742E-6	5.288339E-7	-2.093269E-6	4.541580E-7	4.797520E-7	-7.906050E-8	2.947674E-7	-2.706390E-7	2.630611E-8	1.998709E-7	-1.226213E-7
   0:00:31	0	9.900000E+37	2.550100E+1	2.529500E+1	2.473893E-1	-3.248529E-1	1.000000E+1	1.000000E-9	-9.681963E-6	-4.207340E-7	-1.994675E-6	-2.632881E-6	-1.447227E-6	1.926964E-6	-4.405933E-7	-1.955138E-7	5.060936E-7	-3.064877E-8	-1.506564E-6	3.089593E-7	3.693469E-7	-9.620339E-8	2.546036E-6	-1.675624E-7	-1.002039E-6	5.488178E-7	3.041804E-8	1.693710E-7	-2.508404E-6	3.523991E-7	-2.022561E-6	-1.473782E-8	-2.711955E-6	2.745632E-7	5.748133E-7	-1.098709E-6	6.721620E-7	2.365574E-7	-1.150326E-7	3.607810E-7	-1.532045E-7
   0:00:47	0	9.900000E+37	2.549800E+1	2.529400E+1	2.473259E-1	-3.257523E-1	2.000000E+1	1.000000E-9	-1.362825E-6	-1.706057E-7	1.209947E-6	2.747986E-6	2.099509E-6	-2.271869E-6	3.769459E-7	2.136023E-7	2.443407E-7	6.283076E-9	-2.126868E-6	2.514097E-7	4.791250E-7	-6.715917E-8	-1.055531E-6	2.051223E-7	-3.881305E-8	1.792528E-7	-2.506094E-6	-2.381988E-8	-2.610440E-6	-5.546338E-9	2.769508E-6	-2.533303E-7	-1.496960E-6	5.773001E-7	3.167011E-7	-1.371317E-6	3.128069E-8	7.508232E-10	1.864650E-7	6.106388E-7	1.293613E-7
   0:01:04	0	9.900000E+37	2.562400E+1	2.532300E+1	2.473259E-1	-3.703426E+0	3.000000E+1	1.000000E-9	1.365310E-5	2.419869E-6	1.270753E-6	-1.699469E-6	2.096837E-6	-2.419263E-6	2.815237E-7	2.473227E-7	3.281036E-7	-1.666072E-7	-2.228462E-7	-1.090990E-7	3.525826E-7	-1.059195E-7	2.371808E-6	-1.844770E-7	2.584938E-6	-5.365475E-7	2.279742E-6	-4.269728E-7	2.288384E-6	1.054014E-7	2.587128E-6	-4.578341E-7	2.246489E-6	-4.353591E-7	-6.182298E-7	7.288714E-8	-2.733578E-7	2.946793E-7	-2.223047E-7	-1.812339E-7	-1.158311E-7
   0:01:19	0	9.900000E+37	2.569900E+1	2.531600E+1	2.473259E-1	3.300465E-1	4.000000E+1	1.000000E-9	4.860802E-6	-2.573239E-6	-1.487145E-6	2.150268E-6	-2.409513E-6	-1.024791E-6	4.802332E-7	1.584873E-7	-3.783177E-7	8.682034E-9	1.972266E-6	-2.614146E-7	-4.533787E-7	7.757348E-8	1.095215E-6	-2.272528E-7	1.633384E-7	-2.276228E-7	2.162895E-6	-2.324590E-7	2.035558E-6	-4.680448E-7	1.488647E-6	4.879838E-9	2.718179E-6	-2.820953E-7	-5.374197E-7	1.432488E-6	-6.559870E-7	-2.635589E-7	1.922318E-7	1.935075E-7	8.590313E-9
   0:01:35	0	9.900000E+37	2.574100E+1	2.529900E+1	2.471486E-1	3.336948E-1	5.000000E+1	1.000000E-9	-1.218154E-6	1.099864E-6	-1.740315E-6	2.321697E-6	1.318767E-6	2.577849E-6	4.566099E-8	1.032178E-7	5.278958E-7	6.957882E-9	-2.107139E-6	2.518102E-7	4.402774E-7	-7.199647E-8	-1.009678E-6	2.077478E-7	-1.172831E-7	2.536346E-7	-1.983254E-6	2.644405E-7	-1.889504E-6	5.723033E-7	-1.295909E-6	4.005048E-7	-1.325208E-6	3.935083E-7	-4.943451E-7	2.651016E-7	-3.918037E-7	3.027559E-7	-4.418616E-9	-3.042983E-7	1.630049E-7
   0:01:55	0	9.900000E+37	2.576600E+1	2.527100E+1	2.468952E-1	3.077639E-1	6.000000E+1	1.000000E-9	-4.680335E-6	1.910854E-6	2.663396E-6	1.643988E-6	-2.137336E-6	2.352957E-6	-3.475530E-7	-2.514921E-7	-3.028909E-7	1.103739E-7	-2.285051E-6	1.935369E-7	6.326278E-7	-2.456868E-8	-1.503124E-6	2.676282E-7	-1.873575E-6	6.648819E-7	-1.813053E-6	5.053621E-7	-1.657434E-6	-1.295220E-7	-2.209420E-6	5.423500E-7	-2.335652E-6	4.107727E-7	5.081287E-7	-8.039332E-8	2.840028E-7	-2.741826E-7	8.867928E-8	-4.730634E-7	2.384393E-7
