APD#	0017	Started	07/13/07 11:34	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.442067E+1	2.031800E+1	2.036200E+1	5.827000E-4	-4.978400E-3	0.000000E+0	-1.175200E-10	-7.606166E-11	3.279361E-12	-2.080372E-12	-2.401944E-12	-2.088071E-12	-3.864664E-12	-3.834341E-12	-2.210763E-12	-2.409585E-12	-1.457988E-12	-2.780394E-12	-2.212880E-12	-2.715576E-12	7.599772E-13	-3.722927E-12	-2.976967E-12	-2.341897E-12	-1.457145E-12	-1.825247E-12	-3.401868E-12	-3.197585E-12	-3.470520E-12	-3.086714E-12	-2.590475E-12	-2.706779E-12	-3.467978E-12	-2.072181E-12	-9.469565E-13	-3.292436E-12	-3.157090E-12	-2.534779E-12	-3.199187E-12	-2.595687E-12
0:00:13	0	2.442311E+1	2.030700E+1	2.034800E+1	5.701000E-4	-5.041800E-3	0.000000E+0	-1.685100E-10	-2.903055E-10	2.080712E-12	-9.520937E-12	-8.470170E-12	-9.493228E-12	-1.020075E-11	-8.611391E-12	-7.832903E-12	-8.624254E-12	-9.571484E-12	-9.163228E-12	-1.011616E-11	-8.398946E-12	-3.990880E-12	-1.457790E-11	-1.197187E-11	-9.556418E-12	-9.312926E-12	-9.692589E-12	-1.007832E-11	-1.015587E-11	-9.401485E-12	-9.133850E-12	-8.845718E-12	-9.819528E-12	-1.021481E-11	-9.545915E-12	-6.629692E-12	-9.180639E-12	-1.048210E-11	-9.504921E-12	-1.053722E-11	-9.750066E-12
0:00:26	0	2.442113E+1	2.029200E+1	2.034800E+1	5.701000E-4	-5.092400E-3	1.000000E+1	2.601700E-10	1.592992E-10	1.854024E-11	4.287159E-12	9.228574E-12	4.936439E-12	5.258903E-12	5.091616E-12	6.001071E-12	7.355893E-12	5.894993E-12	4.866437E-12	4.109348E-12	2.904989E-12	8.551743E-12	3.218833E-12	6.840925E-12	3.228101E-12	6.334630E-12	4.090660E-12	4.724430E-12	3.510317E-12	3.344012E-12	3.716189E-12	3.096201E-12	2.832977E-12	4.035357E-12	2.889156E-12	7.197866E-12	3.229466E-12	2.842079E-12	3.485071E-12	1.756533E-12	1.899039E-12
0:00:40	0	2.442022E+1	2.030600E+1	2.035100E+1	5.574000E-4	-5.155800E-3	2.000000E+1	9.836000E-10	3.221725E-10	2.440506E-11	9.836477E-12	1.498146E-11	1.145442E-11	1.115092E-11	1.263427E-11	1.206496E-11	1.116098E-11	1.134669E-11	9.669026E-12	1.119116E-11	8.777771E-12	1.577253E-11	7.193807E-12	1.380885E-11	9.303645E-12	1.159315E-11	9.000049E-12	6.866383E-12	7.773764E-12	8.455160E-12	7.180788E-12	7.077173E-12	7.552948E-12	8.259840E-12	6.720213E-12	1.363817E-11	7.977211E-12	6.440782E-12	7.477298E-12	5.582488E-12	5.825053E-12
0:00:53	0	2.442348E+1	2.028900E+1	2.034000E+1	5.827000E-4	-5.219100E-3	3.000000E+1	1.286600E-9	4.675817E-10	3.115293E-11	1.576305E-11	1.801508E-11	1.512502E-11	1.501558E-11	1.791443E-11	1.598092E-11	1.496506E-11	1.736776E-11	1.554606E-11	1.738762E-11	1.351408E-11	2.299331E-11	1.281058E-11	1.773680E-11	1.253075E-11	1.678767E-11	1.453938E-11	1.127559E-11	1.335247E-11	1.261998E-11	9.826969E-12	9.920011E-12	1.120372E-11	1.116044E-11	1.105395E-11	1.736419E-11	1.006722E-11	1.010329E-11	1.356017E-11	9.721331E-12	1.120633E-11
0:01:07	0	2.442083E+1	2.028900E+1	2.034400E+1	5.827000E-4	-5.333100E-3	4.000000E+1	1.564200E-9	6.117120E-10	3.582010E-11	2.156420E-11	2.522191E-11	1.999852E-11	2.173073E-11	2.407478E-11	2.172970E-11	2.098952E-11	2.047387E-11	2.015910E-11	2.269873E-11	1.806097E-11	2.628721E-11	1.565084E-11	2.305775E-11	1.797386E-11	2.039903E-11	1.680479E-11	1.486540E-11	1.655005E-11	1.501767E-11	1.341687E-11	1.409051E-11	1.636588E-11	1.412375E-11	1.375472E-11	2.393109E-11	1.532172E-11	1.420840E-11	1.761541E-11	1.367304E-11	1.608186E-11
0:01:20	0	2.442113E+1	2.028500E+1	2.034300E+1	5.827000E-4	-5.320500E-3	5.000000E+1	1.871900E-9	7.729398E-10	4.370291E-11	2.742806E-11	3.192180E-11	2.670732E-11	2.673659E-11	2.734350E-11	2.463451E-11	2.384358E-11	2.744659E-11	2.641524E-11	2.725126E-11	2.405937E-11	3.236803E-11	2.429616E-11	2.939168E-11	2.189734E-11	2.806479E-11	2.158799E-11	1.902301E-11	2.194171E-11	1.886672E-11	1.870823E-11	1.706003E-11	1.976426E-11	1.885290E-11	1.865261E-11	2.866686E-11	1.829831E-11	1.755490E-11	2.312811E-11	1.649596E-11	2.082946E-11
0:01:34	0	2.442197E+1	2.029100E+1	2.033100E+1	5.827000E-4	-5.396500E-3	6.000000E+1	2.033000E-9	8.768589E-10	4.578362E-11	2.963485E-11	3.514602E-11	2.949175E-11	3.015718E-11	3.256114E-11	2.836199E-11	2.720419E-11	3.137725E-11	2.925948E-11	3.003308E-11	2.671214E-11	3.471196E-11	2.606248E-11	3.350863E-11	2.639130E-11	2.945793E-11	2.379081E-11	2.462948E-11	2.708199E-11	2.151743E-11	2.116547E-11	2.110384E-11	2.221964E-11	2.257271E-11	2.091416E-11	3.112895E-11	2.241335E-11	2.159621E-11	2.629608E-11	1.988229E-11	2.469151E-11
