APD#	0008	Started	03/06/07 19:37	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:01:51	0	2.659300E+1	7.000000E+1	3.098700E-9	2.669889E-9	1.295318E-10	9.218338E-11	1.253491E-10	8.410728E-11	8.305927E-11	8.140235E-11	7.005139E-11	7.768035E-11	8.272104E-11	9.908956E-11	-1.169722E-11	1.042586E-10	9.837205E-11	1.298731E-10	8.969501E-11	9.271674E-11	8.191314E-11	1.170672E-10	8.906908E-11	-1.554753E-11	1.405232E-10	8.006265E-11	7.885536E-11	5.532800E-11	7.478151E-11	7.643375E-11	1.132769E-10	7.623079E-11	7.823841E-11	8.585838E-11	5.375249E-11	5.565184E-11
   0:02:05	0	2.659400E+1	8.000000E+1	3.270400E-9	2.786688E-9	1.325593E-10	9.521037E-11	1.304055E-10	8.733530E-11	8.914131E-11	8.756171E-11	7.567352E-11	8.167564E-11	8.544688E-11	1.031340E-10	-1.176010E-11	1.090587E-10	1.032489E-10	1.334067E-10	9.381297E-11	9.689399E-11	8.444739E-11	1.212215E-10	9.366722E-11	-1.818002E-11	1.484733E-10	8.516508E-11	8.327922E-11	5.809738E-11	7.875416E-11	7.712381E-11	1.170020E-10	7.977711E-11	8.114329E-11	8.915340E-11	5.657442E-11	5.818456E-11
   0:02:19	0	2.659400E+1	9.000000E+1	3.385300E-9	2.900120E-9	1.364061E-10	9.937111E-11	1.340089E-10	9.049938E-11	9.129568E-11	9.315643E-11	7.914772E-11	8.554379E-11	8.684083E-11	1.076841E-10	-1.169722E-11	1.138578E-10	1.085067E-10	1.390235E-10	9.925991E-11	9.904606E-11	8.641059E-11	1.238018E-10	9.927269E-11	-1.598595E-11	1.550358E-10	8.837808E-11	8.827065E-11	6.313335E-11	8.026717E-11	8.089241E-11	1.201588E-10	8.357530E-11	8.284794E-11	9.137108E-11	6.008650E-11	6.065331E-11
   0:02:33	0	2.659400E+1	1.000000E+2	3.441900E-9	3.031675E-9	1.408831E-10	1.006960E-10	1.395083E-10	9.435981E-11	9.744074E-11	9.856262E-11	8.464322E-11	8.928580E-11	9.032719E-11	1.133716E-10	-1.188687E-11	1.206149E-10	1.145236E-10	1.450816E-10	1.030609E-10	1.052475E-10	8.805775E-11	1.290262E-10	1.034303E-10	-1.535850E-11	1.627977E-10	9.322792E-11	9.275635E-11	6.546253E-11	8.127650E-11	8.390748E-11	1.244530E-10	8.534846E-11	8.562722E-11	9.783406E-11	6.435208E-11	6.375574E-11
   0:02:47	0	2.659400E+1	1.200000E+2	3.685000E-9	3.305394E-9	1.485768E-10	1.070645E-10	1.500012E-10	1.001195E-10	1.078945E-10	1.122031E-10	9.437078E-11	1.012707E-10	9.685661E-11	1.258839E-10	-1.321439E-11	1.360859E-10	1.256092E-10	1.559356E-10	1.143357E-10	1.134122E-10	9.261921E-11	1.352571E-10	1.131308E-10	-1.460636E-11	1.800238E-10	1.032438E-10	1.033716E-10	7.389687E-11	8.985089E-11	8.780100E-11	1.302613E-10	9.180639E-11	9.048896E-11	1.087334E-10	7.137623E-11	7.173370E-11
   0:03:01	0	2.659400E+1	1.400000E+2	4.006100E-9	3.608893E-9	1.577209E-10	1.142522E-10	1.613164E-10	1.127768E-10	1.209458E-10	1.275405E-10	1.080781E-10	1.121143E-10	1.023083E-10	1.347309E-10	-1.062222E-11	1.495371E-10	1.399878E-10	1.711441E-10	1.277016E-10	1.249308E-10	9.844779E-11	1.437544E-10	1.254773E-10	-1.573556E-11	1.973126E-10	1.137639E-10	1.166412E-10	8.252001E-11	9.344528E-11	9.056424E-11	1.365760E-10	9.807441E-11	9.655093E-11	1.202019E-10	7.953015E-11	7.730488E-11
   0:03:16	0	2.659400E+1	1.600000E+2	4.403800E-9	4.025038E-9	1.699553E-10	1.238359E-10	1.759816E-10	1.266360E-10	1.404601E-10	1.503580E-10	1.289233E-10	1.297432E-10	1.105479E-10	1.481919E-10	-1.391010E-11	1.663978E-10	1.611442E-10	1.877413E-10	1.465784E-10	1.402461E-10	1.049094E-10	1.567825E-10	1.365640E-10	-1.560988E-11	2.176307E-10	1.301412E-10	1.343965E-10	9.617911E-11	1.010750E-10	9.879149E-11	1.461732E-10	1.057358E-10	1.044441E-10	1.359168E-10	9.094564E-11	8.813141E-11
   0:03:30	0	2.659400E+1	1.800000E+2	4.935200E-9	4.535454E-9	1.825680E-10	1.347444E-10	1.953248E-10	1.455585E-10	1.655484E-10	1.804046E-10	1.538739E-10	1.509860E-10	1.201194E-10	1.646857E-10	-1.232904E-11	1.859103E-10	1.874954E-10	2.125416E-10	1.693191E-10	1.587894E-10	1.111811E-10	1.649022E-10	1.490358E-10	-1.542184E-11	2.429972E-10	1.507399E-10	1.592907E-10	1.126076E-10	1.095867E-10	1.050725E-10	1.569705E-10	1.156131E-10	1.127800E-10	1.554328E-10	1.070020E-10	1.021233E-10
   0:03:44	0	2.659400E+1	2.000000E+2	5.555900E-9	5.137488E-9	1.986492E-10	1.477333E-10	2.169433E-10	1.661265E-10	1.958957E-10	2.175542E-10	1.865308E-10	1.760339E-10	1.317202E-10	1.823168E-10	-1.169722E-11	2.096547E-10	2.230943E-10	2.394250E-10	1.987108E-10	1.789153E-10	1.209370E-10	1.762312E-10	1.610035E-10	-1.542184E-11	2.701298E-10	1.756852E-10	1.894308E-10	1.316793E-10	1.163335E-10	1.126721E-10	1.655579E-10	1.268827E-10	1.242091E-10	1.799543E-10	1.253792E-10	1.192177E-10
   0:03:58	0	2.659400E+1	2.200000E+2	6.245600E-9	5.869491E-9	2.166857E-10	1.626134E-10	2.428598E-10	1.921375E-10	2.360005E-10	2.642580E-10	2.275261E-10	2.060921E-10	1.448411E-10	2.005166E-10	-1.106440E-11	2.378193E-10	2.630001E-10	2.747016E-10	2.355774E-10	2.072679E-10	1.287298E-10	1.880005E-10	1.790818E-10	-1.579791E-11	3.015538E-10	2.084407E-10	2.283528E-10	1.564795E-10	1.245934E-10	1.205226E-10	1.765446E-10	1.384692E-10	1.346922E-10	2.101166E-10	1.494647E-10	1.394145E-10
