APD#	0012	Started	04/06/07 16:38	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	-1.498562E+1	0.000000E+0	-8.343000E-11	-1.854764E-10	1.891556E-13	-6.431236E-12	-5.372690E-12	-6.202269E-12	-6.082045E-12	-5.908299E-12	-3.474199E-12	-5.834260E-12	-4.627134E-12	-7.457281E-12	-5.184347E-12	-5.431153E-12	-4.116876E-12	-6.310148E-12	-5.510939E-12	-6.012601E-12	-7.031699E-12	-7.112205E-12	-7.495843E-12	-6.582216E-12	-7.256815E-12	-5.606603E-12	-5.370472E-12	-6.105159E-12	-6.304871E-12	-5.903238E-12	-6.504096E-12	-7.407481E-12	-7.135601E-12	-4.625421E-12	-6.773643E-12	-4.494726E-12
   0:00:13	0	-1.497673E+1	0.000000E+0	-1.136900E-10	-4.149107E-10	1.891556E-13	-1.374539E-11	-1.169438E-11	-1.284713E-11	-1.134095E-11	-1.244573E-11	-1.092817E-11	-1.204893E-11	-1.248746E-11	-1.207032E-11	-1.213940E-11	-1.244041E-11	-1.076868E-11	-1.382076E-11	-1.241586E-11	-1.613851E-11	-1.653464E-11	-1.548330E-11	-1.669212E-11	-1.736553E-11	-1.362906E-11	-1.303898E-11	-1.187908E-11	-1.227391E-11	-1.349366E-11	-1.381719E-11	-1.527989E-11	-1.475199E-11	-1.269216E-11	-1.279993E-11	-1.467705E-11	-1.335924E-11
   0:00:27	0	-1.498668E+1	1.000000E+1	2.935600E-10	-3.995258E-10	4.410312E-13	-1.141218E-11	-1.163052E-11	-1.328972E-11	-1.305124E-11	-1.420612E-11	-1.118046E-11	-1.147732E-11	-1.172694E-11	-1.364957E-11	-1.182299E-11	-1.256702E-11	-1.140166E-11	-1.306262E-11	-1.184487E-11	-1.360678E-11	-1.672466E-11	-1.302811E-11	-1.612531E-11	-1.573556E-11	-1.148439E-11	-1.259845E-11	-1.270001E-11	-1.302911E-11	-1.223249E-11	-1.180747E-11	-1.414354E-11	-1.297983E-11	-1.357638E-11	-1.203970E-11	-1.335916E-11	-1.247269E-11
   0:00:41	0	-1.498638E+1	2.000000E+1	2.958600E-10	-3.944503E-10	0.000000E+0	-1.267335E-11	-1.106172E-11	-1.202489E-11	-1.070684E-11	-1.250924E-11	-1.111764E-11	-1.109691E-11	-1.083934E-11	-1.390297E-11	-1.157046E-11	-1.218819E-11	-9.944702E-12	-1.293710E-11	-1.273186E-11	-1.537919E-11	-1.545754E-11	-1.422441E-11	-1.650319E-11	-1.611163E-11	-1.369282E-11	-1.354316E-11	-1.213144E-11	-1.202251E-11	-1.179053E-11	-1.356535E-11	-1.332318E-11	-1.177641E-11	-1.237715E-11	-1.140550E-11	-1.248188E-11	-1.335924E-11
   0:00:55	0	-1.498653E+1	3.000000E+1	2.204600E-10	-3.924447E-10	1.639680E-12	-1.191685E-11	-1.245279E-11	-1.132853E-11	-1.121393E-11	-1.150302E-11	-1.149657E-11	-1.065343E-11	-1.172694E-11	-1.402967E-11	-1.087475E-11	-1.256702E-11	-1.070468E-11	-1.123254E-11	-1.095888E-11	-1.518936E-11	-1.672466E-11	-1.541971E-11	-1.631425E-11	-1.629967E-11	-1.306127E-11	-1.354316E-11	-1.042574E-11	-1.302911E-11	-1.185423E-11	-1.243507E-11	-1.325938E-11	-1.241011E-11	-1.338698E-11	-1.273591E-11	-1.229375E-11	-1.304240E-11
   0:01:09	0	-1.498661E+1	4.000000E+1	2.407300E-10	-3.947015E-10	6.301868E-13	-1.305160E-11	-1.036718E-11	-1.253042E-11	-1.039079E-11	-1.301136E-11	-1.099099E-11	-1.141425E-11	-1.204416E-11	-1.320762E-11	-1.150757E-11	-1.351408E-11	-1.064168E-11	-1.230549E-11	-1.140187E-11	-1.455593E-11	-1.545754E-11	-1.497955E-11	-1.688106E-11	-1.623633E-11	-1.325053E-11	-1.291368E-11	-1.143619E-11	-1.334410E-11	-1.317812E-11	-1.180747E-11	-1.313379E-11	-1.190335E-11	-1.401899E-11	-1.172260E-11	-1.223038E-11	-1.190298E-11
   0:01:23	0	-1.499763E+1	5.000000E+1	9.726000E-10	-3.721674E-10	7.566224E-13	-1.198055E-11	-8.849372E-12	-1.322678E-11	-1.000972E-11	-1.238322E-11	-1.061206E-11	-1.071650E-11	-1.274063E-11	-1.263897E-11	-1.188687E-11	-1.199878E-11	-8.551743E-12	-1.161111E-11	-1.247886E-11	-1.449299E-11	-1.577457E-11	-1.479076E-11	-1.581108E-11	-1.504577E-11	-1.381933E-11	-1.222056E-11	-1.048858E-11	-1.151872E-11	-1.324083E-11	-1.249853E-11	-3.662230E-12	-9.750369E-12	-1.357638E-11	-1.184864E-11	-1.260664E-11	-1.209288E-11
   0:01:37	0	-1.498691E+1	6.000000E+1	9.171000E-10	-3.808529E-10	4.410312E-13	-1.103393E-11	-1.144092E-11	-1.196095E-11	-1.058082E-11	-1.137700E-11	-1.010649E-11	-1.179466E-11	-1.153682E-11	-1.099587E-11	-1.239292E-11	-1.307145E-11	-8.931732E-12	-1.173763E-11	-1.235186E-11	-1.398644E-11	-1.704169E-11	-1.441319E-11	-1.486540E-11	-1.504577E-11	-1.444988E-11	-1.096062E-11	-1.124667E-11	-1.221131E-11	-1.374550E-11	-1.249853E-11	-9.092776E-12	-1.323271E-11	-1.199834E-11	-1.330609E-11	-1.154024E-11	-1.234575E-11
   0:01:51	0	-1.498623E+1	7.000000E+1	1.010300E-9	-3.755513E-10	8.193425E-13	-1.185414E-11	-9.544908E-12	-1.139147E-11	-9.059556E-12	-1.043429E-11	-9.475270E-12	-1.008282E-11	-1.064921E-11	-1.384012E-11	-1.182299E-11	-1.086131E-11	-1.051468E-11	-1.199068E-11	-1.133888E-11	-1.354384E-11	-1.450744E-11	-1.422441E-11	-1.631425E-11	-1.899451E-11	-1.072734E-11	-1.190533E-11	-1.181524E-11	-1.088972E-11	-1.330453E-11	-1.168155E-11	-1.313379E-11	-1.285289E-11	-1.256655E-11	-1.248284E-11	-1.329678E-11	-1.126930E-11
   0:02:05	0	-1.498714E+1	8.000000E+1	1.084100E-9	-3.560663E-10	3.783112E-13	-1.046656E-11	-1.043004E-11	-1.088494E-11	-1.083386E-11	-9.806149E-12	-9.032519E-12	-9.828546E-12	-1.039604E-11	-1.270182E-11	-1.081187E-11	-1.111452E-11	-9.311721E-12	-1.041264E-11	-8.424907E-12	-1.291041E-11	-1.425442E-11	-1.416181E-11	-1.555850E-11	-1.604830E-11	-1.135789E-11	-1.114956E-11	-1.112099E-11	-1.195991E-11	-1.305170E-11	-1.155563E-11	-9.028981E-12	-1.285289E-11	-1.086091E-11	-1.279993E-11	-1.160361E-11	-1.171307E-11
   0:02:19	0	-1.498425E+1	9.000000E+1	1.066800E-9	-3.611818E-10	1.009494E-12	-1.204326E-11	-1.238992E-11	-1.126459E-11	-1.058082E-11	-1.068634E-11	-8.717408E-12	-9.257934E-12	-1.134669E-11	-1.118542E-11	-1.081187E-11	-1.212439E-11	-9.817705E-12	-1.098049E-11	-9.121900E-12	-1.227797E-11	-1.381037E-11	-1.328049E-11	-1.549585E-11	-1.573556E-11	-1.299851E-11	-1.177904E-11	-1.124667E-11	-1.221131E-11	-1.279986E-11	-9.734295E-12	-1.180705E-11	-1.158650E-11	-1.193454E-11	-1.153254E-11	-1.166599E-11	-1.196595E-11
   0:02:33	0	-1.498714E+1	1.000000E+2	1.163500E-9	-3.579038E-10	-5.047468E-13	-1.172772E-11	-1.068251E-11	-1.044235E-11	-1.115092E-11	-9.931182E-12	-1.080153E-11	-9.955682E-12	-9.698570E-12	-1.162737E-11	-1.036969E-11	-1.180837E-11	-9.564713E-12	-1.167487E-11	-1.121188E-11	-1.012591E-11	-1.571156E-11	-1.353187E-11	-1.480275E-11	-1.423029E-11	-1.198943E-11	-1.083433E-11	-1.048858E-11	-1.082612E-11	-1.084490E-11	-1.300021E-11	-1.123888E-11	-1.228317E-11	-1.193454E-11	-1.140550E-11	-1.191749E-11	-1.158614E-11
   0:02:48	0	-1.498668E+1	1.200000E+2	1.363500E-9	-3.494127E-10	1.009494E-12	-1.046656E-11	-9.986977E-12	-1.208783E-11	-8.109393E-12	-9.931182E-12	-8.464123E-12	-8.370982E-12	-9.128183E-12	-1.169122E-11	-1.138081E-11	-1.111452E-11	-8.677740E-12	-1.287334E-11	-9.817892E-12	-1.177143E-11	-1.526752E-11	-1.346927E-11	-1.467646E-11	-1.554753E-11	-1.331429E-11	-1.102327E-11	-1.055242E-11	-1.101492E-11	-1.210607E-11	-1.212176E-11	-8.839590E-12	-1.133362E-11	-1.206114E-11	-1.159556E-11	-1.223038E-11	-1.139623E-11
   0:03:02	0	-1.498615E+1	1.400000E+2	1.347800E-9	-3.306284E-10	1.955272E-12	-1.002560E-11	-9.418175E-12	-1.082200E-11	-9.186578E-12	-7.040541E-12	-7.011221E-12	-8.116709E-12	-9.064140E-12	-1.124827E-11	-1.055934E-11	-1.029307E-11	-9.437717E-12	-9.655502E-12	-9.374897E-12	-1.177143E-11	-1.343033E-11	-1.328049E-11	-1.543221E-11	-1.448167E-11	-1.217870E-11	-1.007856E-11	-1.156287E-11	-1.063733E-11	-1.040393E-11	-1.080211E-11	-1.168146E-11	-1.145956E-11	-1.098751E-11	-1.121545E-11	-1.128973E-11	-1.063662E-11
   0:03:16	0	-1.498570E+1	1.600000E+2	1.318000E-9	-3.070044E-10	2.648179E-12	-9.836477E-12	-9.482040E-12	-1.088494E-11	-7.982371E-12	-8.234308E-12	-5.558320E-12	-6.214668E-12	-9.888699E-12	-1.086917E-11	-1.018004E-11	-1.086131E-11	-8.044759E-12	-7.950945E-12	-8.741904E-12	-1.101211E-11	-1.260725E-11	-1.384684E-11	-1.373177E-11	-1.347815E-11	-1.129513E-11	-1.007856E-11	-9.351444E-12	-8.749337E-12	-9.394597E-12	-1.004859E-11	-9.407763E-12	-9.623429E-12	-1.079810E-11	-1.089835E-11	-1.085110E-11	-9.750066E-12
