APD#	0003	Started	06/21/07 23:47	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	-1.499915E+1	1.527000E+1	1.568500E+1	1.467526E+0	1.702830E+0	0.000000E+0	-8.891000E-11	-2.068991E-10	-5.047468E-13	-4.413574E-12	-8.534036E-12	-5.568854E-12	-1.000972E-11	-4.714533E-12	-4.864278E-12	-9.194866E-12	-7.606152E-12	-6.888633E-12	-1.018004E-11	-9.408814E-12	-5.320840E-12	-8.771842E-12	-1.064188E-11	-1.708466E-12	-8.045800E-12	-7.678558E-12	-5.984344E-12	-6.457519E-12	-1.356631E-11	-8.251790E-12	-7.329537E-12	-5.664960E-12	-4.350899E-12	-4.145354E-12	-3.156854E-12	-4.115045E-12	-4.925539E-12	-4.435363E-12	-5.268609E-12	-5.191373E-12
0:00:13	0	-1.499884E+1	1.528700E+1	1.567500E+1	1.465740E+0	1.700981E+0	0.000000E+0	-1.345200E-10	-4.266159E-10	-1.264356E-13	-1.399822E-11	-1.441266E-11	-1.189801E-11	-1.526862E-11	-1.445717E-11	-1.124328E-11	-1.629749E-11	-1.552952E-11	-1.390297E-11	-1.587045E-11	-2.336751E-12	-1.190864E-11	-1.596565E-11	-1.925679E-11	-1.303729E-11	-1.393739E-11	-1.630104E-11	-1.322761E-11	-1.523381E-11	-1.426061E-11	-1.348051E-11	-1.655430E-11	-1.328150E-11	-1.305170E-11	-1.212176E-11	-1.123888E-11	-1.348559E-11	-1.338698E-11	-1.400330E-11	-1.335916E-11	-1.418182E-11
0:00:26	0	-1.499915E+1	1.525600E+1	1.566900E+1	1.463371E+0	1.699359E+0	1.000000E+1	1.624200E-10	-2.675213E-10	2.459023E-12	-1.216968E-11	3.792018E-13	-1.196095E-11	-1.394240E-12	-1.194362E-11	-1.143275E-11	-8.879528E-13	-3.802576E-13	-1.308092E-11	-2.529290E-12	-2.064994E-11	-8.297751E-12	-4.290781E-12	-3.673960E-12	-1.474576E-11	-1.406440E-11	-2.895357E-12	-1.474010E-11	-1.554753E-11	4.416845E-12	-6.931185E-13	-2.274271E-12	-1.309270E-11	-1.128685E-11	-1.249853E-11	-1.054511E-11	-1.241011E-11	-1.048210E-11	-1.235580E-11	-1.197987E-11	-1.247269E-11
0:00:40	0	-1.499839E+1	1.524800E+1	1.567500E+1	1.466209E+0	1.701969E+0	2.000000E+1	2.866800E-10	-1.509685E-10	1.198649E-12	-1.330443E-11	9.228574E-12	-1.347954E-11	8.869524E-12	-1.213216E-11	-9.790381E-12	-7.736301E-12	1.140973E-11	-1.244942E-11	8.978282E-12	-2.507023E-11	-5.890823E-12	8.014704E-12	2.654071E-11	-1.094917E-11	-1.419041E-11	7.867342E-12	-1.467646E-11	-1.523381E-11	1.855095E-11	9.511734E-12	7.519059E-12	-1.422550E-11	-1.166511E-11	-1.199585E-11	-1.149206E-11	-1.183938E-11	-1.294536E-11	-1.444744E-11	-1.254426E-11	-1.259962E-11
0:00:53	0	-1.499869E+1	1.525600E+1	1.566300E+1	1.465297E+0	1.700626E+0	3.000000E+1	3.879400E-10	-4.581133E-11	3.657672E-12	-1.040385E-11	1.927942E-11	-1.164424E-11	1.831015E-11	-1.093740E-11	-1.086435E-11	-2.415992E-11	2.136147E-11	-1.339717E-11	1.985303E-11	-9.219401E-12	-2.216933E-12	1.703859E-11	2.844169E-11	-1.512542E-11	-9.882982E-12	2.020391E-11	-1.448752E-11	-1.454402E-11	2.094864E-11	2.141706E-11	1.579621E-11	-1.202251E-11	-1.097131E-11	-1.067719E-11	-1.256561E-11	-1.234614E-11	-1.168233E-11	-1.083533E-11	-1.210562E-11	-1.202991E-11
0:01:07	0	-1.499854E+1	1.525100E+1	1.566900E+1	1.462712E+0	1.699106E+0	4.000000E+1	4.836000E-10	3.166645E-11	1.513245E-12	-1.191685E-11	2.800305E-11	-1.328972E-11	2.749672E-11	-1.137700E-11	-1.099099E-11	-1.521933E-11	2.833419E-11	-1.516696E-11	2.914773E-11	-5.304545E-12	3.040909E-12	2.757776E-11	1.868679E-11	-1.151866E-11	-1.267026E-11	3.033666E-11	-1.404700E-11	-1.523381E-11	3.306458E-11	2.885044E-11	2.268386E-11	-1.296651E-11	-1.166511E-11	-1.224669E-11	-1.136547E-11	-1.316974E-11	-1.243995E-11	-1.115243E-11	-1.310865E-11	-1.221982E-11
0:01:20	0	-1.499862E+1	1.525500E+1	1.566100E+1	1.463966E+0	1.699423E+0	5.000000E+1	5.719200E-10	1.373098E-10	1.576960E-12	-1.015202E-11	3.577769E-11	-1.436573E-11	3.585916E-11	-1.081137E-11	-1.029596E-11	-8.116709E-12	3.536996E-11	-1.434492E-11	3.180278E-11	-9.219401E-12	8.107757E-12	3.622308E-11	3.154565E-11	-1.006296E-11	-1.425442E-11	4.141433E-11	-1.480275E-11	-1.498243E-11	5.029067E-11	3.874006E-11	2.843338E-11	-1.258891E-11	-1.015210E-11	-1.111641E-11	-1.130267E-11	-1.139659E-11	-1.035649E-11	-1.178562E-11	-1.417504E-11	-1.354914E-11
0:01:34	0	-1.499930E+1	1.526600E+1	1.564800E+1	1.464701E+0	1.700842E+0	6.000000E+1	6.627600E-10	2.612200E-10	7.566224E-13	-8.386189E-12	4.557606E-11	-1.316384E-11	4.529978E-11	-1.181759E-11	-1.004367E-11	1.395497E-12	4.291307E-11	-1.491357E-11	3.926389E-11	-1.010366E-11	1.190864E-11	4.493216E-11	5.891035E-11	-1.170849E-11	-1.571156E-11	5.192565E-11	-1.366912E-11	-1.347815E-11	6.177507E-11	4.825179E-11	3.658484E-11	-1.353290E-11	-1.059306E-11	-1.117887E-11	-1.111328E-11	-1.228317E-11	-1.344978E-11	-8.490609E-12	-1.267001E-11	-1.196595E-11
0:01:47	0	-1.499831E+1	1.525000E+1	1.565100E+1	1.466931E+0	1.702121E+0	7.000000E+1	7.574400E-10	3.297519E-10	2.017992E-12	-1.015202E-11	5.455217E-11	-1.316384E-11	5.619665E-11	-1.175408E-11	-1.061206E-11	-1.623342E-11	5.216834E-11	-1.225987E-11	4.931717E-11	-2.292289E-11	1.634251E-11	5.471318E-11	6.340730E-11	-1.006296E-11	-1.089608E-11	6.168084E-11	-1.574744E-11	-1.429363E-11	7.439505E-11	5.725935E-11	4.391438E-11	-1.315531E-11	-1.204336E-11	-1.149317E-11	-1.016633E-11	-1.076389E-11	-1.281876E-11	-1.184864E-11	-1.404929E-11	-1.177604E-11
