APD#	0001	Started	03/07/07 19:52	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	2.620800E+1	0.000000E+0	-3.180000E-12	-3.107732E-10	-2.901050E-12	-7.314150E-12	-9.607776E-12	-1.075906E-11	-9.249589E-12	-9.806149E-12	-7.200687E-12	-9.004662E-12	-9.634526E-12	-8.088781E-12	-8.978282E-12	-1.060909E-11	-1.102167E-11	-9.844787E-12	-9.374897E-12	-1.215109E-11	-1.153015E-11	-1.170662E-11	-1.259815E-11	-1.266366E-11	-1.198943E-11	-8.189141E-12	-1.086762E-11	-8.938136E-12	-9.836555E-12	-9.420989E-12	-9.218372E-12	-9.623429E-12	-1.136632E-11	-9.250843E-12	-8.404426E-12	-9.623131E-12
   0:00:09	0	2.617200E+1	5.000000E+1	3.912400E-9	3.075889E-9	1.127576E-10	9.445387E-11	9.190953E-11	9.138556E-11	8.971141E-11	9.114499E-11	9.247612E-11	9.854374E-11	1.088998E-10	1.041446E-10	1.002783E-10	1.016696E-10	1.004620E-10	1.007173E-10	1.007169E-10	9.695693E-11	1.031353E-10	9.805959E-11	9.486349E-11	9.566431E-11	9.856218E-11	9.763823E-11	9.288303E-11	1.005851E-10	9.521112E-11	9.433283E-11	7.993808E-11	9.016017E-11	9.080496E-11	8.896334E-11	8.718206E-11	9.167661E-11
   0:00:18	0	2.617500E+1	1.000000E+2	4.975700E-9	4.087406E-9	1.421445E-10	1.238359E-10	1.219992E-10	1.226487E-10	1.205027E-10	1.219457E-10	1.203954E-10	1.274598E-10	1.430029E-10	1.371322E-10	1.353061E-10	1.342545E-10	1.328940E-10	1.341639E-10	1.330225E-10	1.323981E-10	1.367116E-10	1.314178E-10	1.261068E-10	1.305201E-10	1.347815E-10	1.314012E-10	1.272564E-10	1.329382E-10	1.272421E-10	1.227207E-10	1.082252E-10	1.209316E-10	1.203572E-10	1.184914E-10	1.150301E-10	1.201682E-10
   0:00:27	0	2.617900E+1	1.500000E+2	5.579100E-9	4.758977E-9	1.613159E-10	1.428778E-10	1.412147E-10	1.421417E-10	1.402701E-10	1.420602E-10	1.440197E-10	1.496546E-10	1.613853E-10	1.571017E-10	1.560444E-10	1.557249E-10	1.567103E-10	1.553677E-10	1.554463E-10	1.553085E-10	1.591378E-10	1.531946E-10	1.472717E-10	1.529625E-10	1.554781E-10	1.528192E-10	1.478546E-10	1.564795E-10	1.469153E-10	1.429438E-10	1.261575E-10	1.409391E-10	1.410692E-10	1.394018E-10	1.351016E-10	1.446068E-10
   0:00:37	0	2.618200E+1	2.000000E+2	6.526100E-9	5.707312E-9	1.885593E-10	1.678472E-10	1.677639E-10	1.684683E-10	1.663726E-10	1.695922E-10	1.696654E-10	1.813606E-10	1.909243E-10	1.841495E-10	1.843707E-10	1.850260E-10	1.838215E-10	1.860378E-10	1.861050E-10	1.883449E-10	1.890398E-10	1.841612E-10	1.772551E-10	1.843080E-10	1.987640E-10	1.857011E-10	1.775517E-10	1.903440E-10	1.756674E-10	1.724620E-10	1.533083E-10	1.700632E-10	1.702436E-10	1.698162E-10	1.638279E-10	1.763897E-10
   0:00:46	0	2.618500E+1	2.500000E+2	7.555800E-9	6.714159E-9	2.155508E-10	1.971038E-10	1.963357E-10	1.969470E-10	1.984301E-10	1.968732E-10	1.975856E-10	2.158576E-10	2.213499E-10	2.161255E-10	2.147192E-10	2.169799E-10	2.171395E-10	2.172119E-10	2.176506E-10	2.204950E-10	2.221091E-10	2.168894E-10	2.102625E-10	2.169063E-10	2.304400E-10	2.173230E-10	2.110404E-10	2.257190E-10	2.080767E-10	2.053720E-10	1.813432E-10	2.033674E-10	2.016899E-10	2.018790E-10	1.953138E-10	2.100717E-10
   0:00:55	0	2.618800E+1	3.000000E+2	8.916500E-9	7.983567E-9	2.610825E-10	2.370798E-10	2.389410E-10	2.387164E-10	2.402453E-10	2.411259E-10	2.395283E-10	2.593583E-10	2.578617E-10	2.539167E-10	2.532874E-10	2.557537E-10	2.566653E-10	2.594931E-10	2.569242E-10	2.635313E-10	2.601199E-10	2.559122E-10	2.509546E-10	2.572784E-10	2.722127E-10	2.575119E-10	2.486985E-10	2.671365E-10	2.456571E-10	2.390355E-10	2.160715E-10	2.404698E-10	2.400834E-10	2.407840E-10	2.290573E-10	2.490730E-10
   0:01:04	0	2.619100E+1	3.500000E+2	1.328700E-8	1.252498E-8	3.819111E-10	3.636898E-10	3.768687E-10	3.764272E-10	3.786140E-10	3.786601E-10	3.576501E-10	4.073641E-10	3.924969E-10	3.886476E-10	3.973192E-10	4.026380E-10	4.045079E-10	4.134721E-10	4.076825E-10	4.198530E-10	4.048142E-10	4.021843E-10	4.132181E-10	4.093641E-10	4.318547E-10	4.114648E-10	3.981959E-10	4.242450E-10	3.845006E-10	3.744422E-10	3.489226E-10	3.857138E-10	3.867101E-10	3.846212E-10	3.252715E-10	3.916528E-10
