APD#	0010	Started	03/06/07 20:31	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	2.942700E+1	0.000000E+0	1.780000E-12	-3.029514E-10	-3.657672E-12	-8.953563E-12	-6.700895E-12	-8.859814E-12	-1.013674E-11	-7.542658E-12	-7.453972E-12	-9.512207E-12	-9.634526E-12	-8.088781E-12	-9.863634E-12	-9.093791E-12	-1.013470E-11	-8.582558E-12	-8.867902E-12	-1.202520E-11	-1.241723E-11	-1.120286E-11	-1.222027E-11	-1.153446E-11	-9.212220E-12	-1.033115E-11	-1.010953E-11	-9.693331E-12	-1.160140E-11	-8.541551E-12	-8.966183E-12	-9.623429E-12	-9.345664E-12	-9.757999E-12	-9.408442E-12	-9.877002E-12
   0:00:09	0	2.937900E+1	5.000000E+1	1.329100E-9	4.806664E-10	2.535183E-11	1.336714E-11	1.580274E-11	1.063218E-11	1.191105E-11	1.106342E-11	1.149657E-11	1.306302E-11	2.522809E-11	2.325574E-11	1.277222E-11	1.111452E-11	1.254162E-11	1.110702E-11	1.380885E-11	9.999021E-12	9.755970E-12	2.618241E-11	7.558491E-12	9.152358E-12	3.760793E-11	1.108691E-11	1.074194E-11	1.321791E-11	1.879019E-11	9.545915E-12	2.563561E-11	2.545291E-11	9.597872E-12	9.250843E-12	1.254426E-11	1.202991E-11
   0:00:18	0	2.938000E+1	1.000000E+2	1.676600E-9	7.346712E-10	3.544179E-11	2.042945E-11	1.415919E-11	1.835304E-11	1.862620E-11	2.011441E-11	1.061206E-11	2.105259E-11	3.752542E-11	3.248182E-11	2.010656E-11	2.184922E-11	2.039639E-11	2.221303E-11	2.267675E-11	2.050559E-11	1.824481E-11	3.574981E-11	1.826726E-11	1.642437E-11	4.669364E-11	2.091289E-11	1.440671E-11	2.265984E-11	2.988692E-11	1.733395E-11	2.879246E-11	3.672256E-11	1.957555E-11	2.015019E-11	1.154024E-11	2.076649E-11
   0:00:27	0	2.938100E+1	1.500000E+2	1.995600E-9	1.113129E-9	4.654124E-11	2.900477E-11	3.362821E-11	2.847869E-11	3.015718E-11	2.866329E-11	3.170955E-11	3.335479E-11	4.830172E-11	4.474169E-11	3.237272E-11	3.132184E-11	3.179805E-11	3.319353E-11	3.331863E-11	3.037872E-11	2.888787E-11	4.581997E-11	2.645621E-11	2.695631E-11	5.843006E-11	3.187351E-11	3.121337E-11	3.398976E-11	3.997631E-11	2.713169E-11	4.520970E-11	4.773932E-11	2.930003E-11	2.952807E-11	3.110965E-11	3.254253E-11
   0:00:36	0	2.938200E+1	2.000000E+2	2.560800E-9	1.664118E-9	6.255874E-11	4.602898E-11	5.044282E-11	4.442695E-11	4.637597E-11	4.588706E-11	4.750100E-11	5.073043E-11	6.833229E-11	6.496464E-11	4.817929E-11	4.723548E-11	4.763357E-11	4.871785E-11	5.156243E-11	4.949156E-11	4.561253E-11	6.344349E-11	4.384144E-11	4.338166E-11	7.786557E-11	4.862967E-11	4.928485E-11	5.173983E-11	5.788358E-11	4.358620E-11	6.301547E-11	6.597366E-11	4.622291E-11	4.600214E-11	4.691547E-11	5.065037E-11
   0:00:46	0	2.938300E+1	2.500000E+2	3.105700E-9	2.177971E-9	8.147828E-11	6.053086E-11	6.447628E-11	6.050210E-11	5.892112E-11	5.921299E-11	6.190337E-11	6.671058E-11	8.798260E-11	8.278530E-11	6.335403E-11	6.466441E-11	6.524304E-11	6.512582E-11	6.841125E-11	6.873128E-11	6.145111E-11	7.905198E-11	5.921100E-11	6.143599E-11	9.603799E-11	6.450378E-11	6.621820E-11	6.999370E-11	7.566443E-11	5.551959E-11	7.741220E-11	8.180314E-11	5.998969E-11	5.981638E-11	6.322331E-11	6.660530E-11
   0:00:55	0	2.938400E+1	3.000000E+2	3.649900E-9	2.686788E-9	1.030450E-10	7.478091E-11	7.901467E-11	7.353905E-11	7.311256E-11	7.379619E-11	7.655803E-11	8.294400E-11	1.143515E-10	1.055352E-10	7.701061E-11	7.792627E-11	7.816566E-11	7.913487E-11	8.386808E-11	8.379375E-11	7.564152E-11	9.629794E-11	7.256490E-11	7.547825E-11	1.144634E-10	8.075577E-11	8.100395E-11	8.749237E-11	9.470646E-11	6.958762E-11	9.521797E-11	9.851820E-11	7.249245E-11	7.426282E-11	7.764886E-11	8.407946E-11
   0:01:04	0	2.938500E+1	3.500000E+2	4.337800E-9	3.387861E-9	1.446672E-10	9.394920E-11	9.835796E-11	8.872702E-11	9.186578E-11	9.353352E-11	9.437078E-11	1.033629E-10	1.606248E-10	1.387753E-10	9.534646E-11	9.649168E-11	9.818205E-11	9.882444E-11	1.028709E-10	1.054383E-10	9.388633E-11	1.208439E-10	9.398244E-11	9.190361E-11	1.398289E-10	1.005350E-10	1.009707E-10	1.088942E-10	1.167755E-10	8.918311E-11	1.192119E-10	1.210575E-10	9.257341E-11	9.454005E-11	9.495972E-11	1.033267E-10
