APD#	0010	Started	08/15/07 16:36	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.651383E+1	2.037000E+1	2.043400E+1	5.574000E-4	-6.561900E-3	0.000000E+0	-5.248000E-11	-2.443547E-11	3.342081E-12	-1.765828E-12	-1.453939E-12	-2.088071E-12	-1.077185E-12	-2.199983E-12	-1.390079E-12	-1.521633E-12	1.901288E-13	-1.137298E-12	-1.960350E-12	-1.010864E-12	2.089937E-12	-4.543824E-12	-2.976967E-12	-1.708466E-12	-2.724271E-12	-8.177346E-13	-3.464516E-12	-1.755653E-12	3.785298E-13	-5.041766E-13	-2.148588E-12	-1.951584E-12	3.155422E-13	-4.392231E-13	2.588680E-12	-1.139459E-12	2.842079E-12	1.837565E-12	1.316905E-12	4.427760E-13
0:00:13	0	2.651466E+1	2.037300E+1	2.041000E+1	5.701000E-4	-6.561900E-3	0.000000E+0	-1.938000E-11	-2.541976E-10	3.531237E-12	-9.520937E-12	-8.407303E-12	-8.354281E-12	-9.376611E-12	-8.548874E-12	-8.653588E-12	-9.004662E-12	-7.606152E-12	-7.646831E-12	-9.167929E-12	-6.504822E-12	-1.393958E-12	-1.344119E-11	-1.197187E-11	-8.923986E-12	-1.045304E-11	-7.867342E-12	-9.952030E-12	-1.009352E-11	-6.120229E-12	-8.378083E-12	-8.403831E-12	-9.189536E-12	-7.566045E-12	-9.609369E-12	-5.366751E-12	-8.104151E-12	-6.440782E-12	-6.907123E-12	-6.523134E-12	-8.230835E-12
0:00:26	0	2.651664E+1	2.036600E+1	2.040800E+1	5.701000E-4	-6.574600E-3	1.000000E+1	3.984400E-10	6.763016E-11	1.229711E-11	-5.673742E-13	1.833141E-12	-6.963566E-13	-1.077185E-12	-1.006217E-12	8.845048E-13	-6.336799E-13	7.543110E-12	5.687487E-12	-5.060577E-13	-8.204549E-13	5.130846E-12	-4.670346E-12	-1.519983E-12	-7.593181E-13	-2.470246E-12	8.118724E-12	-1.953016E-12	-1.191548E-12	1.539620E-11	-6.294749E-13	4.418869E-13	-8.813926E-13	4.287193E-12	3.767602E-13	1.243902E-11	8.483970E-12	5.054135E-13	6.972143E-13	2.257551E-12	6.326799E-13
0:00:40	0	2.651481E+1	2.035700E+1	2.041300E+1	5.827000E-4	-6.536600E-3	2.000000E+1	5.199500E-10	1.467490E-10	1.412594E-11	1.323873E-12	4.741020E-12	1.392713E-12	1.774305E-12	1.006217E-12	1.769010E-12	1.775906E-12	9.698570E-12	8.025930E-12	5.060577E-13	2.210144E-12	8.297751E-12	-2.019367E-12	1.773980E-12	1.455693E-12	1.270126E-13	1.158043E-11	6.931020E-13	1.880350E-13	1.817242E-11	2.708831E-12	2.969520E-12	2.454385E-12	7.881587E-12	2.198099E-12	1.325938E-11	1.126965E-11	3.978511E-12	3.167974E-12	5.456738E-12	2.785590E-12
0:00:53	0	2.651451E+1	2.035500E+1	2.041200E+1	5.574000E-4	-6.574600E-3	3.000000E+1	6.285200E-10	2.179002E-10	1.608121E-11	4.224449E-12	8.407303E-12	3.038193E-12	3.357577E-12	3.834341E-12	3.853130E-12	4.819171E-12	1.191707E-11	9.289927E-12	1.327528E-12	4.862915E-12	8.614742E-12	-6.276276E-14	4.813947E-12	4.619851E-12	1.774176E-12	1.302811E-11	1.197267E-12	2.946212E-12	2.075937E-11	4.850835E-12	5.370472E-12	4.594768E-12	9.710139E-12	3.516759E-12	1.730040E-11	1.297983E-11	6.883393E-12	5.639733E-12	8.968814E-12	5.381277E-12
0:01:07	0	2.651588E+1	2.036900E+1	2.041700E+1	5.701000E-4	-6.549200E-3	4.000000E+1	7.399200E-10	2.893565E-10	1.652224E-11	6.368526E-12	8.153836E-12	5.758679E-12	5.955023E-12	3.896858E-12	5.747785E-12	7.038552E-12	1.552952E-11	1.295522E-11	4.488642E-12	6.125000E-12	1.279562E-11	1.767320E-12	6.714926E-12	7.594180E-12	3.991397E-12	1.693098E-11	4.976015E-12	5.328319E-12	2.492419E-11	6.866547E-12	7.266695E-12	5.853758E-12	1.065577E-11	4.898875E-12	1.970068E-11	1.690497E-11	7.703818E-12	7.793395E-12	8.968814E-12	9.180355E-12
0:01:20	0	2.651322E+1	2.037500E+1	2.041100E+1	5.574000E-4	-6.498600E-3	5.000000E+1	8.662500E-10	3.832211E-10	1.973889E-11	9.520937E-12	1.163052E-11	7.783808E-12	7.982371E-12	7.103058E-12	9.096339E-12	8.370982E-12	1.869967E-11	1.598801E-11	7.523990E-12	7.451884E-12	1.678550E-11	4.354540E-12	9.881891E-12	9.809191E-12	7.981793E-12	2.102164E-11	7.117969E-12	9.090009E-12	2.801619E-11	1.096062E-11	1.080478E-11	9.755933E-12	1.450200E-11	8.353171E-12	2.273094E-11	2.007047E-11	1.067150E-11	9.504921E-12	1.078773E-11	1.012987E-11
0:01:34	0	2.651512E+1	2.037000E+1	2.039900E+1	5.574000E-4	-6.511200E-3	6.000000E+1	9.454000E-10	4.557734E-10	2.150500E-11	9.836477E-12	1.238992E-11	9.872877E-12	9.946709E-12	1.125197E-11	1.042260E-11	1.135118E-11	2.129843E-11	1.876841E-11	9.230812E-12	1.060909E-11	1.754647E-11	8.140230E-12	1.114888E-11	1.221503E-11	8.488844E-12	2.291048E-11	9.952030E-12	9.466079E-12	3.312733E-11	1.329157E-11	1.282669E-11	1.177012E-11	1.664610E-11	1.030043E-11	2.784550E-11	2.279317E-11	1.433401E-11	1.203970E-11	1.254426E-11	1.190298E-11
0:01:47	0	2.651542E+1	2.036200E+1	2.040000E+1	5.701000E-4	-6.511200E-3	7.000000E+1	1.029800E-9	4.969386E-10	2.446877E-11	1.235880E-11	1.523393E-11	1.056923E-11	1.134095E-11	1.169157E-11	1.200214E-11	1.249240E-11	2.193186E-11	2.098015E-11	1.036969E-11	1.067190E-11	2.191634E-11	8.266752E-12	1.393585E-11	1.278452E-11	1.032603E-11	2.486092E-11	1.064513E-11	1.128408E-11	3.350586E-11	1.392104E-11	1.497528E-11	1.422550E-11	1.960940E-11	9.860212E-12	2.727733E-11	2.038732E-11	1.433401E-11	1.324307E-11	1.436317E-11	1.310537E-11
