APD#	0007	Started	03/15/07 14:32	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	2.640700E+1	0.000000E+0	2.064000E-11	-2.814111E-10	-4.035983E-12	-8.701728E-12	-7.459298E-12	-7.341217E-12	-8.109393E-12	-7.542658E-12	-9.221985E-12	-8.243846E-12	-8.367668E-12	-8.215480E-12	-8.092931E-12	-8.840577E-12	-9.121726E-12	-9.087649E-12	-9.247898E-12	-1.075934E-11	-9.882982E-12	-1.183281E-11	-1.070877E-11	-1.166015E-11	-8.581669E-12	-9.826969E-12	-9.478125E-12	-8.686735E-12	-9.205471E-12	-1.344043E-11	-8.587400E-12	-8.990729E-12	-1.149292E-11	-7.602336E-13	-7.275651E-12	-8.610643E-12
   0:00:09	0	2.635700E+1	5.000000E+1	4.525500E-9	3.611195E-9	1.017846E-10	5.561262E-11	5.777538E-11	6.252722E-11	6.094847E-11	7.392221E-11	7.264208E-11	7.381220E-11	5.907702E-11	1.014909E-10	7.726314E-11	9.611286E-11	6.828395E-11	9.806731E-11	6.841125E-11	9.695693E-11	9.578652E-11	9.642313E-11	1.312472E-9	7.397397E-11	6.373047E-11	7.722852E-11	7.645441E-11	6.797951E-11	8.310505E-11	6.883410E-11	6.642551E-11	6.052925E-11	5.910547E-11	5.943526E-11	6.234504E-11	6.267928E-11
   0:00:18	0	2.635900E+1	1.000000E+2	6.186900E-9	4.864501E-9	1.329376E-10	8.650864E-11	7.547512E-11	8.265163E-11	8.096891E-11	1.006991E-10	9.626643E-11	9.905128E-11	8.062962E-11	1.382705E-10	1.049566E-10	1.317284E-10	9.210024E-11	1.308823E-10	9.210199E-11	1.336640E-10	1.339243E-10	1.330543E-10	1.733879E-9	1.044416E-10	8.732981E-11	1.044411E-10	1.046354E-10	9.277974E-11	1.140003E-10	9.458367E-11	9.193452E-11	7.851071E-11	8.057507E-11	8.262739E-11	8.341948E-11	8.547275E-11
   0:00:27	0	2.636100E+1	1.500000E+2	7.971500E-9	6.174864E-9	1.557667E-10	8.978746E-11	9.039272E-11	9.657476E-11	9.579346E-11	1.161625E-10	1.128157E-10	1.151576E-10	9.343329E-11	1.650648E-10	1.231667E-10	1.533254E-10	1.061628E-10	1.563779E-10	1.066718E-10	1.597386E-10	1.596449E-10	1.558386E-10	2.524287E-9	1.198624E-10	9.994979E-11	1.211963E-10	1.219488E-10	1.062500E-10	1.344299E-10	1.117927E-10	1.070888E-10	9.142657E-11	9.358324E-11	9.618656E-11	9.583799E-11	9.914783E-11
   0:00:37	0	2.636400E+1	2.000000E+2	1.241900E-8	9.156776E-9	1.872979E-10	1.064334E-10	1.087241E-10	1.149278E-10	1.148007E-10	1.376602E-10	1.354290E-10	1.386207E-10	1.130836E-10	1.998212E-10	1.530101E-10	1.836374E-10	1.289661E-10	1.878041E-10	1.284616E-10	1.975856E-10	1.942343E-10	1.894481E-10	4.762597E-9	1.431837E-10	1.220350E-10	1.445038E-10	1.460850E-10	1.265181E-10	1.619219E-10	1.317650E-10	1.267885E-10	1.082686E-10	1.132854E-10	1.132958E-10	1.159084E-10	1.206739E-10
   0:00:46	0	2.636700E+1	2.500000E+2	1.346300E-7	3.772804E-8	2.194603E-10	1.350599E-10	1.261704E-10	1.339143E-10	1.358343E-10	1.669526E-10	1.579165E-10	1.661423E-10	1.370448E-10	2.395079E-10	1.831061E-10	2.174854E-10	1.460686E-10	2.250374E-10	1.472114E-10	2.401144E-10	2.281907E-10	2.255755E-10	3.250837E-8	1.672562E-10	1.439937E-10	1.742363E-10	1.684527E-10	1.532063E-10	1.906741E-10	1.614081E-10	1.488885E-10	1.285289E-10	1.318501E-10	1.437102E-10	1.345995E-10	1.420741E-10
   0:00:55	0	2.640800E+1	3.000000E+2	3.696200E-5	3.142406E-5	-4.097857E-10	1.760443E-10	1.658678E-10	1.661904E-10	1.354543E-10	4.543427E-10	1.305019E-10	-5.047666E-10	1.823035E-10	3.034610E-10	2.229389E-10	9.161651E-10	-1.486025E-10	2.690849E-10	6.027834E-10	2.898587E-10	3.978495E-11	3.845608E-10	3.141800E-5	3.302499E-10	1.833678E-10	2.263932E-10	1.851336E-10	1.821611E-10	2.327935E-10	2.003472E-10	1.781863E-10	1.898178E-10	1.725165E-10	1.358527E-10	1.726086E-10	2.937714E-10
