APD#	0002	Started	06/13/07 13:08	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.421469E+1	1.520900E+1	1.528000E+1	5.701000E-4	-1.852030E-2	0.000000E+0	-8.558000E-11	-1.216019E-10	-1.009494E-12	-2.647746E-12	-1.264339E-12	-1.772362E-12	-2.724468E-12	-1.634358E-12	-1.572863E-11	-6.087532E-12	-1.895284E-11	-1.895496E-12	-1.706822E-12	-3.346619E-12	2.529924E-13	-5.868816E-12	-4.243953E-12	-2.277954E-12	-5.004497E-12	-4.028063E-12	-3.842390E-12	-5.077936E-12	-2.271179E-12	-2.330947E-12	-3.412404E-12	-2.769381E-12	-3.027015E-12	-4.207817E-12	-7.575652E-13	-2.658737E-12	-3.283692E-12	-3.928207E-12	-2.257551E-12	-1.836071E-12
0:00:13	0	2.421310E+1	1.520400E+1	1.527600E+1	5.447000E-4	-1.862160E-2	0.000000E+0	-1.083200E-10	-3.387827E-10	6.301868E-13	-1.002560E-11	-6.890496E-12	-9.745995E-12	-1.089687E-11	-7.668683E-12	-1.673878E-11	-1.261954E-11	-1.724168E-11	-1.080632E-11	-9.736870E-12	-1.048248E-11	-5.320840E-12	-1.369424E-11	-1.133888E-11	-1.120194E-11	-1.267026E-11	-1.170662E-11	-1.140088E-11	-1.184819E-11	-1.085285E-11	-9.260143E-12	-1.080478E-11	-1.088972E-11	-1.097131E-11	-1.274937E-11	-8.524602E-12	-1.126965E-11	-1.048210E-11	-1.096237E-11	-9.721331E-12	-1.088949E-11
0:00:26	0	2.421272E+1	1.518800E+1	1.524800E+1	5.827000E-4	-1.858360E-2	1.000000E+1	3.080900E-10	1.006383E-11	4.401850E-11	-2.585036E-12	-2.085610E-12	-3.607667E-12	-1.837316E-12	2.639583E-12	1.705190E-12	-1.242934E-11	6.974725E-13	5.118838E-12	9.167929E-12	-1.073669E-12	1.336560E-11	-5.616769E-12	-2.913968E-12	-3.101215E-12	-4.244422E-12	-3.210329E-12	-3.023993E-12	-2.758177E-12	-1.388607E-12	8.820605E-13	-1.705703E-12	-1.887989E-12	-4.791862E-12	-3.893520E-12	5.053757E-13	-3.545316E-12	-4.230720E-12	-2.027623E-12	7.087522E-12	-3.165398E-12
0:00:40	0	2.421371E+1	1.519100E+1	1.524200E+1	5.701000E-4	-1.849500E-2	2.000000E+1	4.323900E-10	6.524564E-11	5.927539E-12	-3.782495E-13	-8.851368E-13	-6.963566E-13	0.000000E+0	3.960367E-12	1.086435E-11	-1.268261E-11	9.761613E-12	8.467880E-12	1.188687E-11	-9.470622E-13	1.380859E-11	-6.943753E-13	-3.169965E-13	2.531727E-12	-1.457145E-12	-1.573866E-12	-1.826726E-12	-6.264536E-13	2.145666E-12	3.653540E-12	2.211429E-12	1.699190E-12	-1.954968E-12	-5.651404E-13	1.957708E-12	-6.326995E-13	1.266026E-13	-5.701752E-13	1.116399E-11	8.865514E-13
0:00:53	0	2.421181E+1	1.519800E+1	1.526100E+1	5.447000E-4	-1.848230E-2	3.000000E+1	5.278000E-10	1.537335E-10	6.496002E-12	9.456237E-13	1.706408E-12	2.531661E-12	3.041523E-12	4.714533E-12	1.951894E-11	-1.293588E-11	1.958727E-11	1.162737E-11	1.498510E-11	1.010864E-12	1.855944E-11	8.199008E-13	2.469973E-12	4.999510E-12	-8.870882E-13	2.076629E-12	2.645124E-12	3.134247E-12	3.533277E-12	6.613962E-12	6.255243E-12	5.035961E-12	-1.891262E-13	1.259172E-13	4.230403E-12	8.226093E-13	3.031484E-12	1.837565E-12	1.304627E-11	2.342815E-12
0:01:07	0	2.421348E+1	1.518000E+1	1.524800E+1	5.574000E-4	-1.846960E-2	4.000000E+1	6.065500E-10	2.441840E-10	1.286457E-11	4.287159E-12	1.959874E-12	3.670608E-12	5.448936E-12	6.599949E-12	2.482497E-11	-1.204893E-11	2.643291E-11	1.402967E-11	1.820909E-11	3.410421E-12	2.362729E-11	3.218833E-12	5.510939E-12	8.923986E-12	2.217220E-12	2.769169E-12	5.039657E-12	6.519867E-12	8.329648E-12	1.001591E-11	6.887650E-12	8.119345E-12	2.206805E-12	2.324016E-12	5.934925E-12	2.405857E-12	4.104117E-12	6.209908E-12	1.379878E-11	6.330797E-12
0:01:20	0	2.421135E+1	1.518700E+1	1.527700E+1	5.574000E-4	-1.844430E-2	5.000000E+1	7.263200E-10	3.501632E-10	1.973889E-11	5.233778E-12	5.689025E-12	7.531041E-12	7.729328E-12	1.024575E-11	3.038329E-11	-1.223913E-11	3.232790E-11	1.769496E-11	2.364697E-11	8.145732E-12	2.749118E-11	5.553010E-12	7.474918E-12	1.170849E-11	4.814479E-12	5.413145E-12	7.369554E-12	8.776288E-12	1.003303E-11	1.228321E-11	1.238480E-11	1.082612E-11	4.476319E-12	8.101337E-12	7.829835E-12	6.901722E-12	7.514412E-12	6.970142E-12	1.981991E-11	8.293803E-12
0:01:34	0	2.421355E+1	1.519000E+1	1.525900E+1	5.574000E-4	-1.844430E-2	6.000000E+1	7.964900E-10	4.042247E-10	1.671140E-11	7.251440E-12	6.953363E-12	8.733930E-12	9.819687E-12	1.257176E-11	3.398413E-11	-1.274568E-11	3.562413E-11	1.921135E-11	2.598661E-11	7.577495E-12	3.268502E-11	6.815238E-12	9.057900E-12	1.531525E-11	6.525649E-12	5.286957E-12	8.818405E-12	1.071998E-11	1.224145E-11	1.612570E-11	1.339526E-11	1.277771E-11	7.629751E-12	7.662113E-12	9.092776E-12	7.217572E-12	9.093456E-12	9.440901E-12	2.283097E-11	9.813035E-12
