APD#	0011	Started	04/06/07 20:10	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	-1.518620E+1	0.000000E+0	-4.497800E-10	-1.821556E-10	-3.152925E-12	-5.737447E-12	-5.246955E-12	-6.138328E-12	-5.258903E-12	-6.160350E-12	-5.937251E-12	-6.277736E-12	-6.529423E-12	-5.939887E-12	-6.638639E-12	-6.757040E-12	-4.496865E-12	-6.941760E-12	-6.460929E-12	-7.278464E-12	-6.398636E-12	-6.419664E-12	-6.740094E-12	-6.143797E-12	-1.892649E-12	-4.661893E-12	-5.244788E-12	-5.853758E-12	-5.044694E-12	-5.778312E-12	-5.872127E-12	-3.799195E-12	-6.504582E-12	-5.449675E-12	-6.397384E-12	-5.001469E-12
   0:00:13	0	-1.500181E+1	0.000000E+0	-3.912200E-10	-4.308053E-10	-2.144427E-12	-1.570034E-11	-1.232605E-11	-1.278419E-11	-1.400141E-11	-1.301136E-11	-1.364351E-11	-1.319015E-11	-1.375532E-11	-1.352387E-11	-1.391010E-11	-1.376630E-11	-1.184464E-11	-1.350495E-11	-1.190887E-11	-1.778403E-11	-1.780177E-11	-1.623844E-11	-1.788939E-11	-1.742788E-11	-9.906523E-12	-1.133850E-11	-1.307905E-11	-1.340671E-11	-1.450200E-11	-1.124233E-11	-1.338598E-11	-1.361253E-11	-1.382959E-11	-1.305301E-11	-1.304627E-11	-1.424579E-11
   0:00:27	0	-1.498661E+1	1.000000E+1	1.553100E-10	-4.260122E-10	-6.939024E-13	-1.368268E-11	-1.371713E-11	-1.366937E-11	-1.343131E-11	-1.307487E-11	-1.389680E-11	-1.445851E-11	-1.381836E-11	-1.421922E-11	-1.270834E-11	-1.345028E-11	-1.216164E-11	-1.344119E-11	-1.266886E-11	-1.607556E-11	-1.653464E-11	-1.567209E-11	-1.788939E-11	-1.692612E-11	-9.654502E-12	-1.152745E-11	-1.225812E-11	-1.372170E-11	-1.412375E-11	-1.205831E-11	-1.231243E-11	-1.342262E-11	-1.389239E-11	-1.362319E-11	-1.310865E-11	-1.411886E-11
   0:00:41	0	-1.498729E+1	2.000000E+1	2.405100E-10	-4.204319E-10	8.830580E-13	-1.286247E-11	-1.112558E-11	-1.328972E-11	-1.292422E-11	-1.332592E-11	-1.351787E-11	-1.312608E-11	-1.274063E-11	-1.333432E-11	-1.258257E-11	-1.452395E-11	-1.203564E-11	-1.299986E-11	-1.235186E-11	-1.645522E-11	-1.710470E-11	-1.793750E-11	-1.631425E-11	-1.849374E-11	-9.275972E-12	-1.303898E-11	-1.326858E-11	-1.321791E-11	-1.298899E-11	-1.312613E-11	-1.382856E-11	-1.468902E-11	-1.382959E-11	-1.273591E-11	-1.128973E-11	-1.297943E-11
   0:00:55	0	-1.510320E+1	3.000000E+1	1.742700E-10	-4.205754E-10	-6.939024E-13	-1.355626E-11	-1.201072E-11	-1.272025E-11	-1.381137E-11	-1.294884E-11	-1.250672E-11	-1.338036E-11	-1.242442E-11	-1.346002E-11	-1.277222E-11	-1.458775E-11	-1.298561E-11	-1.199068E-11	-1.254186E-11	-1.702471E-11	-1.735773E-11	-1.592347E-11	-1.725894E-11	-1.698847E-11	-9.780014E-12	-1.171639E-11	-1.206860E-11	-1.265151E-11	-1.336724E-11	-1.281183E-11	-1.281780E-11	-1.456208E-11	-1.319757E-11	-1.368621E-11	-1.329678E-11	-1.367508E-11
   0:01:09	0	-1.508686E+1	4.000000E+1	2.011800E-10	-4.249185E-10	-2.459023E-12	-1.185414E-11	-1.302159E-11	-1.322678E-11	-1.286121E-11	-1.225719E-11	-1.200214E-11	-1.192179E-11	-1.255050E-11	-1.421922E-11	-1.264545E-11	-1.383010E-11	-1.228863E-11	-1.401004E-11	-1.146487E-11	-1.797386E-11	-1.640763E-11	-1.630104E-11	-1.776310E-11	-1.742788E-11	-1.091660E-11	-1.152745E-11	-1.510096E-11	-1.177012E-11	-1.235890E-11	-1.381719E-11	-1.376476E-11	-1.506884E-11	-1.370299E-11	-1.356017E-11	-1.335916E-11	-1.348518E-11
   0:01:23	0	-1.498661E+1	5.000000E+1	9.374000E-10	-4.123343E-10	-8.830580E-13	-1.279976E-11	-9.861242E-12	-1.354349E-11	-1.203807E-11	-1.219467E-11	-1.339122E-11	-1.325322E-11	-1.178999E-11	-1.352387E-11	-1.340404E-11	-1.345028E-11	-1.013470E-11	-1.299986E-11	-1.171887E-11	-1.626539E-11	-1.697769E-11	-1.869264E-11	-1.650319E-11	-1.636202E-11	-9.212220E-12	-1.278739E-11	-1.244764E-11	-1.302911E-11	-1.330453E-11	-1.168155E-11	-1.445953E-11	-1.247308E-11	-1.193454E-11	-1.362319E-11	-1.448892E-11	-1.310537E-11
   0:01:37	0	-1.498737E+1	6.000000E+1	1.102800E-9	-4.112877E-10	-3.783112E-13	-1.349355E-11	-1.220032E-11	-1.322678E-11	-1.197406E-11	-1.288632E-11	-1.339122E-11	-1.369670E-11	-1.172694E-11	-1.327047E-11	-1.365657E-11	-1.383010E-11	-9.691709E-12	-1.243201E-11	-1.146487E-11	-1.664505E-11	-1.685168E-11	-1.630104E-11	-1.618895E-11	-1.692612E-11	-1.091660E-11	-1.215792E-11	-1.232096E-11	-1.177012E-11	-1.153869E-11	-1.256099E-11	-1.224963E-11	-1.576551E-11	-1.262936E-11	-1.387726E-11	-1.285814E-11	-1.240972E-11
   0:01:51	0	-1.498433E+1	7.000000E+1	9.937000E-10	-4.088042E-10	-1.324089E-12	-1.355626E-11	-1.099885E-11	-1.221471E-11	-1.153098E-11	-1.206865E-11	-1.231725E-11	-1.261954E-11	-1.255050E-11	-1.238657E-11	-1.283510E-11	-1.357688E-11	-1.273162E-11	-1.243201E-11	-1.273186E-11	-1.569591E-11	-1.590158E-11	-1.604966E-11	-1.732258E-11	-1.786630E-11	-8.833690E-12	-1.190533E-11	-1.150003E-11	-1.340671E-11	-1.210607E-11	-1.274937E-11	-1.250182E-11	-1.430920E-11	-1.288156E-11	-1.305301E-11	-1.323440E-11	-1.361211E-11
   0:02:05	0	-1.498577E+1	8.000000E+1	1.043000E-9	-4.081181E-10	3.155912E-13	-1.286247E-11	-1.226319E-11	-1.196095E-11	-1.298823E-11	-1.263427E-11	-1.282283E-11	-1.299995E-11	-1.210720E-11	-1.276567E-11	-1.334116E-11	-1.338747E-11	-1.184464E-11	-1.375700E-11	-1.083188E-11	-1.702471E-11	-1.628162E-11	-1.378424E-11	-1.694470E-11	-1.786630E-11	-1.072734E-11	-1.165374E-11	-1.143619E-11	-1.202251E-11	-1.324083E-11	-1.300021E-11	-1.300719E-11	-1.316974E-11	-1.332418E-11	-1.216574E-11	-1.273239E-11	-1.348518E-11
   0:02:19	0	-1.488126E+1	9.000000E+1	1.052900E-9	-4.084217E-10	-1.264356E-13	-1.141218E-11	-1.125132E-11	-1.265730E-11	-1.311425E-11	-1.401757E-11	-1.250672E-11	-1.312608E-11	-1.381836E-11	-1.257612E-11	-1.150757E-11	-1.389290E-11	-1.045169E-11	-1.129630E-11	-1.121188E-11	-1.613851E-11	-1.615461E-11	-1.686739E-11	-1.707000E-11	-1.655005E-11	-9.969279E-12	-1.159010E-11	-1.307905E-11	-1.315531E-11	-1.204336E-11	-1.243507E-11	-1.793237E-11	-1.171344E-11	-1.206114E-11	-1.305301E-11	-1.342253E-11	-1.221982E-11
   0:02:33	0	-1.498722E+1	1.000000E+2	1.121600E-9	-3.993476E-10	-7.566224E-13	-1.141218E-11	-1.245279E-11	-1.316384E-11	-1.241813E-11	-1.301136E-11	-1.294947E-11	-1.160445E-11	-1.210720E-11	-1.339717E-11	-1.232904E-11	-1.326086E-11	-1.070468E-11	-1.255853E-11	-1.228886E-11	-1.594868E-11	-1.602759E-11	-1.630104E-11	-1.606266E-11	-1.667574E-11	-9.022955E-12	-1.190533E-11	-1.124667E-11	-1.164492E-11	-1.172782E-11	-1.143071E-11	-1.180705E-11	-1.266299E-11	-1.370299E-11	-1.356017E-11	-1.273239E-11	-1.247269E-11
   0:02:48	0	-1.491014E+1	1.200000E+2	1.311700E-9	-3.986998E-10	0.000000E+0	-1.071939E-11	-1.137805E-11	-1.177112E-11	-1.083386E-11	-1.276030E-11	-1.162221E-11	-1.280974E-11	-1.121960E-11	-1.225987E-11	-1.327728E-11	-1.212439E-11	-1.140166E-11	-1.312638E-11	-1.228886E-11	-1.594868E-11	-1.710470E-11	-1.567209E-11	-1.757416E-11	-1.730219E-11	-9.149463E-12	-1.083433E-11	-1.263717E-11	-1.221131E-11	-1.216978E-11	-1.274937E-11	-1.414354E-11	-1.316974E-11	-1.269216E-11	-1.235580E-11	-1.298290E-11	-1.240972E-11
   0:03:02	0	-1.498699E+1	1.400000E+2	1.314600E-9	-3.848773E-10	3.783112E-13	-1.223239E-11	-1.232605E-11	-1.221471E-11	-1.115092E-11	-1.137700E-11	-1.010649E-11	-1.211200E-11	-1.121960E-11	-1.124827E-11	-1.024293E-11	-1.256702E-11	-1.102167E-11	-1.325191E-11	-1.102188E-11	-1.582179E-11	-1.590158E-11	-1.598706E-11	-1.518062E-11	-1.642437E-11	-9.022955E-12	-1.108691E-11	-1.219528E-11	-1.082612E-11	-1.198065E-11	-1.199585E-11	-1.370196E-11	-1.297983E-11	-1.344978E-11	-1.115243E-11	-1.298290E-11	-1.247269E-11
   0:03:16	0	-1.498691E+1	1.600000E+2	1.299300E-9	-3.732056E-10	1.261369E-12	-1.160131E-11	-9.607776E-12	-9.745995E-12	-1.102389E-11	-1.093740E-11	-1.105382E-11	-1.173159E-11	-1.096643E-11	-1.207032E-11	-1.157046E-11	-1.281923E-11	-1.241563E-11	-1.104326E-11	-1.178187E-11	-1.499953E-11	-1.514050E-11	-1.504214E-11	-1.467646E-11	-1.642437E-11	-8.139387E-12	-1.045644E-11	-1.251049E-11	-1.189632E-11	-1.153869E-11	-1.205831E-11	-1.332318E-11	-1.297983E-11	-1.212394E-11	-1.178562E-11	-1.128973E-11	-1.171307E-11
   0:03:30	0	-1.498570E+1	1.800000E+2	1.300800E-9	-3.652402E-10	2.017992E-12	-9.836477E-12	-9.355307E-12	-1.025253E-11	-1.026376E-11	-9.931182E-12	-1.099099E-11	-1.128711E-11	-1.191707E-11	-1.105872E-11	-1.043257E-11	-1.262982E-11	-9.691709E-12	-1.142183E-11	-1.133888E-11	-1.449299E-11	-1.514050E-11	-1.472817E-11	-1.606266E-11	-1.686377E-11	-9.527993E-12	-1.077168E-11	-1.093146E-11	-1.057472E-11	-1.267345E-11	-1.130479E-11	-1.187085E-11	-1.278992E-11	-1.174513E-11	-1.260988E-11	-1.273239E-11	-1.202991E-11
   0:03:45	0	-1.498600E+1	2.000000E+2	1.246300E-9	-3.529953E-10	2.396303E-12	-9.899187E-12	-7.964235E-12	-1.284713E-11	-1.026376E-11	-9.742641E-12	-9.790381E-12	-1.097077E-11	-9.064140E-12	-1.219702E-11	-1.005328E-11	-1.136674E-11	-1.038869E-11	-1.116978E-11	-1.083188E-11	-1.430316E-11	-1.286028E-11	-1.516833E-11	-1.429858E-11	-1.642437E-11	-9.086707E-12	-1.026750E-11	-1.137335E-11	-9.882130E-12	-1.172782E-11	-1.055127E-11	-1.224963E-11	-1.234614E-11	-1.212394E-11	-1.178562E-11	-1.160361E-11	-1.278953E-11
   0:03:59	0	-1.498600E+1	2.200000E+2	1.223600E-9	-3.328972E-10	2.774614E-12	-8.764438E-12	-6.320695E-12	-9.113579E-12	-9.059556E-12	-8.171791E-12	-8.590765E-12	-1.033609E-11	-1.058617E-11	-1.023768E-11	-1.062222E-11	-1.073570E-11	-9.437717E-12	-1.041264E-11	-9.691893E-12	-1.347990E-11	-1.311330E-11	-1.460198E-11	-1.568479E-11	-1.636202E-11	-9.401485E-12	-1.001591E-11	-9.982853E-12	-9.441930E-12	-1.097131E-11	-1.067719E-11	-1.250182E-11	-1.203029E-11	-1.004048E-11	-1.146852E-11	-1.216800E-11	-1.164911E-11
   0:04:13	0	-1.498600E+1	2.400000E+2	1.154700E-9	-3.003652E-10	4.035983E-12	-8.133359E-12	-4.172217E-12	-7.024509E-12	-8.363437E-12	-7.165574E-12	-8.338477E-12	-8.561186E-12	-8.747926E-12	-8.342179E-12	-9.041165E-12	-8.777771E-12	-8.234753E-12	-8.266752E-12	-1.013489E-11	-1.234092E-11	-1.235323E-11	-1.529452E-11	-1.499169E-11	-1.510812E-11	-8.833690E-12	-1.045644E-11	-1.017337E-11	-9.944732E-12	-8.575382E-12	-9.106692E-12	-1.155486E-11	-1.139659E-11	-1.016709E-11	-9.821018E-12	-1.110161E-11	-9.877002E-12
   0:04:27	0	-1.497847E+1	2.600000E+2	1.236200E-9	-2.609703E-10	7.820091E-12	-5.863862E-12	-2.970747E-12	-4.556790E-12	-4.941849E-12	-4.022883E-12	-6.758933E-12	-7.483029E-12	-8.557797E-12	-8.405030E-12	-6.765403E-12	-6.819845E-12	-6.397808E-12	-6.878997E-12	-8.424907E-12	-1.056951E-11	-1.039003E-11	-1.252535E-11	-1.436223E-11	-1.429363E-11	-7.130306E-12	-8.251790E-12	-8.909557E-12	-9.882130E-12	-5.801198E-12	-7.788031E-12	-1.875273E-11	-1.158650E-11	-1.092471E-11	-9.314862E-12	-1.103923E-11	-8.420739E-12
   0:04:42	0	-1.498638E+1	2.800000E+2	1.242900E-9	-1.919225E-10	1.122489E-11	-4.666404E-12	7.584036E-13	-9.491230E-13	-2.280392E-12	-1.068733E-12	-3.600842E-12	-3.360606E-12	-6.275251E-12	-5.624636E-12	-3.287878E-12	-4.736308E-12	-4.370869E-12	-4.733109E-12	-6.143932E-12	-9.239703E-12	-8.615856E-12	-1.063651E-11	-1.379541E-11	-1.285170E-11	-7.130306E-12	-7.180788E-12	-6.950492E-12	-7.301548E-12	-8.323545E-12	-6.846130E-12	-8.776791E-12	-9.940278E-12	-9.661672E-12	-8.934746E-12	-9.784701E-12	-6.837540E-12
   0:04:56	0	-1.495430E+1	3.000000E+2	1.325700E-9	-1.098214E-10	1.425238E-11	-4.409592E-13	5.246955E-12	1.455655E-12	1.077185E-12	2.954150E-12	1.515724E-12	-8.238840E-13	-4.246877E-12	-2.844242E-12	3.792938E-13	-6.948446E-13	-1.329960E-12	-1.262229E-12	-4.560950E-12	-6.202430E-12	-5.828579E-12	-8.811264E-12	-9.007343E-12	-1.241229E-11	-7.446079E-12	-3.653540E-12	-5.180949E-12	-5.664960E-12	-5.674783E-12	-6.279998E-12	-6.313708E-12	-9.687398E-12	-7.830420E-12	-7.350259E-12	-8.216297E-12	-4.938501E-12
