APD#	0012	Started	04/06/07 17:19	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	-1.498516E+1	0.000000E+0	-1.070000E-10	-1.739320E-10	1.891556E-13	-5.737447E-12	-4.741020E-12	-3.353901E-12	-4.117707E-12	-5.908299E-12	-5.306032E-12	-5.326716E-12	-4.627134E-12	-5.814185E-12	-4.931817E-12	-5.935588E-12	-4.370869E-12	-6.878997E-12	-5.003945E-12	-6.138488E-12	-8.108806E-12	-6.104692E-12	-6.740094E-12	-6.143797E-12	-4.795375E-12	-5.542959E-12	-6.760969E-12	-4.594768E-12	-6.179451E-12	-5.401552E-12	-6.313708E-12	-6.141083E-12	-6.061971E-12	-5.702752E-12	-6.271635E-12	-5.065437E-12
   0:00:13	0	-1.498950E+1	0.000000E+0	-1.608200E-10	-4.153795E-10	-3.783112E-13	-1.210597E-11	-1.194685E-11	-1.316384E-11	-1.254416E-11	-1.269778E-11	-1.130710E-11	-1.357056E-11	-1.248746E-11	-1.377627E-11	-1.220328E-11	-1.370349E-11	-1.026169E-11	-1.053916E-11	-1.368185E-11	-1.569591E-11	-1.564756E-11	-1.548330E-11	-1.625160E-11	-1.698847E-11	-1.489116E-11	-1.177904E-11	-1.257433E-11	-1.271511E-11	-1.431287E-11	-1.394310E-11	-1.111328E-11	-1.373947E-11	-1.553424E-11	-1.381324E-11	-1.329678E-11	-1.323230E-11
   0:00:27	0	-1.498691E+1	1.000000E+1	2.764300E-10	-4.004168E-10	-3.783112E-13	-1.305160E-11	-1.036718E-11	-1.354349E-11	-1.096088E-11	-1.282282E-11	-1.067489E-11	-1.217506E-11	-1.172694E-11	-1.270182E-11	-1.201363E-11	-1.471336E-11	-1.026169E-11	-1.312638E-11	-1.285886E-11	-1.607556E-11	-1.577457E-11	-1.523093E-11	-1.518062E-11	-1.529616E-11	-1.280925E-11	-1.259845E-11	-1.288953E-11	-1.132992E-11	-1.311541E-11	-1.312613E-11	-1.300719E-11	-1.329568E-11	-1.357638E-11	-1.140550E-11	-1.166599E-11	-1.266259E-11
   0:00:41	0	-1.498691E+1	2.000000E+1	2.825300E-10	-3.944276E-10	-3.783112E-13	-1.210597E-11	-1.150478E-11	-1.284713E-11	-1.058082E-11	-1.357698E-11	-1.092817E-11	-1.236527E-11	-1.039604E-11	-1.282852E-11	-1.157046E-11	-1.351408E-11	-1.038869E-11	-1.331567E-11	-1.228886E-11	-1.411333E-11	-1.799179E-11	-1.523093E-11	-1.272444E-11	-1.460636E-11	-1.280925E-11	-1.278739E-11	-1.288953E-11	-1.107852E-11	-1.210607E-11	-1.199585E-11	-1.288060E-11	-1.342262E-11	-1.294536E-11	-1.241982E-11	-1.292052E-11	-1.291546E-11
   0:00:55	0	-1.498699E+1	3.000000E+1	2.076000E-10	-3.878889E-10	-1.009494E-12	-1.153860E-11	-1.024044E-11	-1.240454E-11	-1.039079E-11	-1.181759E-11	-9.664736E-12	-1.090670E-11	-1.090239E-11	-1.263897E-11	-1.131793E-11	-1.351408E-11	-9.247723E-12	-1.249477E-11	-1.228886E-11	-1.443004E-11	-1.634462E-11	-1.573468E-11	-1.625160E-11	-1.686377E-11	-1.293576E-11	-1.228321E-11	-1.143619E-11	-1.227391E-11	-1.235890E-11	-1.218423E-11	-1.256561E-11	-1.310577E-11	-1.136632E-11	-1.273591E-11	-1.216800E-11	-1.247269E-11
   0:01:09	0	-1.498623E+1	4.000000E+1	2.457200E-10	-3.856185E-10	5.674668E-13	-1.261064E-11	-1.049291E-11	-1.240454E-11	-1.020075E-11	-1.257176E-11	-1.086435E-11	-1.173159E-11	-1.128264E-11	-1.232272E-11	-1.308763E-11	-1.237760E-11	-9.881704E-12	-1.236924E-11	-1.127488E-11	-1.398644E-11	-1.545754E-11	-1.504214E-11	-1.480275E-11	-1.586026E-11	-1.160991E-11	-1.222056E-11	-1.206860E-11	-9.944732E-12	-1.368279E-11	-1.243507E-11	-1.313379E-11	-1.260001E-11	-1.237715E-11	-1.216574E-11	-1.342253E-11	-1.190298E-11
   0:01:23	0	-1.498752E+1	5.000000E+1	9.760000E-10	-3.848689E-10	-1.891556E-13	-1.204326E-11	-1.112558E-11	-1.221471E-11	-1.146697E-11	-9.742641E-12	-1.080153E-11	-1.090670E-11	-1.134669E-11	-1.301807E-11	-1.194975E-11	-1.199878E-11	-8.551743E-12	-1.199068E-11	-1.089488E-11	-1.474576E-11	-1.501449E-11	-1.554590E-11	-1.662948E-11	-1.623633E-11	-1.400859E-11	-1.146480E-11	-1.162571E-11	-1.233751E-11	-1.311541E-11	-1.030043E-11	-1.212304E-11	-1.278992E-11	-1.357638E-11	-1.241982E-11	-1.317103E-11	-1.152317E-11
   0:01:37	0	-1.498699E+1	6.000000E+1	1.050700E-9	-3.759029E-10	1.450525E-12	-1.204326E-11	-1.024044E-11	-1.177112E-11	-1.070684E-11	-1.074886E-11	-9.917024E-12	-1.084364E-11	-1.090239E-11	-1.301807E-11	-1.188687E-11	-1.250322E-11	-1.089467E-11	-1.180039E-11	-1.045189E-11	-1.512542E-11	-1.520451E-11	-1.416181E-11	-1.524327E-11	-1.466970E-11	-1.217870E-11	-1.133850E-11	-1.213144E-11	-1.195991E-11	-1.179053E-11	-1.249853E-11	-1.161766E-11	-1.247308E-11	-1.326038E-11	-1.108841E-11	-1.329678E-11	-1.158614E-11
   0:01:51	0	-1.498752E+1	7.000000E+1	1.008000E-9	-3.743679E-10	8.830580E-13	-1.097123E-11	-9.544908E-12	-1.132853E-11	-1.070684E-11	-1.099992E-11	-1.023313E-11	-1.084364E-11	-1.083934E-11	-1.263897E-11	-1.036969E-11	-1.250322E-11	-9.057728E-12	-1.167487E-11	-1.216187E-11	-1.398644E-11	-1.495049E-11	-1.416181E-11	-1.562214E-11	-1.604830E-11	-1.186292E-11	-1.140115E-11	-1.137335E-11	-1.158132E-11	-1.153869E-11	-1.413148E-11	-1.231243E-11	-1.209326E-11	-1.401899E-11	-1.210272E-11	-1.273239E-11	-1.145920E-11
   0:02:05	0	-1.498714E+1	8.000000E+1	1.028500E-9	-3.642131E-10	2.080712E-12	-1.160131E-11	-1.043004E-11	-1.126459E-11	-9.819687E-12	-9.491583E-12	-9.348628E-12	-9.512207E-12	-1.045908E-11	-1.194362E-11	-1.049546E-11	-1.187217E-11	-9.627711E-12	-1.217996E-11	-1.083188E-11	-1.430316E-11	-1.520451E-11	-1.567209E-11	-1.543221E-11	-1.454402E-11	-1.274649E-11	-1.127586E-11	-1.118383E-11	-1.139252E-11	-1.248432E-11	-1.174401E-11	-1.155486E-11	-1.253605E-11	-1.206114E-11	-1.153254E-11	-1.279477E-11	-1.095346E-11
   0:02:19	0	-1.498646E+1	9.000000E+1	1.050200E-9	-3.632927E-10	6.939024E-13	-1.147589E-11	-9.418175E-12	-1.069512E-11	-9.819687E-12	-1.150302E-11	-9.096339E-12	-9.067730E-12	-9.698570E-12	-1.200747E-11	-9.799753E-12	-1.193498E-11	-9.437717E-12	-1.104326E-11	-1.152887E-11	-1.132883E-11	-1.526752E-11	-1.485336E-11	-1.562214E-11	-1.567223E-11	-1.142064E-11	-1.259845E-11	-1.213144E-11	-1.214871E-11	-1.160140E-11	-1.155563E-11	-1.155486E-11	-1.196632E-11	-1.269216E-11	-1.241982E-11	-1.367304E-11	-1.095346E-11
   0:02:33	0	-1.498706E+1	1.000000E+2	1.092300E-9	-3.629653E-10	2.017992E-12	-1.078210E-11	-1.043004E-11	-1.177112E-11	-9.883698E-12	-1.005721E-11	-9.475270E-12	-9.955682E-12	-1.090239E-11	-1.162737E-11	-1.125404E-11	-1.130394E-11	-9.437717E-12	-1.154835E-11	-9.817892E-12	-1.379661E-11	-1.602759E-11	-1.504214E-11	-1.480275E-11	-1.567223E-11	-1.261998E-11	-1.108691E-11	-1.099431E-11	-1.038592E-11	-1.210607E-11	-1.017451E-11	-1.212304E-11	-1.297983E-11	-1.212394E-11	-1.229278E-11	-1.279477E-11	-1.171307E-11
   0:02:48	0	-1.498744E+1	1.200000E+2	1.271000E-9	-3.507633E-10	6.939024E-13	-1.103393E-11	-8.534036E-12	-1.056923E-11	-1.267118E-11	-9.365557E-12	-9.285805E-12	-8.116709E-12	-9.254269E-12	-1.276567E-11	-1.081187E-11	-1.130394E-11	-9.057728E-12	-1.022336E-11	-1.000789E-11	-1.151866E-11	-1.482447E-11	-1.435060E-11	-1.486540E-11	-1.554753E-11	-1.123138E-11	-1.014220E-11	-1.150003E-11	-1.145612E-11	-1.235890E-11	-1.136725E-11	-1.180705E-11	-1.164947E-11	-1.174513E-11	-1.210272E-11	-1.141548E-11	-1.057365E-11
   0:03:02	0	-1.498653E+1	1.400000E+2	1.275300E-9	-3.280054E-10	1.134934E-12	-9.458227E-12	-8.786504E-12	-1.044235E-11	-1.051681E-11	-9.114499E-12	-7.200687E-12	-7.989573E-12	-9.128183E-12	-1.042722E-11	-9.863634E-12	-8.525554E-12	-7.537774E-12	-9.844787E-12	-9.817892E-12	-1.069540E-11	-1.311330E-11	-1.252535E-11	-1.480275E-11	-1.454402E-11	-1.104211E-11	-1.140115E-11	-1.010953E-11	-1.082612E-11	-1.090860E-11	-1.124233E-11	-1.370196E-11	-1.032010E-11	-1.117692E-11	-1.102539E-11	-1.279477E-11	-1.025681E-11
   0:03:16	0	-1.498676E+1	1.600000E+2	1.257100E-9	-3.164115E-10	2.269867E-12	-1.078210E-11	-8.534036E-12	-9.745995E-12	-8.616480E-12	-1.106342E-11	-7.011221E-12	-6.785281E-12	-8.938055E-12	-9.352778E-12	-1.024293E-11	-1.054629E-11	-7.664770E-12	-1.022336E-11	-8.931902E-12	-1.069540E-11	-1.368336E-11	-1.334308E-11	-1.203134E-11	-1.372953E-11	-1.129513E-11	-1.039379E-11	-1.080478E-11	-1.013452E-11	-1.065577E-11	-1.017451E-11	-1.086010E-11	-1.019416E-11	-1.174513E-11	-1.064527E-11	-9.220313E-12	-1.063662E-11
   0:03:30	0	-1.498706E+1	1.800000E+2	1.232600E-9	-2.901525E-10	3.657672E-12	-9.079978E-12	-7.964235E-12	-8.796872E-12	-9.503633E-12	-9.177016E-12	-4.800458E-12	-5.707124E-12	-9.064140E-12	-9.669026E-12	-1.030581E-11	-1.054629E-11	-9.121726E-12	-8.582558E-12	-7.727915E-12	-8.923986E-12	-1.343033E-11	-1.107767E-11	-1.259815E-11	-1.385422E-11	-9.338728E-12	-9.449085E-12	-9.099079E-12	-8.938136E-12	-1.071948E-11	-1.004859E-11	-8.587400E-12	-1.000325E-11	-1.022989E-11	-1.001108E-11	-8.780685E-12	-8.673611E-12
