APD#	0018	Started	07/13/07 15:13	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.601918E+1	0.000000E+0	-3.040000E-12	-2.780246E-10	0.000000E+0	-1.264150E-11	-1.267332E-11	-1.268828E-11	-1.270218E-11	-1.260252E-11	0.000000E+0	1.271364E-11	-1.270861E-11	-1.266990E-11	0.000000E+0	-1.266073E-11	0.000000E+0	-1.265217E-11	-1.269986E-11	-2.527730E-11	-1.270126E-11	-1.261875E-11	-1.262897E-11	-1.256866E-11	-1.265086E-11	-1.262928E-11	1.266809E-11	-1.261971E-11	-1.264160E-11	-1.259172E-11	1.265931E-11	-1.269397E-11	0.000000E+0	0.000000E+0	-2.505089E-11	-1.269358E-11
0:00:08	0	2.621968E+1	5.000000E+1	3.730600E-9	7.322148E-10	2.518756E-11	3.782495E-11	2.524686E-11	1.268828E-11	3.800653E-11	2.510581E-11	2.522883E-11	3.804082E-11	2.531715E-11	2.524003E-11	1.267640E-11	2.522176E-11	3.799886E-11	1.265217E-11	2.529972E-11	2.527730E-11	0.000000E+0	2.513814E-11	1.262897E-11	3.760701E-11	2.520211E-11	2.515911E-11	1.266809E-11	2.514006E-11	2.518365E-11	1.259172E-11	5.053757E-11	1.269397E-11	1.266026E-11	1.270390E-11	0.000000E+0	2.528720E-11
0:00:17	0	2.631910E+1	1.000000E+2	5.152600E-9	1.211959E-9	6.301868E-11	5.046644E-11	2.524686E-11	3.796492E-11	2.530435E-11	2.510581E-11	3.789310E-11	5.075446E-11	3.802576E-11	3.790993E-11	5.060577E-11	5.054321E-11	3.799886E-11	3.785690E-11	2.529972E-11	5.065451E-11	5.070504E-11	5.037563E-11	3.778748E-11	2.503835E-11	5.050384E-11	2.515911E-11	3.790452E-11	3.775977E-11	1.264160E-11	6.276032E-11	5.053757E-11	2.528799E-11	2.522083E-11	2.530778E-11	3.762585E-11	1.269358E-11
0:00:26	0	2.641319E+1	1.500000E+2	5.902900E-9	1.868591E-9	7.566224E-11	5.046644E-11	6.316703E-11	5.065320E-11	5.070871E-11	5.031085E-11	6.312193E-11	6.336799E-11	7.605152E-11	5.057982E-11	6.318235E-11	6.310425E-11	6.329810E-11	6.306163E-11	5.069944E-11	1.012091E-10	5.070504E-11	6.289502E-11	6.294599E-11	5.017566E-11	5.050384E-11	5.041766E-11	5.057261E-11	6.289983E-11	5.046684E-11	6.276032E-11	3.787826E-11	3.798196E-11	6.310192E-11	5.071558E-11	7.525170E-11	5.067436E-11
0:00:35	0	2.652378E+1	2.000000E+2	6.351100E-9	3.421308E-9	1.134934E-10	1.261163E-10	1.010872E-10	1.012065E-10	1.013174E-10	8.801917E-11	1.010150E-10	1.141225E-10	1.140773E-10	1.137298E-10	1.011117E-10	1.136475E-10	1.139966E-10	1.135707E-10	1.012989E-10	1.265863E-10	1.140113E-10	1.258894E-10	1.133624E-10	1.128210E-10	1.009081E-10	1.133652E-10	1.263816E-10	1.006596E-10	8.829209E-11	1.004363E-10	1.009755E-10	1.012519E-10	1.009830E-10	7.602336E-11	1.003026E-10	1.012488E-10
0:00:43	0	2.652097E+1	2.500000E+2	7.732900E-9	5.731953E-9	1.765121E-10	1.891247E-10	1.769276E-10	1.645480E-10	1.773305E-10	1.634358E-10	1.642367E-10	2.029177E-10	2.028374E-10	1.768797E-10	1.769705E-10	1.767517E-10	1.899943E-10	1.766323E-10	1.772980E-10	2.277954E-10	1.773176E-10	1.887844E-10	1.763084E-10	1.754664E-10	1.766140E-10	1.763126E-10	2.021907E-10	2.014186E-10	1.513010E-10	1.883801E-10	1.641724E-10	1.392339E-10	1.767452E-10	1.647506E-10	1.755543E-10	1.772103E-10
0:00:52	0	2.662069E+1	3.000000E+2	1.307000E-8	1.016421E-8	3.026490E-10	3.152411E-10	3.160347E-10	3.037194E-10	3.040522E-10	3.016666E-10	2.779160E-10	3.297538E-10	3.422318E-10	3.032794E-10	3.161114E-10	3.283814E-10	3.039909E-10	3.281596E-10	3.039967E-10	3.796591E-10	3.040302E-10	3.146738E-10	3.400873E-10	3.384631E-10	3.154747E-10	3.023071E-10	3.538088E-10	3.398380E-10	3.026020E-10	3.265916E-10	3.030261E-10	2.785677E-10	3.157090E-10	3.167974E-10	3.261567E-10	3.292334E-10
0:01:01	0	2.672269E+1	3.500000E+2	2.348600E-8	2.069548E-8	6.053975E-10	6.304821E-10	6.320695E-10	6.075386E-10	6.462110E-10	6.034324E-10	5.937251E-10	6.213667E-10	6.465380E-10	6.192287E-10	6.448992E-10	6.441020E-10	6.586802E-10	6.562195E-10	6.460929E-10	7.087635E-10	6.081605E-10	6.544858E-10	6.676452E-10	6.644564E-10	6.561515E-10	6.676611E-10	7.328539E-10	7.426751E-10	6.053035E-10	6.405916E-10	6.187115E-10	6.078113E-10	6.440782E-10	6.716064E-10	6.647893E-10	6.837540E-10
