APD#	0012	Started	04/06/07 16:01	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:00:00	0	-1.498440E+1	0.000000E+0	-5.270000E-12	-2.885345E-10	-3.784108E-12	-9.458227E-12	-8.470170E-12	-8.607047E-12	-8.743502E-12	-8.674900E-12	-8.464123E-12	-9.257934E-12	-8.493754E-12	-8.973679E-12	-8.978282E-12	-5.431153E-12	-9.247723E-12	-1.022336E-11	-8.614905E-12	-1.215109E-11	-1.165616E-11	-1.007016E-11	-1.096036E-11	-1.115839E-11	-1.009579E-11	-8.944909E-12	-8.466672E-12	-9.189536E-12	-9.331887E-12	-8.667468E-12	-8.587400E-12	-8.990729E-12	-8.335834E-12	-7.223220E-12	-9.658951E-12	-9.623131E-12
   0:00:09	0	-1.498600E+1	5.000000E+1	2.200700E-9	-5.019260E-10	-1.261369E-12	-1.563763E-11	-1.504433E-11	-1.645480E-11	-1.583872E-11	-1.558942E-11	-1.427573E-11	-1.547260E-11	-1.445279E-11	-1.756826E-11	-1.391010E-11	-1.490277E-11	-1.127466E-11	-1.602941E-11	-1.355585E-11	-1.848040E-11	-1.925891E-11	-2.026650E-11	-1.940089E-11	-1.955960E-11	-1.489116E-11	-1.612570E-11	-1.617525E-11	-1.561068E-11	-1.639426E-11	-1.582690E-11	-1.565967E-11	-1.620830E-11	-1.742829E-11	-1.710826E-11	-1.630783E-11	-1.595493E-11
   0:00:18	0	-1.498615E+1	1.000000E+2	3.830800E-9	-4.837394E-10	2.144427E-12	-1.551121E-11	-1.453840E-11	-1.455555E-11	-1.406542E-11	-1.596650E-11	-1.402344E-11	-1.369670E-11	-1.419862E-11	-1.567276E-11	-1.504798E-11	-1.591364E-11	-1.114867E-11	-1.426209E-11	-1.380885E-11	-1.696077E-11	-1.976596E-11	-1.913380E-11	-1.940089E-11	-1.905785E-11	-1.577473E-11	-1.499204E-11	-1.592289E-11	-1.586209E-11	-1.588959E-11	-1.469662E-11	-1.515429E-11	-1.658812E-11	-1.692288E-11	-1.634802E-11	-1.555532E-11	-1.544818E-11
   0:00:27	0	-1.498638E+1	1.500000E+2	3.866100E-9	-4.379236E-10	2.648179E-12	-1.273705E-11	-1.251565E-11	-1.303695E-11	-1.393839E-11	-1.257176E-11	-1.099099E-11	-1.179466E-11	-1.280467E-11	-1.579846E-11	-1.454192E-11	-1.351408E-11	-8.741738E-12	-1.388352E-11	-1.342885E-11	-1.708766E-11	-1.862485E-11	-1.800109E-11	-1.763780E-11	-1.755357E-11	-1.400859E-11	-1.423628E-11	-1.478575E-11	-1.460310E-11	-1.488025E-11	-1.331451E-11	-1.477551E-11	-1.557560E-11	-1.351358E-11	-1.495360E-11	-1.304627E-11	-1.367508E-11
   0:00:37	0	-1.498600E+1	2.000000E+2	3.667300E-9	-3.578201E-10	3.784108E-12	-1.286247E-11	-9.482040E-12	-1.202489E-11	-1.203807E-11	-1.030926E-11	-6.190536E-12	-8.243846E-12	-1.153682E-11	-1.251227E-11	-1.150757E-11	-1.060909E-11	-7.347780E-12	-1.022336E-11	-7.854914E-12	-8.480385E-12	-1.558455E-11	-1.623844E-11	-1.612531E-11	-1.692612E-11	-1.236796E-11	-1.146480E-11	-1.150003E-11	-1.183371E-11	-1.286257E-11	-1.017451E-11	-1.149206E-11	-1.405632E-11	-1.376579E-11	-1.216574E-11	-1.154024E-11	-1.228278E-11
   0:00:46	0	-1.498547E+1	2.500000E+2	3.158100E-9	-1.743322E-10	8.703149E-12	-5.801152E-12	-7.332565E-12	-6.834685E-12	-5.448936E-12	-5.531216E-12	3.411377E-12	3.550810E-12	-5.451693E-12	-7.709682E-12	-7.081814E-12	-6.062195E-12	-3.040909E-12	-2.776505E-12	-3.166965E-12	-3.164159E-12	-1.064306E-11	-8.686070E-12	-8.693110E-12	-9.904498E-12	-7.446079E-12	-6.677605E-12	-7.581901E-12	-2.895578E-12	-7.314208E-12	-7.788031E-12	-7.829835E-12	-8.358030E-12	-8.082629E-12	-7.350259E-12	-5.519118E-12	-5.825053E-12
   0:00:55	0	-1.498570E+1	3.000000E+2	3.413400E-9	2.418295E-10	2.081110E-11	6.304821E-12	6.574161E-12	5.948504E-12	6.082045E-12	9.806149E-12	2.122413E-11	2.371645E-11	7.480067E-12	3.917692E-12	6.069698E-12	5.304545E-12	9.501715E-12	9.466218E-12	1.140187E-11	9.619362E-12	2.914290E-12	3.021544E-12	1.008329E-12	-6.264536E-13	2.145666E-12	4.283015E-12	4.928585E-12	1.007093E-11	6.935956E-12	6.405916E-12	6.819083E-12	4.558835E-12	5.052141E-12	5.449675E-12	7.275651E-12	8.357771E-12
   0:01:04	0	-1.498592E+1	3.500000E+2	4.782700E-9	1.505411E-9	6.041431E-11	4.590256E-11	4.058158E-11	3.797191E-11	4.168816E-11	4.953286E-11	6.872513E-11	7.888564E-11	4.525866E-11	4.132980E-11	3.983283E-11	4.129989E-11	4.788756E-11	5.048517E-11	4.928146E-11	5.721262E-11	4.409238E-11	4.506483E-11	3.867648E-11	3.485576E-11	3.886903E-11	4.510243E-11	4.271340E-11	4.897045E-11	5.094762E-11	4.760564E-11	4.811436E-11	4.444689E-11	4.218159E-11	4.118666E-11	4.754224E-11	4.875133E-11
   0:01:14	0	-1.498607E+1	4.000000E+2	1.118600E-8	8.545899E-9	2.712989E-10	2.562471E-10	2.335045E-10	2.270712E-10	2.449331E-10	2.643830E-10	3.283408E-10	3.850432E-10	2.571012E-10	2.453221E-10	2.387455E-10	2.379449E-10	2.493175E-10	2.669400E-10	2.690860E-10	3.039091E-10	2.684817E-10	2.736609E-10	2.396164E-10	2.343342E-10	2.449536E-10	2.629286E-10	2.629786E-10	2.680169E-10	2.887848E-10	2.767175E-10	2.843910E-10	2.750394E-10	2.589013E-10	2.583994E-10	2.876387E-10	2.818684E-10
   0:01:22	0	-1.498585E+1	4.050000E+2	1.250100E-8	1.103784E-8	3.380191E-10	3.283803E-10	2.979808E-10	2.889660E-10	3.153852E-10	3.381792E-10	4.225849E-10	4.933524E-10	3.286026E-10	3.160999E-10	3.136061E-10	3.071562E-10	3.202624E-10	3.456963E-10	3.506731E-10	3.892215E-10	3.453903E-10	3.529653E-10	3.198661E-10	3.078064E-10	3.153731E-10	3.411655E-10	3.428454E-10	3.485863E-10	3.688629E-10	3.547217E-10	3.707693E-10	3.543097E-10	3.345508E-10	3.398864E-10	3.773308E-10	3.692402E-10
   0:01:31	0	-1.498547E+1	4.100000E+2	1.634100E-8	1.495839E-8	4.505249E-10	4.392273E-10	4.012683E-10	3.897179E-10	4.249900E-10	4.599999E-10	5.652155E-10	6.601283E-10	4.376295E-10	4.265645E-10	4.252652E-10	4.146358E-10	4.317460E-10	4.634531E-10	4.753348E-10	5.280748E-10	4.606898E-10	4.779634E-10	4.342567E-10	4.180147E-10	4.337483E-10	4.682836E-10	4.713656E-10	4.767410E-10	4.961050E-10	4.758095E-10	5.053877E-10	4.813194E-10	4.614754E-10	4.687691E-10	5.207110E-10	5.139739E-10
   0:01:40	0	-1.498600E+1	4.150000E+2	2.310200E-8	2.183189E-8	6.253365E-10	6.262427E-10	5.763648E-10	5.599576E-10	6.150577E-10	6.657990E-10	8.162394E-10	9.582953E-10	6.229750E-10	6.098290E-10	6.262010E-10	5.983998E-10	6.250682E-10	6.738489E-10	6.993193E-10	7.680633E-10	6.602456E-10	6.864191E-10	6.294022E-10	6.152368E-10	6.429866E-10	6.935432E-10	7.102070E-10	7.174406E-10	7.038034E-10	6.820600E-10	7.508837E-10	7.102656E-10	6.798370E-10	6.986547E-10	7.978135E-10	7.860922E-10
   0:01:49	0	-1.498638E+1	4.200000E+2	3.848700E-8	3.726213E-8	9.767249E-10	1.003300E-9	9.437524E-10	9.323345E-10	1.025856E-9	1.128313E-9	1.366168E-9	1.662179E-9	9.877081E-10	1.006186E-9	1.047294E-9	1.003311E-9	1.063148E-9	1.153710E-9	1.213548E-9	1.342845E-9	1.062146E-9	1.128507E-9	1.048919E-9	1.058077E-9	1.113080E-9	1.223811E-9	1.306300E-9	1.321203E-9	1.121974E-9	1.113278E-9	1.271426E-9	1.213111E-9	1.196755E-9	1.256261E-9	1.462031E-9	1.508872E-9
   0:01:58	0	-1.498737E+1	4.250000E+2	5.371800E-7	5.841732E-7	2.061415E-9	2.211650E-9	2.173476E-9	2.288058E-9	2.742165E-9	3.072281E-9	3.852410E-9	4.789492E-7	2.219716E-9	2.364495E-9	2.452203E-9	3.296378E-9	2.935821E-9	3.419102E-9	3.718937E-9	4.501301E-9	1.313270E-9	2.538356E-9	2.863050E-9	3.000710E-9	3.457113E-9	4.105575E-9	5.191972E-9	5.590727E-9	2.441814E-9	2.560302E-9	3.255600E-9	3.212594E-9	3.698500E-9	4.303963E-9	6.396561E-9	7.984513E-9
   0:02:11	0	-1.485967E+1	4.300000E+2	3.864200E-5	3.766548E-5	2.477712E-8	6.365886E-8	2.152782E-7	5.683556E-7	1.031869E-6	1.020703E-6	1.417556E-6	4.299201E-6	3.970555E-8	1.828243E-7	4.445749E-7	9.082543E-7	1.198224E-6	1.587772E-6	1.837836E-6	1.942889E-6	6.223680E-8	2.356319E-7	5.822876E-7	9.804135E-7	1.386956E-6	1.822797E-6	2.232763E-6	2.641369E-6	4.939561E-8	2.113645E-7	6.217005E-7	1.030308E-6	1.493987E-6	1.972830E-6	2.487667E-6	3.070299E-6
