APD#	0010	Started	08/15/07 13:58	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6					
ElapTime	Shutter_Open	DegC	H2O_In	H2O_Out	TE_A	TE_V	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	3.539980E-3	2.542000E+1	2.568300E+1	1.162498E+0	1.449867E+0	0.000000E+0	-1.788000E-11	-1.179584E-10	1.264356E-13	-4.539989E-12	-4.487554E-12	-4.240082E-12	-4.878838E-12	-4.273941E-12	-5.811605E-12	1.271364E-13	-3.929662E-12	-5.877036E-12	-4.362876E-12	1.136475E-12	-1.329960E-12	-6.058100E-12	1.266986E-12	-2.974329E-12	-4.181416E-12	-5.601929E-12	-5.417532E-12	-3.824039E-12	-2.460444E-12	-3.527247E-12	-5.370472E-12	-5.413559E-12	-4.350899E-12	-3.642677E-12	-4.041012E-12	-5.001624E-12	-3.662503E-12	-3.738149E-12	-4.578472E-12	-3.039462E-12
0:00:13	0	7.567793E-3	2.540800E+1	2.567200E+1	1.162815E+0	1.450006E+0	0.000000E+0	-4.065000E-11	-3.495641E-10	-6.939024E-13	-1.002560E-11	-1.106172E-11	-1.113871E-11	-1.127694E-11	-1.137700E-11	-1.200214E-11	-1.166752E-11	-1.267759E-11	-1.207032E-11	-1.251869E-11	-1.875482E-11	-9.057728E-12	-1.299986E-11	-6.904924E-12	-1.094917E-11	-1.172016E-11	-1.227297E-11	-1.240921E-11	-1.115839E-11	-9.843767E-12	-1.064539E-11	-9.730489E-12	-1.019713E-11	-1.021481E-11	-9.232609E-12	-1.054511E-11	-1.310577E-11	-1.098751E-11	-1.051823E-11	-1.059960E-11	-1.120633E-11
0:00:26	0	6.199792E-3	2.540600E+1	2.567000E+1	1.162675E+0	1.450197E+0	1.000000E+1	8.307000E-11	-3.382456E-10	-1.891556E-13	-1.034114E-11	-9.671641E-12	-1.012564E-11	-1.089687E-11	-1.150302E-11	-1.061206E-11	-1.496506E-11	-1.115656E-11	-1.105872E-11	-1.106440E-11	-4.546896E-12	-7.537774E-12	-1.148558E-11	-1.368185E-11	-1.012591E-11	-1.203720E-11	-1.139165E-11	-1.228292E-11	-1.191152E-11	-1.362906E-11	-1.039379E-11	-1.029906E-11	-1.177012E-11	-1.027752E-11	-1.130479E-11	-1.136547E-11	-1.044704E-11	-1.004048E-11	-1.001108E-11	-1.072535E-11	-1.139623E-11
0:00:40	0	7.415995E-3	2.541100E+1	2.567300E+1	1.163093E+0	1.450475E+0	2.000000E+1	1.047700E-10	-3.258619E-10	-1.264356E-13	-1.103393E-11	-9.986977E-12	-9.556170E-12	-1.121393E-11	-1.062283E-11	-1.042260E-11	-6.340804E-12	-1.090239E-11	-1.011098E-11	-1.289798E-11	-1.004085E-11	-9.437717E-12	-1.312638E-11	-1.260586E-11	-1.120194E-11	-1.153015E-11	-1.132905E-11	-1.089771E-11	-1.216191E-11	-8.518913E-12	-1.045644E-11	-1.023621E-11	-1.019713E-11	-1.103402E-11	-9.922675E-12	-8.587400E-12	-9.117669E-12	-1.105031E-11	-1.039219E-11	-9.658951E-12	-1.114336E-11
0:00:53	0	6.883785E-3	2.541500E+1	2.567700E+1	1.167933E+0	1.454592E+0	3.000000E+1	1.336000E-10	-3.150875E-10	3.783112E-13	-1.065569E-11	-1.043004E-11	-9.366345E-12	-1.146697E-11	-1.125197E-11	-1.042260E-11	-9.004662E-12	-9.508441E-12	-1.124827E-11	-1.226616E-11	-1.755554E-11	-7.727768E-12	-1.356771E-11	-1.773980E-12	-8.734157E-12	-1.165616E-11	-1.170662E-11	-1.102301E-11	-1.090801E-11	-6.751776E-12	-1.077168E-11	-1.080478E-11	-1.120372E-11	-1.059306E-11	-1.011205E-11	-5.872127E-12	-9.053699E-12	-9.851077E-12	-1.001108E-11	-9.972830E-12	-1.019384E-11
0:01:07	0	7.111788E-3	2.542300E+1	2.568400E+1	1.162422E+0	1.450197E+0	4.000000E+1	1.463300E-10	-3.213420E-10	3.155912E-13	-1.078210E-11	-9.986977E-12	-1.025253E-11	-1.165700E-11	-1.024575E-11	-1.073871E-11	-1.629749E-11	-1.014187E-11	-9.731877E-12	-1.112828E-11	-8.398946E-12	-6.397808E-12	-1.306262E-11	-1.165487E-11	-8.100726E-12	-1.045304E-11	-1.000756E-11	-1.114930E-11	-1.059429E-11	-1.047432E-11	-1.045644E-11	-9.540966E-12	-1.076352E-11	-1.090860E-11	-1.048881E-11	-9.218372E-12	-1.019416E-11	-9.029656E-12	-9.440901E-12	-9.596572E-12	-1.076355E-11
0:01:20	0	6.731987E-3	2.542300E+1	2.568600E+1	1.162992E+0	1.450691E+0	5.000000E+1	1.622900E-10	-3.094638E-10	6.939024E-13	-8.764438E-12	-9.671641E-12	-8.733930E-12	-1.070684E-11	-1.018323E-11	-9.979847E-12	-6.214668E-12	-1.033200E-11	-1.049008E-11	-1.055934E-11	-6.630432E-12	-7.094787E-12	-1.407280E-11	-1.779980E-11	-9.619362E-12	-1.235323E-11	-9.252424E-12	-1.096036E-11	-1.090801E-11	-9.465237E-12	-1.140115E-11	-1.029906E-11	-1.057472E-11	-1.015210E-11	-9.922675E-12	-6.566894E-12	-9.687398E-12	-9.597872E-12	-9.757999E-12	-8.718305E-12	-9.687098E-12
0:01:34	0	-9.177241E-2	2.542300E+1	2.568700E+1	1.162587E+0	1.449893E+0	6.000000E+1	1.770400E-10	-3.025981E-10	3.155912E-13	-9.458227E-12	-9.671641E-12	-1.056923E-11	-1.051681E-11	-9.931182E-12	-1.054924E-11	-6.595077E-12	-9.508441E-12	-1.011098E-11	-1.163334E-11	-1.547101E-11	-6.017819E-12	-1.281058E-11	-2.153976E-12	-8.986930E-12	-1.216321E-11	-1.038513E-11	-1.096036E-11	-1.084566E-11	-7.571592E-12	-1.045644E-11	-8.466672E-12	-8.497936E-12	-1.059306E-11	-1.099049E-11	-8.398009E-12	-1.177641E-11	-9.597872E-12	-9.757999E-12	-8.718305E-12	-9.750066E-12
