APD#	0001	Started	06/04/07 20:11	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	-1.529565E+1	0.000000E+0	-1.879000E-11	-3.674997E-10	0.000000E+0	0.000000E+0	-1.267332E-11	-1.268828E-11	-1.270218E-11	-3.770833E-11	-1.266427E-11	0.000000E+0	0.000000E+0	-1.266990E-11	-7.585875E-11	-3.914856E-10	0.000000E+0	-2.520473E-11	-2.529972E-11	0.000000E+0	0.000000E+0	0.000000E+0	-2.515851E-11	1.253897E-10	2.649709E-10	-1.262928E-11	-2.523643E-11	-1.261971E-11	0.000000E+0	1.259172E-11	-1.265931E-11	-1.269397E-11	-2.522083E-11	-1.270390E-11	-1.257495E-11	0.000000E+0
0:00:08	0	-1.539491E+1	5.000000E+1	9.761000E-10	-1.906894E-10	1.264356E-11	-1.264150E-11	-1.267332E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.266427E-11	1.271364E-11	0.000000E+0	0.000000E+0	-7.585875E-11	-2.904989E-10	1.269962E-11	-2.520473E-11	0.000000E+0	0.000000E+0	-1.270126E-11	-2.513814E-11	-1.262897E-11	1.378594E-10	1.892649E-10	0.000000E+0	0.000000E+0	0.000000E+0	-1.264160E-11	-1.259172E-11	-1.265931E-11	0.000000E+0	-1.266026E-11	-2.530778E-11	0.000000E+0	0.000000E+0
0:00:17	0	-1.539583E+1	1.000000E+2	1.096800E-9	-1.907037E-10	2.518756E-11	0.000000E+0	0.000000E+0	-1.268828E-11	0.000000E+0	0.000000E+0	1.266427E-11	-3.804082E-11	-1.270861E-11	0.000000E+0	-3.792938E-11	-2.272949E-10	2.529924E-11	-2.520473E-11	-3.799958E-11	0.000000E+0	1.270126E-11	-1.261875E-11	-2.515851E-11	1.128210E-10	1.387611E-10	0.000000E+0	0.000000E+0	1.261971E-11	-1.264160E-11	-1.259172E-11	-2.521895E-11	-1.269397E-11	-1.266026E-11	-2.530778E-11	0.000000E+0	0.000000E+0
0:00:27	0	-1.549593E+1	1.500000E+2	9.377000E-10	-1.145500E-10	1.264356E-11	-1.264150E-11	0.000000E+0	-1.268828E-11	0.000000E+0	-2.510581E-11	-1.266427E-11	2.532718E-11	1.270861E-11	-1.266990E-11	-5.060577E-11	-2.526164E-10	2.529924E-11	0.000000E+0	2.529972E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.002524E-10	8.835682E-11	1.262928E-11	0.000000E+0	-1.261971E-11	0.000000E+0	1.259172E-11	-1.265931E-11	-1.269397E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.269358E-11
0:00:36	0	-1.549509E+1	2.000000E+2	1.200800E-9	1.129528E-10	2.518756E-11	0.000000E+0	-1.267332E-11	-1.268828E-11	1.270218E-11	-1.260252E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.266990E-11	5.060577E-11	-1.767517E-10	5.069848E-11	1.265217E-11	0.000000E+0	-1.268861E-11	-1.270126E-11	-1.261875E-11	0.000000E+0	8.778267E-11	1.009081E-10	2.515911E-11	1.266809E-11	0.000000E+0	-2.518365E-11	1.259172E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.257495E-11	0.000000E+0
0:00:45	0	-1.549524E+1	2.500000E+2	6.982300E-6	5.037615E-6	1.664669E-9	9.721907E-9	-2.524686E-11	3.796492E-11	6.331088E-11	-6.281413E-11	1.023214E-9	-2.532718E-11	8.876013E-11	1.387119E-7	3.792938E-11	2.235266E-9	7.473776E-10	1.364735E-7	3.122576E-8	3.164159E-10	1.270126E-11	8.810271E-10	3.778748E-11	2.417091E-8	3.420020E-6	6.974970E-7	4.789036E-9	2.912789E-8	1.147499E-9	2.556670E-7	-9.470562E-10	1.615643E-8	-3.788109E-11	2.589205E-7	1.128775E-10	7.824741E-9
0:00:54	0	-1.549555E+1	3.000000E+2	9.998800E-5	9.567389E-5	5.372098E-6	4.749323E-6	6.716252E-8	8.088506E-8	1.375956E-8	4.132838E-6	1.692076E-7	1.311675E-6	1.402010E-8	1.260289E-6	4.931248E-8	1.118899E-8	4.478516E-6	5.371051E-6	8.042614E-6	1.867241E-6	1.888067E-7	2.071651E-7	2.565116E-7	4.808625E-6	1.167112E-5	8.060346E-6	3.208311E-6	8.891050E-6	2.241157E-6	6.297360E-6	6.309721E-11	5.948249E-7	1.093976E-7	6.049837E-6	3.064269E-7	5.791703E-6
